-- Query: 26040
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        RANK() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalprice DESC) AS order_rank
  ...
-- Execution time: 26.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_108	49895910.04	0	root		time:26.2s, loops:1, RU:102931.931432, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.part.p_name, tpch_sf40.supplier.s_name, tpch_sf40.region.r_name, Column#137->Column#143	16.8 KB	N/A
└─Sort_110	49895910.04	0	root		time:26.2s, loops:1	tpch_sf40.orders.o_orderdate:desc, tpch_sf40.orders.o_orderkey, tpch_sf40.supplier.s_name	0 Bytes	0 Bytes
  └─TableReader_194	49895910.04	0	root		time:26.2s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_193	8.65 KB	N/A
    └─ExchangeSender_193	49895910.04	0	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:26.2s, avg: 26.2s, p80:26.2s, p95:26.2s, iters:0, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Window_112	49895910.04	0	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:26.2s, avg: 26.2s, p80:26.2s, p95:26.2s, iters:0, tasks:2, threads:4}	row_number()->Column#137 over(partition by tpch_sf40.orders.o_orderkey order by tpch_sf40.orders.o_orderdate rows between current row and current row), stream_count: 2	N/A	N/A
        └─Sort_192	49895910.04	0	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:26.2s, avg: 26.2s, p80:26.2s, p95:26.2s, iters:0, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_191	49895910.04	0	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:26.2s, avg: 26.2s, p80:26.2s, p95:26.2s, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            └─ExchangeSender_190	49895910.04	0	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:0s, avg: 13.1s, p80:26.2s, p95:26.2s, iters:5692, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
              └─Projection_115	49895910.04	0	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:0s, avg: 13.1s, p80:26.2s, p95:26.2s, iters:5692, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.part.p_name, tpch_sf40.supplier.s_name, tpch_sf40.region.r_name	N/A	N/A
                └─Projection_189	49895910.04	0	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:0s, avg: 13.1s, p80:26.2s, p95:26.2s, iters:5692, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.part.p_name, tpch_sf40.lineitem.l_partkey	N/A	N/A
                  └─HashJoin_116	49895910.04	0	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:0s, avg: 13.1s, p80:26.2s, p95:26.2s, iters:5692, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
                    ├─Selection_152(Build)	6399905.57	0	mpp[tiflash]		tiflash_task:{proc max:3.56s, min:0s, avg: 1.78s, p80:3.56s, p95:3.56s, iters:0, tasks:2, threads:4}	gt(Column#100, 5)	N/A	N/A
