-- Query: 26042
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
        RANK() OVER (PARTITION BY o.o_orderdate OR...
-- Execution time: 33.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_144	74687538.92	43169	root		time:33.8s, loops:44, RU:190011.938329	tpch_sf40.orders.o_orderdate, Column#108:desc	9.47 MB	0 Bytes
└─Projection_146	74687538.92	43169	root		time:33.8s, loops:45, Concurrency:2	tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, Column#108, tpch_sf40.part.p_name, Column#157, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal	234.8 KB	N/A
  └─HashJoin_160	74687538.92	43169	root		time:33.8s, loops:45, build_hash_table:{total:78.2ms, fetch:46.9ms, build:31.3ms}, probe:{concurrency:2, total:1m7.5s, max:33.8s, probe:37.2ms, fetch and wait:1m7.5s}	left outer join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	26.4 MB	0 Bytes
    ├─TableReader_466(Build)	199595.31	199739	root		time:45ms, loops:200, cop_task: {num: 8, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_465	2.32 MB	N/A
    │ └─ExchangeSender_465	199595.31	199739	mpp[tiflash]		tiflash_task:{time:45.6ms, loops:7, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │   └─TableFullScan_463	199595.31	199739	mpp[tiflash]	table:s	tiflash_task:{time:38.6ms, loops:7, threads:2}, tiflash_wait: {pipeline_queue_wait: 27ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:24ms, max_local_stream:27ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:400000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:11ms}}	pushed down filter:gt(tpch_sf40.supplier.s_acctbal, 4496.104108), keep order:false	N/A	N/A
    └─TableReader_459(Probe)	74687538.92	43169	root		time:33.8s, loops:76, cop_task: {num: 46, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_458	146.1 KB	N/A
      └─ExchangeSender_458	74687538.92	43169	mpp[tiflash]		tiflash_task:{proc max:33.8s, min:33.8s, avg: 33.8s, p80:33.8s, p95:33.8s, iters:8208, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        └─Selection_253	74687538.92	43169	mpp[tiflash]		tiflash_task:{proc max:33.7s, min:33.7s, avg: 33.7s, p80:33.7s, p95:33.7s, iters:8208, tasks:2, threads:4}	or(isnull(Column#157), gt(Column#157, 50))	N/A	N/A
          └─Projection_244	93359423.65	43169	mpp[tiflash]		tiflash_task:{proc max:33.7s, min:33.7s, avg: 33.7s, p80:33.7s, p95:33.7s, iters:14241, tasks:2, threads:4}	Column#108, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.lineitem.l_suppkey, Column#157, tpch_sf40.part.p_name	N/A	N/A
            └─HashJoin_163	93359423.65	43169	mpp[tiflash]		tiflash_task:{proc max:33.7s, min:33.7s, avg: 33.7s, p80:33.7s, p95:33.7s, iters:14241, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
              ├─ExchangeReceiver_194(Build)	23175451.97	6315	mpp[tiflash]		tiflash_task:{proc max:15.1s, min:15.1s, avg: 15.1s, p80:15.1s, p95:15.1s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2083ms}	stream_count: 2	N/A	N/A
              │ └─ExchangeSender_193	23175451.97	6315	mpp[tiflash]		tiflash_task:{proc max:15.1s, min:0s, avg: 7.56s, p80:15.1s, p95:15.1s, iters:447, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
              │   └─Selection_165	23175451.97	6315	mpp[tiflash]		tiflash_task:{proc max:15.1s, min:0s, avg: 7.56s, p80:15.1s, p95:15.1s, iters:447, tasks:2, threads:4}	le(Column#110, 5), stream_count: 2	N/A	N/A
              │     └─Window_166	28969314.96	29234172	mpp[tiflash]		tiflash_task:{proc max:15.1s, min:0s, avg: 7.56s, p80:15.1s, p95:15.1s, iters:447, tasks:2, threads:4}	rank()->Column#110 over(partition by tpch_sf40.orders.o_orderdate order by Column#108 desc), stream_count: 2	N/A	N/A
              │       └─Sort_192	28969314.96	29234172	mpp[tiflash]		tiflash_task:{proc max:15s, min:0s, avg: 7.5s, p80:15s, p95:15s, iters:447, tasks:2, threads:4}	tpch_sf40.orders.o_orderdate, Column#108:desc, stream_count: 2	N/A	N/A
              │         └─ExchangeReceiver_191	28969314.96	29234172	mpp[tiflash]		tiflash_task:{proc max:11.2s, min:0s, avg: 5.59s, p80:11.2s, p95:11.2s, iters:2048, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 404ms}	stream_count: 2	N/A	N/A
