-- Query: 26043
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        n.n_name AS nation_name,
        s.s_acctbal,
        ROW_NUMBER() OVER (PARTITION BY n.n_name ORDER BY s.s_acctbal...
-- Execution time: 18.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_186	2548612287055.33	0	root		time:18.6s, loops:1, RU:105614.772177	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_acctbal:desc	0 Bytes	0 Bytes
└─Projection_190	2548612287055.33	0	root		time:18.6s, loops:1, Concurrency:2	tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_acctbal, Column#101, Column#146	21.8 KB	N/A
  └─HashJoin_194	2548612287055.33	0	root		time:18.6s, loops:1, build_hash_table:{total:18.6s, fetch:18.6s, build:6.59µs}, probe:{concurrency:2, total:37.2s, max:18.6s, probe:17.7µs, fetch and wait:37.2s}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.supplier.s_suppkey)]	58.0 KB	0 Bytes
    ├─TableReader_323(Build)	18540361.57	5	root		time:18.6s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_322	3.05 KB	N/A
    │ └─ExchangeSender_322	18540361.57	5	mpp[tiflash]		tiflash_task:{time:18.6s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_229	18540361.57	5	mpp[tiflash]		tiflash_task:{time:18.6s, loops:1, threads:2}	le(Column#148, 5)	N/A	N/A
    │     └─Window_225	23175451.97	28615801	mpp[tiflash]		tiflash_task:{time:18.6s, loops:437, threads:2}	rank()->Column#148 over(order by Column#146 desc)	N/A	N/A
    │       └─Sort_224	23175451.97	28615801	mpp[tiflash]		tiflash_task:{time:18.2s, loops:437, threads:1}	Column#146:desc	N/A	N/A
    │         └─ExchangeReceiver_223	23175451.97	28615801	mpp[tiflash]		tiflash_task:{time:8.13s, loops:512, threads:2}, tiflash_wait: {pipeline_queue_wait: 581ms}		N/A	N/A
    │           └─ExchangeSender_222	23175451.97	28615801	mpp[tiflash]		tiflash_task:{time:9.9s, loops:512, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
    │             └─Selection_199	23175451.97	28615801	mpp[tiflash]		tiflash_task:{time:9.85s, loops:512, threads:4}	gt(Column#146, 10000)	N/A	N/A
    │               └─Projection_215	28969314.96	29234172	mpp[tiflash]		tiflash_task:{time:9.74s, loops:768, threads:4}	Column#146, tpch_sf40.orders.o_orderkey	N/A	N/A
    │                 └─HashAgg_200	28969314.96	29234172	mpp[tiflash]		tiflash_task:{time:9.74s, loops:768, threads:4}	group by:Column#170, funcs:sum(Column#169)->Column#146, funcs:firstrow(Column#170)->tpch_sf40.orders.o_orderkey	N/A	N/A
    │                   └─Projection_456	117521112.53	116263201	mpp[tiflash]		tiflash_task:{time:6.25s, loops:7750, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#169, tpch_sf40.orders.o_orderkey->Column#170	N/A	N/A
    │                     └─Projection_211	117521112.53	116263201	mpp[tiflash]		tiflash_task:{time:6.14s, loops:7750, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
    │                       └─HashJoin_202	117521112.53	116263201	mpp[tiflash]		tiflash_task:{time:6.14s, loops:7750, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
    │                         ├─ExchangeReceiver_207(Build)	29173325.97	29234172	mpp[tiflash]		tiflash_task:{time:1.49s, loops:1863, threads:4}, tiflash_wait: {pipeline_queue_wait: 750ms}	stream_count: 2	N/A	N/A
    │                         │ └─ExchangeSender_206	29173325.97	29234172	mpp[tiflash]		tiflash_task:{time:2s, loops:965, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
