-- Query: 26067
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        c.c_custkey,
        o.o_orderdate,
        o.o_totalprice,
        RANK() OVER (PARTITION BY c.c_nationkey ORDER BY o.o_totalprice DES...
-- Execution time: 15.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_60	12250644480000.00	25	root		time:15.1s, loops:2, RU:63140.102214	Column#81:desc, tpch_sf40.orders.o_orderdate	5.67 KB	0 Bytes
└─Projection_62	12250644480000.00	25	root		time:15.1s, loops:2, Concurrency:2	tpch_sf40.customer.c_custkey, Column#80, Column#81, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#105, tpch_sf40.supplier.s_name, Column#126	21.1 KB	N/A
  └─Selection_64	12250644480000.00	25	root		time:15.1s, loops:2	isnull(tpch_sf40.supplier.s_name)	5.28 KB	N/A
    └─HashJoin_66	15313305600000.00	25	root		time:15.1s, loops:3, build_hash_table:{total:4.3s, fetch:4.29s, build:15.2ms}, probe:{concurrency:2, total:29.4s, max:15.1s, probe:818.6ms, fetch and wait:28.6s}	CARTESIAN left outer join, other cond:lt(Column#126, Column#81)	49.5 MB	0 Bytes
      ├─TableReader_338(Build)	319027.20	400000	root		time:4.29s, loops:537, cop_task: {num: 178, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_337	4.13 MB	N/A
      │ └─ExchangeSender_337	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:4.3s, min:4.24s, avg: 4.27s, p80:4.3s, p95:4.3s, iters:516, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_254	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:4.28s, min:4.22s, avg: 4.25s, p80:4.28s, p95:4.28s, iters:516, tasks:2, threads:4}	gt(Column#126, 10000), not(isnull(Column#126))	N/A	N/A
      │     └─Projection_333	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.28s, min:4.22s, avg: 4.25s, p80:4.28s, p95:4.28s, iters:516, tasks:2, threads:4}	Column#126, tpch_sf40.supplier.s_name	N/A	N/A
      │       └─HashAgg_334	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.28s, min:4.22s, avg: 4.25s, p80:4.28s, p95:4.28s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#147)->Column#126, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_336	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:4.25s, min:4.19s, avg: 4.22s, p80:4.25s, p95:4.25s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 779ms}	stream_count: 2	N/A	N/A
      │           └─ExchangeSender_335	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:4.21s, min:0s, avg: 2.11s, p80:4.21s, p95:4.21s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │             └─HashAgg_331	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:4.2s, min:0s, avg: 2.1s, p80:4.2s, p95:4.2s, iters:512, tasks:2, threads:4}	group by:Column#150, Column#151, funcs:sum(Column#149)->Column#147	N/A	N/A
      │               └─Projection_345	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.53s, min:0s, avg: 1.26s, p80:2.53s, p95:2.53s, iters:509, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#149, tpch_sf40.supplier.s_suppkey->Column#150, tpch_sf40.supplier.s_name->Column#151	N/A	N/A
      │                 └─Projection_320	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.49s, min:0s, avg: 1.25s, p80:2.49s, p95:2.49s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
      │                   └─HashJoin_319	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.49s, min:0s, avg: 1.25s, p80:2.49s, p95:2.49s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
      │                     ├─ExchangeReceiver_290(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:459.6ms, min:0s, avg: 229.8ms, p80:459.6ms, p95:459.6ms, iters:14, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 355ms}		N/A	N/A
      │                     │ └─ExchangeSender_289	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:225.4ms, min:0s, avg: 112.7ms, p80:225.4ms, p95:225.4ms, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
