-- Query: 26070
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_acctbal,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_value,
        COUNT(DISTINCT ps.ps_partk...
-- Execution time: 88.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_78	1225066489777.48	15241199	root		time:1m27.2s, loops:14885, RU:130742.142598	Column#161:desc, Column#160:desc	2.46 GB	0 Bytes
└─Projection_80	1225066489777.48	15241199	root		time:1m21.3s, loops:14886, Concurrency:2	tpch_sf40.customer.c_name, Column#160, Column#161, tpch_sf40.supplier.s_name, Column#184	322.9 KB	N/A
  └─HashJoin_82	1225066489777.48	15241199	root		time:1m20.3s, loops:14886, build_hash_table:{total:19.1s, fetch:19.1s, build:3.85µs}, probe:{concurrency:2, total:2m42.8s, max:1m21.4s, probe:3.55s, fetch and wait:2m39.2s}	CARTESIAN left outer join, left cond:[gt(Column#160, 10)]	66.0 KB	0 Bytes
    ├─TableReader_374(Build)	255221.76	5	root		time:19.1s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_373	3.14 KB	N/A
    │ └─ExchangeSender_373	255221.76	5	mpp[tiflash]		tiflash_task:{time:19.1s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_272	255221.76	5	mpp[tiflash]		tiflash_task:{time:19.1s, loops:1, threads:2}	le(Column#187, 5)	N/A	N/A
    │     └─Window_372	319027.20	400000	mpp[tiflash]		tiflash_task:{time:19.1s, loops:7, threads:2}	row_number()->Column#187 over(order by Column#184 desc rows between current row and current row)	N/A	N/A
    │       └─Sort_296	319027.20	400000	mpp[tiflash]		tiflash_task:{time:19.1s, loops:7, threads:1}	Column#184:desc	N/A	N/A
    │         └─ExchangeReceiver_295	319027.20	400000	mpp[tiflash]		tiflash_task:{time:19s, loops:17, threads:2}, tiflash_wait: {pipeline_queue_wait: 11ms}		N/A	N/A
    │           └─ExchangeSender_294	319027.20	400000	mpp[tiflash]		tiflash_task:{time:19s, loops:262, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
    │             └─Selection_276	319027.20	400000	mpp[tiflash]		tiflash_task:{time:19s, loops:262, threads:4}	gt(Column#184, 1000000)	N/A	N/A
    │               └─Projection_290	398784.00	400000	mpp[tiflash]		tiflash_task:{time:19s, loops:262, threads:4}	Column#184, tpch_sf40.supplier.s_name	N/A	N/A
    │                 └─HashAgg_291	398784.00	400000	mpp[tiflash]		tiflash_task:{time:19s, loops:262, threads:4}	group by:tpch_sf40.supplier.s_acctbal, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#212)->Column#184, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
    │                   └─ExchangeReceiver_293	398784.00	800000	mpp[tiflash]		tiflash_task:{time:19s, loops:96, threads:4}, tiflash_wait: {pipeline_queue_wait: 31ms}	stream_count: 2	N/A	N/A
    │                     └─ExchangeSender_292	398784.00	800000	mpp[tiflash]		tiflash_task:{time:19s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.supplier.s_acctbal, collate: binary], stream_count: 2	N/A	N/A
    │                       └─HashAgg_278	398784.00	800000	mpp[tiflash]		tiflash_task:{time:19s, loops:512, threads:4}	group by:Column#222, Column#223, Column#224, funcs:sum(Column#221)->Column#212	N/A	N/A
    │                         └─Projection_378	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:17.3s, loops:509, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#221, tpch_sf40.supplier.s_suppkey->Column#222, tpch_sf40.supplier.s_name->Column#223, tpch_sf40.supplier.s_acctbal->Column#224	N/A	N/A
    │                           └─Projection_289	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:17.3s, loops:509, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
    │                             └─HashJoin_288	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:17.3s, loops:509, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
    │                               ├─ExchangeReceiver_282(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{time:1.51s, loops:12, threads:4}, tiflash_wait: {pipeline_queue_wait: 4ms}		N/A	N/A
    │                               │ └─ExchangeSender_281	400000.00	400000	mpp[tiflash]		tiflash_task:{time:1.51s, loops:7, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │                               │   └─TableFullScan_280	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:1.5s, loops:7, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:211ms, min_local_stream:1491ms, max_local_stream:1492ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:781ms}}	keep order:false	N/A	N/A
    │                               └─TableFullScan_283(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{time:16.5s, loops:509, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1514ms, pipeline_queue_wait: 316ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 14/8=1.750000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1607ms, min_local_stream:13400ms, max_local_stream:16515ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:47639ms}}	keep order:false	N/A	N/A
    └─TableReader_270(Probe)	4800008.00	3989815	root		time:1m16.8s, loops:4097, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_269	581.7 KB	N/A
