-- Query: 26071
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        COUNT(DISTINCT ps.ps_partkey) AS total_parts,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_value
    FROM ...
-- Execution time: 55.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_64	2394106413333.28	8800000	root		time:54s, loops:8595, RU:115519.778946	Column#70:desc, Column#89:desc	2.42 GB	0 Bytes
└─Projection_66	2394106413333.28	8800000	root		time:47.3s, loops:8595, Concurrency:2	tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, Column#70, Column#89, coalesce(minus(tpch_sf40.part.p_retailprice, div(Column#89, cast(if(eq(Column#88, 0), <nil>, Column#88), decimal(20,0) BINARY))), 0)->Column#132	623.7 KB	N/A
  └─Projection_68	2394106413333.28	8800000	root		time:46.7s, loops:8595, Concurrency:2	Column#70, tpch_sf40.customer.c_name, Column#88, Column#89, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, tpch_sf40.supplier.s_name	562.2 KB	N/A
    └─HashJoin_70	2394106413333.28	8800000	root		time:47.2s, loops:8595, build_hash_table:{total:38.8s, fetch:38.8s, build:14.9ms}, probe:{concurrency:2, total:1m29.8s, max:47.4s, probe:2.18s, fetch and wait:1m27.6s}	CARTESIAN inner join	41.8 MB	0 Bytes
      ├─TableReader_312(Build)	398784.00	400000	root		time:38.8s, loops:537, cop_task: {num: 178, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_311	3.00 MB	N/A
      │ └─ExchangeSender_311	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:38.8s, min:38.8s, avg: 38.8s, p80:38.8s, p95:38.8s, iters:516, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Projection_307	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:38.8s, min:38.7s, avg: 38.7s, p80:38.8s, p95:38.8s, iters:516, tasks:2, threads:4}	Column#88, Column#89	N/A	N/A
      │     └─HashAgg_308	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:38.8s, min:38.7s, avg: 38.7s, p80:38.8s, p95:38.8s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:count(distinct tpch_sf40.partsupp.ps_partkey)->Column#88, funcs:sum(Column#150)->Column#89, stream_count: 2	N/A	N/A
      │       └─ExchangeReceiver_310	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:36.6s, min:36.3s, avg: 36.5s, p80:36.6s, p95:36.6s, iters:2052, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 4617ms}	stream_count: 2	N/A	N/A
      │         └─ExchangeSender_309	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:38.7s, min:0s, avg: 19.3s, p80:38.7s, p95:38.7s, iters:768, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │           └─HashAgg_248	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:37s, min:0s, avg: 18.5s, p80:37s, p95:37s, iters:768, tasks:2, threads:4}	group by:Column#153, Column#154, Column#155, funcs:sum(Column#152)->Column#150	N/A	N/A
      │             └─Projection_322	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:0s, avg: 13.1s, p80:26.2s, p95:26.2s, iters:509, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#152, tpch_sf40.supplier.s_suppkey->Column#153, tpch_sf40.supplier.s_name->Column#154, tpch_sf40.partsupp.ps_partkey->Column#155	N/A	N/A
      │               └─Projection_306	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:0s, avg: 13.1s, p80:26.2s, p95:26.2s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
      │                 └─HashJoin_305	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:0s, avg: 13.1s, p80:26.2s, p95:26.2s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
      │                   ├─ExchangeReceiver_277(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:2.6s, min:0s, avg: 1.3s, p80:2.6s, p95:2.6s, iters:12, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 20ms}		N/A	N/A
      │                   │ └─ExchangeSender_276	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.61s, min:0s, avg: 1.3s, p80:2.61s, p95:2.61s, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
      │                   │   └─TableFullScan_275	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:2.6s, min:0s, avg: 1.3s, p80:2.6s, p95:2.6s, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 8ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:10ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:2585ms, max_local_stream:2593ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:3ms}}	keep order:false	N/A	N/A
      │                   └─TableFullScan_278(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:25.6s, min:0s, avg: 12.8s, p80:25.6s, p95:25.6s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 2593ms, pipeline_queue_wait: 655ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 14/8=1.750000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:6ms, min_local_stream:17441ms, max_local_stream:25547ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:51653ms}}	keep order:false	N/A	N/A
      └─TableReader_134(Probe)	6003516.72	22	root		time:42.4s, loops:2, cop_task: {num: 5, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_133	5.85 KB	N/A
        └─ExchangeSender_133	6003516.72	22	mpp[tiflash]		tiflash_task:{proc max:42.4s, min:42.4s, avg: 42.4s, p80:42.4s, p95:42.4s, iters:3, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          └─Projection_132	6003516.72	22	mpp[tiflash]		tiflash_task:{proc max:42.4s, min:42.4s, avg: 42.4s, p80:42.4s, p95:42.4s, iters:3, tasks:2, threads:4}	tpch_sf40.supplier.s_name, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, Column#70, tpch_sf40.customer.c_name, tpch_sf40.lineitem.l_orderkey	N/A	N/A
            └─HashJoin_72	6003516.72	22	mpp[tiflash]		tiflash_task:{proc max:42.4s, min:42.4s, avg: 42.4s, p80:42.4s, p95:42.4s, iters:3, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
              ├─Selection_97(Build)	3840006.40	2573392	mpp[tiflash]		tiflash_task:{proc max:36.7s, min:34.4s, avg: 35.5s, p80:36.7s, p95:36.7s, iters:512, tasks:2, threads:4}	gt(Column#71, 5)	N/A	N/A
              │ └─Projection_113	4800008.00	5985749	mpp[tiflash]		tiflash_task:{proc max:36.6s, min:34.4s, avg: 35.5s, p80:36.6s, p95:36.6s, iters:512, tasks:2, threads:4}	Column#70, Column#71, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name	N/A	N/A
              │   └─HashAgg_99	4800008.00	5985749	mpp[tiflash]		tiflash_task:{proc max:36.6s, min:34.4s, avg: 35.5s, p80:36.6s, p95:36.6s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#70, funcs:count(tpch_sf40.orders.o_orderkey)->Column#71, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name	N/A	N/A
              │     └─Selection_101	48000000.00	31234243	mpp[tiflash]		tiflash_task:{proc max:34s, min:31.8s, avg: 32.9s, p80:34s, p95:34s, iters:1904, tasks:2, threads:4}	or(isnull(tpch_sf40.orders.o_orderstatus), eq(tpch_sf40.orders.o_orderstatus, "O"))	N/A	N/A
              │       └─Projection_110	60000000.00	62000071	mpp[tiflash]		tiflash_task:{proc max:33.7s, min:31.4s, avg: 32.5s, p80:33.7s, p95:33.7s, iters:1904, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderstatus, tpch_sf40.orders.o_totalprice	N/A	N/A
              │         └─HashJoin_103	60000000.00	62000071	mpp[tiflash]		tiflash_task:{proc max:33.7s, min:31.4s, avg: 32.5s, p80:33.7s, p95:33.7s, iters:1904, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
              │           ├─ExchangeReceiver_106(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:6.99s, min:6.97s, avg: 6.98s, p80:6.99s, p95:6.99s, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 23ms}	stream_count: 2	N/A	N/A
              │           │ └─ExchangeSender_105	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:7.09s, min:0s, avg: 3.54s, p80:7.09s, p95:7.09s, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
              │           │   └─TableFullScan_104	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:7.06s, min:0s, avg: 3.53s, p80:7.06s, p95:7.06s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 6ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:388ms, min_local_stream:0ms, max_local_stream:7052ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:6914ms}}	keep order:false	N/A	N/A
              │           └─ExchangeReceiver_109(Probe)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:31.2s, min:29.1s, avg: 30.1s, p80:31.2s, p95:31.2s, iters:1872, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 7075ms, pipeline_queue_wait: 6890ms}		N/A	N/A
              │             └─ExchangeSender_108	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:33.4s, min:0s, avg: 16.7s, p80:33.4s, p95:33.4s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
              │               └─TableFullScan_107	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{proc max:30.4s, min:0s, avg: 15.2s, p80:30.4s, p95:30.4s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3193ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:30ms, region_balance:{instance_num: 2, max/min: 21/13=1.615385}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:482ms, min_local_stream:0ms, max_local_stream:30390ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:82360ms}}	keep order:false	N/A	N/A
