-- Query: 26072
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_nationkey,
        ROW_NUMBER() OVER (PARTITION BY c.c_nationkey ORDER BY o.o_orderd...
-- Execution time: 12.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_52	25.00	25	root		time:12.3s, loops:2, RU:189563.381770	Column#93:desc, Column#91:desc	6.21 KB	0 Bytes
└─TableReader_359	25.00	25	root		time:12.3s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_358	7.74 KB	N/A
  └─ExchangeSender_358	25.00	25	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:12.3s, avg: 12.3s, p80:12.3s, p95:12.3s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_55	25.00	25	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:12.3s, avg: 12.3s, p80:12.3s, p95:12.3s, iters:4, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#91, coalesce(Column#92, 0)->Column#95, Column#93, Column#94	N/A	N/A
      └─Projection_354	25.00	25	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:12.3s, avg: 12.3s, p80:12.3s, p95:12.3s, iters:4, tasks:2, threads:4}	Column#91, Column#92, Column#93, div(Column#94, cast(case(eq(Column#132, 0), 1, Column#132), decimal(20,0) BINARY))->Column#94, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
        └─HashAgg_355	25.00	25	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:12.3s, avg: 12.3s, p80:12.3s, p95:12.3s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#91, funcs:sum(Column#133)->Column#92, funcs:sum(Column#134)->Column#93, funcs:sum(Column#135)->Column#132, funcs:sum(Column#136)->Column#94, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_357	25.00	218	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:12.3s, avg: 12.3s, p80:12.3s, p95:12.3s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_356	25.00	218	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:0s, avg: 6.14s, p80:12.3s, p95:12.3s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_352	25.00	218	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:0s, avg: 6.14s, p80:12.3s, p95:12.3s, iters:2, tasks:2, threads:2}	group by:Column#143, Column#144, Column#145, funcs:sum(Column#139)->Column#133, funcs:sum(Column#140)->Column#134, funcs:count(Column#141)->Column#135, funcs:sum(Column#142)->Column#136	N/A	N/A
                └─Projection_362	193362025.54	542	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:0s, avg: 6.14s, p80:12.3s, p95:12.3s, iters:4, tasks:2, threads:4}	Column#90->Column#139, mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#140, case(eq(tpch_sf40.lineitem.l_returnflag, R), tpch_sf40.lineitem.l_quantity, <nil>)->Column#141, case(eq(tpch_sf40.lineitem.l_returnflag, R), tpch_sf40.lineitem.l_quantity, <nil>)->Column#142, tpch_sf40.nation.n_name->Column#143, tpch_sf40.region.r_name->Column#144, tpch_sf40.orders.o_orderkey->Column#145	N/A	N/A
