-- Query: 26080
-- SQL: WITH OrderSummary AS (
    SELECT 
        o.o_orderkey,
        o.o_orderstatus,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
        COUNT(DISTINCT l.l_partkey) AS unique_pa...
-- Execution time: 365.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_69	25.00	25	root		time:6m5.8s, loops:2, RU:434459.105433, Concurrency:OFF	tpch_sf40.region.r_name, Column#160->Column#165, Column#159->Column#166, Column#163->Column#167	4.17 KB	N/A
└─Sort_71	25.00	25	root		time:6m5.8s, loops:2	tpch_sf40.region.r_name	4.56 KB	0 Bytes
  └─Window_74	25.00	25	root		time:6m5.8s, loops:2	rank()->Column#163 over(order by Column#162 desc)	N/A	N/A
    └─Sort_397	25.00	25	root		time:6m5.8s, loops:2	Column#162:desc	4.19 KB	0 Bytes
      └─Projection_169	25.00	25	root		time:6m5.8s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, coalesce(Column#151, 0)->Column#160, Column#159, coalesce(Column#151, 0)->Column#162	2.39 KB	N/A
        └─HashAgg_171	25.00	25	root		time:6m5.8s, loops:2	group by:Column#151, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#159, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, funcs:firstrow(Column#151)->Column#151	13.0 MB	0 Bytes
          └─Projection_175	399987.00	400000	root		time:6m5.7s, loops:392, Concurrency:2	tpch_sf40.region.r_name, Column#151, tpch_sf40.supplier.s_suppkey	296 KB	N/A
            └─HashJoin_178	399987.00	400000	root		time:6m5.8s, loops:392, build_hash_table:{total:6m5.6s, fetch:6m5.6s, build:12.1µs}, probe:{concurrency:2, total:12m11.6s, max:6m5.8s, probe:56.2ms, fetch and wait:12m11.5s}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_nationkey)]	3.41 KB	0 Bytes
              ├─HashAgg_241(Build)	25.00	25	root		time:6m5.6s, loops:3, partial_worker:{wall_time:6m5.604934576s, concurrency:2, task_num:167, tot_wait:12m11.197870491s, tot_exec:11.775394ms, tot_time:12m11.209801014s, max:6m5.604900888s, p95:6m5.604900888s}, final_worker:{wall_time:6m5.605413632s, concurrency:2, task_num:4, tot_wait:754ns, tot_exec:1.706µs, tot_time:12m11.2098604s, max:6m5.604943654s, p95:6m5.604943654s}	group by:tpch_sf40.nation.n_nationkey, funcs:sum(Column#136)->Column#151, funcs:firstrow(tpch_sf40.nation.n_nationkey)->tpch_sf40.nation.n_nationkey	297.9 KB	0 Bytes
              │ └─Projection_249	5999990.00	170477	root		time:6m5.6s, loops:168, Concurrency:2	Column#136, tpch_sf40.nation.n_nationkey	215.1 KB	N/A
