-- Query: 26081
-- SQL: WITH RegionalSales AS (
    SELECT 
        n.n_name AS nation,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        ROW_NUMBER() OVER (PARTITION BY n.n_nationkey ORDER BY SUM(l...
-- Execution time: 544.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_90	20.00	25	root		time:9m4.5s, loops:2, RU:631634.163633	Column#154:desc, Column#184	4.44 KB	0 Bytes
└─Projection_92	20.00	25	root		time:9m4.5s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, Column#154, coalesce(Column#183, 0)->Column#184, case(gt(Column#154, mul(1.0, coalesce(Column#183, 0))), Profitable, Not Profitable)->Column#185	3.43 KB	N/A
  └─HashJoin_96	20.00	25	root		time:9m4.5s, loops:2, build_hash_table:{total:9m4.4s, fetch:9m4.4s, build:224µs}, probe:{concurrency:2, total:18m8.9s, max:9m4.5s, probe:30.5ms, fetch and wait:18m8.9s}	left outer join, equal:[eq(tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name)]	74.3 KB	0 Bytes
    ├─Selection_174(Build)	20.00	25	root		time:9m4.4s, loops:2	le(Column#156, 5)	2.77 KB	N/A
    │ └─Shuffle_318	25.00	25	root		time:9m4.4s, loops:4, ShuffleConcurrency:2	execution info: concurrency:2, data sources:[HashAgg_182]	N/A	N/A
    │   └─Window_177	25.00	25	root		time:18m8.8s, loops:4	row_number()->Column#156 over(partition by tpch_sf40.nation.n_nationkey order by Column#154 desc rows between current row and current row)	N/A	N/A
    │     └─Sort_302	25.00	25	root		time:18m8.8s, loops:4	tpch_sf40.nation.n_nationkey, Column#154:desc	2.57 KB	0 Bytes
    │       └─ShuffleReceiver_433	25.00	25	root		time:18m8.8s, loops:4		N/A	N/A
    │         └─HashAgg_182	25.00	25	root		time:9m4.4s, loops:3, partial_worker:{wall_time:9m4.426895426s, concurrency:2, task_num:35657, tot_wait:18m5.514522106s, tot_exec:3.308984982s, tot_time:18m8.829957687s, max:9m4.414979463s, p95:9m4.414979463s}, final_worker:{wall_time:9m4.426914182s, concurrency:2, task_num:4, tot_wait:1.324µs, tot_exec:3.855µs, tot_time:18m8.830002249s, max:9m4.415002241s, p95:9m4.415002241s}	group by:Column#206, Column#207, funcs:sum(Column#205)->Column#154, funcs:firstrow(Column#206)->tpch_sf40.nation.n_nationkey, funcs:firstrow(Column#207)->tpch_sf40.nation.n_name	436.6 KB	0 Bytes
    │           └─Projection_431	36837722.65	36510994	root		time:9m4.3s, loops:35658, Concurrency:2	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#205, tpch_sf40.nation.n_nationkey->Column#206, tpch_sf40.nation.n_name->Column#207	429.5 KB	N/A
    │             └─Projection_186	36837722.65	36510994	root		time:9m4s, loops:35658, Concurrency:2	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	478.1 KB	N/A
    │               └─IndexHashJoin_197	36837722.65	36510994	root		time:9m4.1s, loops:35658, inner:{total:18m0.3s, concurrency:2, task:361, construct:1.82s, fetch:17m51.5s, build:451.5ms, join:6.97s}	inner join, inner:TableReader_192, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	29.4 MB	N/A
    │                 ├─TableReader_227(Build)	9144560.22	9128300	root		time:4.27s, loops:9167, cop_task: {num: 905, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_226	1.04 MB	N/A
    │                 │ └─ExchangeSender_226	9144560.22	9128300	mpp[tiflash]		tiflash_task:{proc max:1m15.6s, min:1m15.1s, avg: 1m15.3s, p80:1m15.6s, p95:1m15.6s, iters:903, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │                 │   └─Projection_225	9144560.22	9128300	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:20.8s, avg: 20.8s, p80:20.9s, p95:20.9s, iters:903, tasks:2, threads:4}	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_custkey	N/A	N/A
    │                 │     └─HashJoin_207	9144560.22	9128300	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:20.8s, avg: 20.8s, p80:20.9s, p95:20.9s, iters:903, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
    │                 │       ├─ExchangeReceiver_113(Build)	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:4.04s, min:4.04s, avg: 4.04s, p80:4.04s, p95:4.04s, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 67ms}	stream_count: 2	N/A	N/A
    │                 │       │ └─ExchangeSender_112	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:4.14s, min:0s, avg: 2.07s, p80:4.14s, p95:4.14s, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
    │                 │       │   └─Projection_111	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:4.11s, min:0s, avg: 2.06s, p80:4.11s, p95:4.11s, iters:95, tasks:2, threads:4}	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, tpch_sf40.customer.c_custkey	N/A	N/A
    │                 │       │     └─HashJoin_106	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:4.11s, min:0s, avg: 2.06s, p80:4.11s, p95:4.11s, iters:95, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
    │                 │       │       ├─ExchangeReceiver_109(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:283.3ms, min:0s, avg: 141.7ms, p80:283.3ms, p95:283.3ms, iters:2, tasks:2, threads:4}		N/A	N/A
    │                 │       │       │ └─ExchangeSender_108	25.00	25	mpp[tiflash]		tiflash_task:{proc max:262.2ms, min:0s, avg: 131.1ms, p80:262.2ms, p95:262.2ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
