-- Query: 26094
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        RANK() OVER (PARTITION BY o.o_clerk ORDER BY o.o_orderdate DESC) AS order_rank
    FROM ...
-- Execution time: 5.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_55	1.60	2	root		time:5.48s, loops:2, RU:41658.460921, Concurrency:OFF	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, Column#107->Column#111, Column#108->Column#112, Column#105->Column#113, Column#106->Column#114	4.91 KB	N/A
└─Sort_57	1.60	2	root		time:5.48s, loops:2	Column#107:desc, Column#108	4.94 KB	0 Bytes
  └─Projection_59	1.60	2	root		time:5.48s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, coalesce(Column#103, 0)->Column#107, coalesce(Column#104, 0)->Column#108, Column#105, Column#106, Column#105	4.54 KB	N/A
    └─Selection_61	1.60	2	root		time:5.48s, loops:2	gt(Column#105, 5)	4.54 KB	N/A
      └─HashAgg_63	2.00	2	root		time:5.48s, loops:3	group by:tpch_sf40.nation.n_name, tpch_sf40.nation.n_nationkey, funcs:sum(tpch_sf40.partsupp.ps_supplycost)->Column#103, funcs:sum(Column#101)->Column#104, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#105, funcs:count(distinct tpch_sf40.lineitem.l_orderkey)->Column#106, funcs:firstrow(tpch_sf40.nation.n_nationkey)->tpch_sf40.nation.n_nationkey, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name	395.6 KB	0 Bytes
        └─Projection_67	2585805.31	638816	root		time:5.37s, loops:625, Concurrency:2	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.orders.o_orderkey, Column#101, tpch_sf40.lineitem.l_orderkey	522.0 KB	N/A
          └─IndexJoin_78	2585805.31	638816	root		time:5.44s, loops:625, inner:{total:1.33s, concurrency:2, task:441, construct:78.1ms, fetch:1.23s, build:13ms}, probe:68.9ms	left outer join, inner:HashAgg_72, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	924.3 KB	N/A
            ├─TableReader_145(Build)	2585805.31	638816	root		time:4.82s, loops:881, cop_task: {num: 443, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_144	316.0 KB	N/A
            │ └─ExchangeSender_144	2585805.31	638816	mpp[tiflash]		tiflash_task:{proc max:5.39s, min:5.39s, avg: 5.39s, p80:5.39s, p95:5.39s, iters:655, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
            │   └─Projection_143	2585805.31	638816	mpp[tiflash]		tiflash_task:{proc max:5.38s, min:5.38s, avg: 5.38s, p80:5.38s, p95:5.38s, iters:655, tasks:2, threads:4}	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, tpch_sf40.orders.o_orderkey, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.supplier.s_suppkey	N/A	N/A
