-- Query: 26104
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        SUM(ps.ps_availqty) AS total_avail_qty, 
        ROW_NUMBER() OVER (PARTITION BY s.s_nationkey ORDER BY SUM(ps.ps...
-- Execution time: 6.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_66	4800000.00	2000609	root		time:6.21s, loops:1955, RU:26446.811117	Column#105:desc	298.2 MB	0 Bytes
└─Projection_68	4800000.00	2000609	root		time:5.94s, loops:1955, Concurrency:2	tpch_sf40.customer.c_name, Column#105, coalesce(Column#124, 0)->Column#131, case(le(Column#107, 10), Top Customer, Regular Customer)->Column#132	384.1 KB	N/A
  └─HashJoin_71	4800000.00	2000609	root		time:5.84s, loops:1955, build_hash_table:{total:2.74s, fetch:2.67s, build:72.4ms}, probe:{concurrency:2, total:11.9s, max:5.94s, probe:420.3ms, fetch and wait:11.5s}	left outer join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.supplier.s_suppkey)]	48.7 MB	0 Bytes
    ├─TableReader_276(Build)	398784.00	400000	root		time:2.67s, loops:393, cop_task: {num: 10, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_275	8.01 MB	N/A
    │ └─ExchangeSender_275	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.66s, min:2.65s, avg: 2.66s, p80:2.66s, p95:2.66s, iters:8, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   └─Window_273	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.65s, min:2.65s, avg: 2.65s, p80:2.65s, p95:2.65s, iters:8, tasks:2, threads:4}	row_number()->Column#126 over(partition by tpch_sf40.supplier.s_nationkey order by Column#124 desc rows between current row and current row), stream_count: 2	N/A	N/A
    │     └─Sort_128	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.65s, min:2.64s, avg: 2.65s, p80:2.65s, p95:2.65s, iters:8, tasks:2, threads:4}	tpch_sf40.supplier.s_nationkey, Column#124:desc, stream_count: 2	N/A	N/A
    │       └─ExchangeReceiver_127	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.62s, min:2.62s, avg: 2.62s, p80:2.62s, p95:2.62s, iters:36, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 8ms}	stream_count: 2	N/A	N/A
    │         └─ExchangeSender_126	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.63s, min:0s, avg: 1.32s, p80:2.63s, p95:2.63s, iters:516, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_nationkey, collate: binary], stream_count: 2	N/A	N/A
    │           └─Projection_122	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.63s, min:0s, avg: 1.32s, p80:2.63s, p95:2.63s, iters:516, tasks:2, threads:4}	Column#124, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_nationkey	N/A	N/A
