-- Query: 26105
-- SQL: WITH RankedOrders AS (
    SELECT 
        o_orderkey,
        o_orderdate,
        o_totalprice,
        RANK() OVER (PARTITION BY o_orderdate ORDER BY o_totalprice DESC) AS price_rank
    FROM order...
-- Execution time: 17.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_76	60966528.81	6591	root		time:17.1s, loops:8, RU:185174.440694	tpch_sf40.orders.o_orderdate:desc, tpch_sf40.orders.o_totalprice:desc	1.41 MB	0 Bytes
└─TableReader_393	60966528.81	6591	root		time:17.1s, loops:11, cop_task: {num: 10, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_392	193.4 KB	N/A
  └─ExchangeSender_392	60966528.81	6591	mpp[tiflash]		tiflash_task:{proc max:17.1s, min:17s, avg: 17s, p80:17.1s, p95:17.1s, iters:733, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_79	60966528.81	6591	mpp[tiflash]		tiflash_task:{proc max:17.1s, min:17s, avg: 17s, p80:17.1s, p95:17.1s, iters:733, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.part.p_name, Column#114, tpch_sf40.customer.c_name, Column#156, case(eq(tpch_sf40.lineitem.l_returnflag, R), Returned, Not Returned)->Column#167	N/A	N/A
      └─Selection_391	60966528.81	6591	mpp[tiflash]		tiflash_task:{proc max:17.1s, min:17s, avg: 17s, p80:17.1s, p95:17.1s, iters:733, tasks:2, threads:4}	or(gt(tpch_sf40.orders.o_totalprice, 500.00), gt(Column#156, 100.00))	N/A	N/A
        └─Projection_388	76208161.01	6591	mpp[tiflash]		tiflash_task:{proc max:17s, min:17s, avg: 17s, p80:17s, p95:17s, iters:1776, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.part.p_name, Column#114, tpch_sf40.customer.c_name, Column#156, tpch_sf40.lineitem.l_returnflag	N/A	N/A
          └─HashJoin_387	76208161.01	6591	mpp[tiflash]		tiflash_task:{proc max:17s, min:17s, avg: 17s, p80:17s, p95:17s, iters:1776, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderkey)]	N/A	N/A
            ├─Projection_124(Build)	18785545.60	944	mpp[tiflash]		tiflash_task:{proc max:6.18s, min:6.18s, avg: 6.18s, p80:6.18s, p95:6.18s, iters:4, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.part.p_name, Column#114	N/A	N/A
            │ └─HashJoin_85	18785545.60	944	mpp[tiflash]		tiflash_task:{proc max:6.18s, min:6.18s, avg: 6.18s, p80:6.18s, p95:6.18s, iters:4, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.part.p_partkey)]	N/A	N/A
            │   ├─Projection_122(Build)	6400000.20	7670465	mpp[tiflash]		tiflash_task:{proc max:4.19s, min:3.92s, avg: 4.06s, p80:4.19s, p95:4.19s, iters:250, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#114	N/A	N/A
            │   │ └─HashJoin_97	6400000.20	7670465	mpp[tiflash]		tiflash_task:{proc max:4.19s, min:3.92s, avg: 4.06s, p80:4.19s, p95:4.19s, iters:250, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)]	N/A	N/A
            │   │   ├─Selection_102(Build)	6371737.80	7670465	mpp[tiflash]		tiflash_task:{proc max:3.8s, min:2.6s, avg: 3.2s, p80:3.8s, p95:3.8s, iters:512, tasks:2, threads:4}	gt(Column#114, 1000.00)	N/A	N/A
            │   │   │ └─Projection_111	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:3.79s, min:2.59s, avg: 3.19s, p80:3.79s, p95:3.79s, iters:1024, tasks:2, threads:4}	Column#114, tpch_sf40.partsupp.ps_partkey	N/A	N/A
            │   │   │   └─HashAgg_112	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:3.79s, min:2.59s, avg: 3.19s, p80:3.79s, p95:3.79s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(Column#171)->Column#114, funcs:firstrow(tpch_sf40.partsupp.ps_partkey)->tpch_sf40.partsupp.ps_partkey, stream_count: 2	N/A	N/A
            │   │   │     └─ExchangeReceiver_114	7964672.25	8000005	mpp[tiflash]		tiflash_task:{proc max:3.71s, min:2.5s, avg: 3.1s, p80:3.71s, p95:3.71s, iters:512, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2316ms}	stream_count: 2	N/A	N/A
            │   │   │       └─ExchangeSender_113	7964672.25	8000005	mpp[tiflash]		tiflash_task:{proc max:2.54s, min:0s, avg: 1.27s, p80:2.54s, p95:2.54s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], stream_count: 2	N/A	N/A
            │   │   │         └─HashAgg_105	7964672.25	8000005	mpp[tiflash]		tiflash_task:{proc max:2.52s, min:0s, avg: 1.26s, p80:2.52s, p95:2.52s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(tpch_sf40.partsupp.ps_supplycost)->Column#171	N/A	N/A
            │   │   │           └─TableFullScan_110	32000000.00	32000000	mpp[tiflash]	table:partsupp	tiflash_task:{proc max:1.1s, min:0s, avg: 549.3ms, p80:1.1s, p95:1.1s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1059ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 11/11=1.000000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:44ms, min_local_stream:633ms, max_local_stream:1097ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:466ms}}	keep order:false	N/A	N/A
            │   │   └─ExchangeReceiver_101(Probe)	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:4.01s, min:3.73s, avg: 3.87s, p80:4.01s, p95:4.01s, iters:250, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 3877ms, pipeline_queue_wait: 103ms}		N/A	N/A
            │   │     └─ExchangeSender_100	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:3.97s, min:0s, avg: 1.99s, p80:3.97s, p95:3.97s, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary]	N/A	N/A
            │   │       └─TableFullScan_99	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:727.6ms, min:0s, avg: 363.8ms, p80:727.6ms, p95:727.6ms, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 680ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:10ms, tot_build_inputstream:13ms, min_local_stream:240ms, max_local_stream:716ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:10ms, tot_read:519ms}}	keep order:false	N/A	N/A
            │   └─ExchangeReceiver_96(Probe)	18785545.60	944	mpp[tiflash]		tiflash_task:{proc max:6.18s, min:6.18s, avg: 6.18s, p80:6.18s, p95:6.18s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 4264ms, pipeline_queue_wait: 14ms}		N/A	N/A
            │     └─ExchangeSender_95	18785545.60	944	mpp[tiflash]		tiflash_task:{proc max:6.18s, min:0s, avg: 3.09s, p80:6.18s, p95:6.18s, iters:361, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary]	N/A	N/A
            │       └─Selection_88	18785545.60	944	mpp[tiflash]		tiflash_task:{proc max:6.18s, min:0s, avg: 3.09s, p80:6.18s, p95:6.18s, iters:361, tasks:2, threads:4}	eq(Column#93, 1), stream_count: 2	N/A	N/A
            │         └─Window_89	23481932.00	23545056	mpp[tiflash]		tiflash_task:{proc max:6.17s, min:0s, avg: 3.09s, p80:6.17s, p95:6.17s, iters:361, tasks:2, threads:4}	rank()->Column#93 over(partition by tpch_sf40.orders.o_orderdate order by tpch_sf40.orders.o_totalprice desc), stream_count: 2	N/A	N/A
            │           └─Sort_94	23481932.00	23545056	mpp[tiflash]		tiflash_task:{proc max:6.1s, min:0s, avg: 3.05s, p80:6.1s, p95:6.1s, iters:361, tasks:2, threads:4}	tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice:desc, stream_count: 2	N/A	N/A
            │             └─ExchangeReceiver_93	23481932.00	23545056	mpp[tiflash]		tiflash_task:{proc max:4.34s, min:0s, avg: 2.17s, p80:4.34s, p95:4.34s, iters:1848, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2649ms}	stream_count: 2	N/A	N/A
