-- Query: 26115
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_totalprice,
        o.o_orderdate,
        RANK() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalprice DESC) AS order_rank
  ...
-- Execution time: 58.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_106	14939107.08	25	root		time:58.4s, loops:2, RU:127956.484268, Concurrency:2	tpch_sf40.orders.o_orderkey, Column#144->Column#148, Column#145->Column#149, Column#146->Column#150	14.6 KB	N/A
└─Sort_108	14939107.08	25	root		time:58.4s, loops:2	tpch_sf40.orders.o_orderkey	4.93 KB	0 Bytes
  └─Projection_110	14939107.08	25	root		time:58.4s, loops:2, Concurrency:2	tpch_sf40.orders.o_orderkey, Column#144, Column#145, coalesce(tpch_sf40.region.r_name, Unknown Region)->Column#146, Column#144, Column#145	14.6 KB	N/A
    └─TableReader_393	14939107.08	25	root		time:58.4s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_392	7.87 KB	N/A
      └─ExchangeSender_392	14939107.08	25	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:58.4s, avg: 58.4s, p80:58.4s, p95:58.4s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        └─Selection_113	14939107.08	25	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:58.4s, avg: 58.4s, p80:58.4s, p95:58.4s, iters:4, tasks:2, threads:4}	gt(Column#145, 0), not(isnull(Column#144))	N/A	N/A
          └─Projection_388	18673883.85	25	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:58.4s, avg: 58.4s, p80:58.4s, p95:58.4s, iters:4, tasks:2, threads:4}	Column#144, Column#145, tpch_sf40.orders.o_orderkey, tpch_sf40.region.r_name	N/A	N/A
            └─HashAgg_389	18673883.85	25	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:58.4s, avg: 58.4s, p80:58.4s, p95:58.4s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.orders.o_orderkey, tpch_sf40.region.r_name, funcs:sum(Column#160)->Column#144, funcs:count(distinct tpch_sf40.part.p_partkey)->Column#145, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
              └─ExchangeReceiver_391	18673883.85	112	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:58.4s, avg: 58.4s, p80:58.4s, p95:58.4s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}	stream_count: 2	N/A	N/A
                └─ExchangeSender_390	18673883.85	112	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:0s, avg: 29.2s, p80:58.4s, p95:58.4s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                  └─HashAgg_386	18673883.85	112	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:0s, avg: 29.2s, p80:58.4s, p95:58.4s, iters:2, tasks:2, threads:2}	group by:tpch_sf40.orders.o_orderkey, tpch_sf40.part.p_partkey, tpch_sf40.region.r_name, funcs:sum(tpch_sf40.partsupp.ps_supplycost)->Column#160	N/A	N/A
                    └─Projection_375	306647010.47	140	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:0s, avg: 29.2s, p80:58.4s, p95:58.4s, iters:29598, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.region.r_name	N/A	N/A
                      └─HashJoin_374	306647010.47	140	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:0s, avg: 29.2s, p80:58.4s, p95:58.4s, iters:29598, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
                        ├─ExchangeReceiver_130(Build)	18805391.20	5	mpp[tiflash]		tiflash_task:{proc max:12.4s, min:0s, avg: 6.18s, p80:12.4s, p95:12.4s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
                        │ └─ExchangeSender_129	18805391.20	5	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:0s, avg: 6.17s, p80:12.3s, p95:12.3s, iters:1, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
