-- Query: 26118
-- SQL: WITH cte_order_totals AS (
    SELECT 
        o.o_orderkey,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
        COUNT(DISTINCT l.l_linenumber) AS line_count,
        MAX(o.o...
-- Execution time: 29.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_170	8000000.00	933578	root		time:29.5s, loops:913, RU:144846.774841, Concurrency:2	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#144->Column#158, Column#145->Column#159, Column#146->Column#160, Column#154->Column#161, Column#155->Column#162, Column#153->Column#163	966.0 KB	N/A
└─Sort_171	8000000.00	933578	root		time:29.5s, loops:913	tpch_sf40.part.p_partkey	234.4 MB	0 Bytes
  └─Shuffle_321	8000000.00	933578	root		time:28.8s, loops:914, ShuffleConcurrency:2	execution info: concurrency:2, data sources:[Window_174]	N/A	N/A
    └─Window_173	8000000.00	933578	root		time:57.3s, loops:915	row_number()->Column#155 over(partition by tpch_sf40.part.p_brand order by Column#145 desc rows between current row and current row)	N/A	N/A
      └─Sort_320	8000000.00	933578	root		time:57.3s, loops:915	tpch_sf40.part.p_brand, Column#145:desc	99.4 MB	0 Bytes
        └─ShuffleReceiver_323	8000000.00	933578	root		time:56.7s, loops:915		N/A	N/A
          └─Window_174	8000000.00	933578	root		time:27.9s, loops:913	ntile(5)->Column#154 over(order by Column#145 desc)	N/A	N/A
            └─Sort_319	8000000.00	933578	root		time:27.9s, loops:913	Column#145:desc	212.7 MB	0 Bytes
              └─Projection_176	8000000.00	933578	root		time:27.1s, loops:914, Concurrency:2	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#144, Column#145, Column#146, case(isnull(Column#143), No Orders, Has Orders)->Column#153, tpch_sf40.part.p_brand	476.4 KB	N/A
                └─HashJoin_180	8000000.00	933578	root		time:27s, loops:914, build_hash_table:{total:6.24s, fetch:6.24s, build:9.85µs}, probe:{concurrency:2, total:54.2s, max:27.1s, probe:1.64s, fetch and wait:52.6s}	CARTESIAN inner join, other cond:or(gt(Column#144, Column#150), 0)	41.5 KB	0 Bytes
                  ├─MaxOneRow_181(Build)	1.00	1	root		time:6.24s, loops:2		N/A	N/A
                  │ └─StreamAgg_186	1.00	1	root		time:6.24s, loops:2	funcs:avg(Column#148)->Column#150	56.8 KB	N/A
                  │   └─CTEFullScan_192	7964672.25	8000000	root	CTE:cte_supplier_info	time:6.13s, loops:8193	data:CTE_1	867.0 MB	0 Bytes
