-- Query: 26137
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        ROW_NUMBER() OVER (PARTITION BY c.c_mktsegment ORDER BY o.o_totalprice DESC) AS order_ra...
-- Execution time: 8.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_74	18921824.61	350	root		time:7.88s, loops:2, RU:28599.517241	tpch_sf40.orders.o_orderdate, Column#135:desc	62.3 KB	0 Bytes
└─Projection_76	18921824.61	350	root		time:7.88s, loops:2, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#134, Column#135	71.5 KB	N/A
  └─HashJoin_79	18921824.61	350	root		time:7.88s, loops:2, build_hash_table:{total:5.03s, fetch:4.97s, build:51.3ms}, probe:{concurrency:2, total:15.8s, max:7.88s, probe:6.47ms, fetch and wait:15.7s}	inner join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	58.7 MB	0 Bytes
    ├─TableReader_366(Build)	256000.00	400000	root		time:4.97s, loops:392, cop_task: {num: 8, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_365	5.63 MB	N/A
    │ └─ExchangeSender_365	256000.00	400000	mpp[tiflash]		tiflash_task:{time:4.98s, loops:7, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_231	256000.00	400000	mpp[tiflash]		tiflash_task:{time:4.98s, loops:7, threads:2}	not(isnull(Column#137))	N/A	N/A
    │     └─Window_137	320000.00	400000	mpp[tiflash]		tiflash_task:{time:4.98s, loops:7, threads:2}	row_number()->Column#137 over(order by Column#135 desc rows between current row and current row)	N/A	N/A
    │       └─Sort_136	320000.00	400000	mpp[tiflash]		tiflash_task:{time:4.88s, loops:7, threads:1}	Column#135:desc	N/A	N/A
    │         └─ExchangeReceiver_135	320000.00	400000	mpp[tiflash]		tiflash_task:{time:4.79s, loops:6, threads:2}, tiflash_wait: {pipeline_queue_wait: 137ms}		N/A	N/A
    │           └─ExchangeSender_134	320000.00	400000	mpp[tiflash]		tiflash_task:{time:4.77s, loops:7, threads:2}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
    │             └─Projection_133	320000.00	400000	mpp[tiflash]		tiflash_task:{time:4.77s, loops:7, threads:2}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#134, Column#135	N/A	N/A
