-- Query: 26145
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_custkey,
        o.o_totalprice,
        o.o_orderdate,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalp...
-- Execution time: 69.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_48	543670013.55	0	root		time:1m7.6s, loops:1, RU:91984.580078	tpch_sf40.part.p_brand, Column#101:desc	0 Bytes	0 Bytes
└─Window_53	543670013.55	0	root		time:1m7.6s, loops:1	row_number()->Column#122 over(partition by tpch_sf40.part.p_brand order by tpch_sf40.part.p_retailprice desc rows between current row and current row)	N/A	N/A
  └─Sort_302	543670013.55	0	root		time:1m7.6s, loops:1	tpch_sf40.part.p_brand, tpch_sf40.part.p_retailprice:desc	0 Bytes	0 Bytes
    └─Projection_59	543670013.55	0	root		time:1m7.6s, loops:1, Concurrency:2	tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_container, tpch_sf40.part.p_retailprice, coalesce(Column#76, 0)->Column#119, coalesce(Column#77, 0)->Column#120, Column#101, Column#100	31.4 KB	N/A
      └─HashJoin_81	543670013.55	0	root		time:1m7.6s, loops:1, build_hash_table:{total:1m7.6s, fetch:24.2s, build:43.4s}	semi join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)]	3.00 GB	3.74 GB
        ├─TableReader_301(Build)	121814646.02	121562519	root		time:23.7s, loops:120774, cop_task: {num: 3877, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_300	1.10 MB	N/A
        │ └─ExchangeSender_300	121814646.02	121562519	mpp[tiflash]		tiflash_task:{proc max:1m5s, min:1m3.8s, avg: 1m4.4s, p80:1m5s, p95:1m5s, iters:3875, tasks:2, threads:7}	ExchangeType: PassThrough	N/A	N/A
        │   └─TableFullScan_298	121814646.02	121562519	mpp[tiflash]	table:l	tiflash_task:{proc max:42.7s, min:42.7s, avg: 42.7s, p80:42.7s, p95:42.7s, iters:3875, tasks:2, threads:7}, tiflash_wait: {pipeline_queue_wait: 8528ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:173, remote_regions:3, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 90/83=1.084337}, delta_rows:0, delta_bytes:0, segments:347, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:10248ms, tot_build_inputstream:10419ms, min_local_stream:42539ms, max_local_stream:42658ms, min_remote_stream:2029ms, max_remote_stream:2579ms, dtfile:{data_scanned_rows:235922898, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:235922898, lm_filter_skipped_rows:0, tot_rs_index_check:10089ms, tot_read:95512ms}}	pushed down filter:eq(tpch_sf40.lineitem.l_returnflag, "N"), keep order:false	N/A	N/A
        └─HashJoin_83(Probe)	679587516.93	0	root		time:58.5s, loops:1, build_hash_table:{total:21s, fetch:21s, build:0s}, probe:{concurrency:2, total:1m57s, max:58.5s, probe:67.1ms, fetch and wait:1m57s}	CARTESIAN left outer join, other cond:gt(Column#101, tpch_sf40.part.p_retailprice)	0 Bytes	0 Bytes
          ├─TableReader_119(Build)	113.26	0	root		time:21s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_118	3.20 KB	N/A
          │ └─ExchangeSender_118	113.26	0	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:20.9s, avg: 20.9s, p80:20.9s, p95:20.9s, iters:386, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          │   └─Projection_117	113.26	0	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:20.9s, avg: 20.9s, p80:20.9s, p95:20.9s, iters:386, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_container, tpch_sf40.part.p_retailprice, Column#76, Column#77	N/A	N/A
          │     └─HashJoin_84	113.26	0	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:20.9s, avg: 20.9s, p80:20.9s, p95:20.9s, iters:386, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.supplier.s_suppkey)], stream_count: 2	N/A	N/A
          │       ├─ExchangeReceiver_92(Build)	113.26	0	mpp[tiflash]		tiflash_task:{proc max:4.82s, min:4.82s, avg: 4.82s, p80:4.82s, p95:4.82s, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
          │       │ └─ExchangeSender_91	113.26	0	mpp[tiflash]		tiflash_task:{proc max:4.82s, min:0s, avg: 2.41s, p80:4.82s, p95:4.82s, iters:0, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
          │       │   └─Selection_90	113.26	0	mpp[tiflash]		tiflash_task:{proc max:4.82s, min:0s, avg: 2.41s, p80:4.82s, p95:4.82s, iters:0, tasks:2, threads:4}	or(gt(tpch_sf40.part.p_size, 10), like(tpch_sf40.part.p_comment, "%special%", 92))	N/A	N/A
          │       │     └─TableFullScan_89	118.04	0	mpp[tiflash]	table:p	tiflash_task:{proc max:4.82s, min:0s, avg: 2.41s, p80:4.82s, p95:4.82s, iters:0, tasks:2, threads:4}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:8000000, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:730ms, tot_build_inputstream:966ms, min_local_stream:0ms, max_local_stream:4766ms, dtfile:{data_scanned_rows:0, data_skipped_rows:8000000, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:8000000, lm_filter_skipped_rows:0, tot_rs_index_check:681ms, tot_read:1602ms}}	pushed down filter:ge(tpch_sf40.part.p_retailprice, 10), le(tpch_sf40.part.p_retailprice, 100), keep order:false, stats:partial[p_partkey:allEvicted]	N/A	N/A
          │       └─Projection_108(Probe)	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:20.9s, avg: 20.9s, p80:20.9s, p95:20.9s, iters:770, tasks:2, threads:4}	Column#76, div(Column#77, cast(case(eq(Column#131, 0), 1, Column#131), decimal(20,0) BINARY))->Column#77, tpch_sf40.supplier.s_suppkey	N/A	N/A
          │         └─HashAgg_109	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.8s, min:20.8s, avg: 20.8s, p80:20.8s, p95:20.8s, iters:770, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_suppkey, funcs:sum(Column#132)->Column#76, funcs:sum(Column#133)->Column#131, funcs:sum(Column#134)->Column#77, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2	N/A	N/A
          │           └─ExchangeReceiver_111	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.8s, min:20.8s, avg: 20.8s, p80:20.8s, p95:20.8s, iters:88, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 4789ms, pipeline_queue_wait: 10ms}	stream_count: 2	N/A	N/A
          │             └─ExchangeSender_110	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:0s, avg: 10.5s, p80:20.9s, p95:20.9s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
          │               └─HashAgg_94	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:0s, avg: 10.5s, p80:20.9s, p95:20.9s, iters:512, tasks:2, threads:4}	group by:Column#159, funcs:sum(Column#156)->Column#132, funcs:count(Column#157)->Column#133, funcs:sum(Column#158)->Column#134	N/A	N/A
          │                 └─Projection_306	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:20.5s, min:0s, avg: 10.3s, p80:20.5s, p95:20.5s, iters:509, tasks:2, threads:4}	cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)->Column#156, tpch_sf40.partsupp.ps_supplycost->Column#157, tpch_sf40.partsupp.ps_supplycost->Column#158, tpch_sf40.supplier.s_suppkey->Column#159	N/A	N/A
          │                   └─Projection_107	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:20.5s, min:0s, avg: 10.3s, p80:20.5s, p95:20.5s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
          │                     └─HashJoin_106	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:20.5s, min:0s, avg: 10.3s, p80:20.5s, p95:20.5s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
