-- Query: 26147
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        DENSE_RANK() OVER (PARTITION BY o.o_orderpriority ORDER BY o.o_orderdate DESC) AS order_...
-- Execution time: 7.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_102	1234.65	134	root		time:6.54s, loops:2, RU:28883.320925, Concurrency:2	tpch_sf40.part.p_name, Column#110->Column#113, tpch_sf40.region.r_name, Column#111->Column#115, Column#106->Column#116	41.6 KB	N/A
└─Sort_104	1234.65	134	root		time:6.54s, loops:2	Column#110:desc, tpch_sf40.part.p_name	28.7 KB	0 Bytes
  └─Projection_106	1234.65	134	root		time:6.54s, loops:2, Concurrency:2	tpch_sf40.part.p_name, Column#110, tpch_sf40.region.r_name, coalesce(Column#105, 0)->Column#111, Column#106, Column#110	38.0 KB	N/A
    └─Selection_108	1234.65	134	root		time:6.54s, loops:2	gt(Column#110, 10000)	15.1 KB	N/A
      └─HashAgg_112	1543.32	151	root		time:6.54s, loops:4, partial_worker:{wall_time:6.543620709s, concurrency:2, task_num:2, tot_wait:13.087004249s, tot_exec:133.437µs, tot_time:13.087189793s, max:6.54359556s, p95:6.54359556s}, final_worker:{wall_time:6.543652557s, concurrency:2, task_num:4, tot_wait:2.826µs, tot_exec:14.939µs, tot_time:13.087263851s, max:6.543637615s, p95:6.543637615s}	group by:Column#142, Column#143, Column#144, Column#145, funcs:sum(Column#141)->Column#110, funcs:firstrow(Column#142)->tpch_sf40.part.p_name, funcs:firstrow(Column#143)->Column#105, funcs:firstrow(Column#144)->Column#106, funcs:firstrow(Column#145)->tpch_sf40.region.r_name	111.3 KB	0 Bytes
        └─Projection_439	1543.32	151	root		time:6.54s, loops:3, Concurrency:2	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#141, tpch_sf40.part.p_name->Column#142, Column#105->Column#143, Column#106->Column#144, tpch_sf40.region.r_name->Column#145	49.2 KB	N/A
          └─Projection_116	1543.32	151	root		time:6.54s, loops:3, Concurrency:2	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.part.p_name, Column#105, Column#106, tpch_sf40.region.r_name	37.3 KB	N/A
            └─HashJoin_120	1543.32	151	root		time:6.54s, loops:3, build_hash_table:{total:177.8ms, fetch:177.7ms, build:50.4µs}, probe:{concurrency:2, total:13.1s, max:6.54s, probe:18.4ms, fetch and wait:13.1s}	left outer join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	30.1 KB	0 Bytes
              ├─IndexHashJoin_193(Build)	1543.32	151	root		time:177.7ms, loops:2, inner:{total:63.1ms, concurrency:2, task:1, construct:47µs, fetch:63ms, build:27.8µs, join:73.1µs}	inner join, inner:TableReader_188, outer key:tpch_sf40.lineitem.l_partkey, inner key:tpch_sf40.part.p_partkey, equal cond:eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)	151.4 KB	N/A
              │ ├─IndexJoin_212(Build)	1536.50	151	root		time:114.4ms, loops:3, inner:{total:103.8ms, concurrency:2, task:1, construct:72µs, fetch:103.7ms, build:29.9µs}, probe:32.8µs	inner join, inner:TableReader_208, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	164.0 KB	N/A
