-- Query: 26149
-- SQL: WITH SupplierSummary AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        COUNT(DISTINCT ps.ps_partkey) AS total_parts,
        SUM(ps.ps_supplycost) AS total_supply_cost,
        AVG(ps.ps...
-- Execution time: 15.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_165	816709.63	3	root		time:15.3s, loops:2, RU:109777.368494	tpch_sf40.region.r_name, Column#114:desc	6.08 KB	0 Bytes
└─Projection_167	816709.63	3	root		time:15.3s, loops:2, Concurrency:2	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, Column#113, Column#114, case(lt(Column#114, 500), Low, and(ge(Column#114, 500), le(Column#114, 1000)), Medium, High)->Column#182, Column#164, Column#165	22.9 KB	N/A
  └─Projection_168	816709.63	3	root		time:15.3s, loops:2, Concurrency:2	tpch_sf40.supplier.s_name, Column#113, Column#114, Column#164, Column#165, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	21.6 KB	N/A
    └─HashJoin_170	816709.63	3	root		time:15.3s, loops:2, build_hash_table:{total:8.88ms, fetch:8.87ms, build:5.81µs}, probe:{concurrency:2, total:30.6s, max:15.3s, probe:13.1µs, fetch and wait:30.6s}	CARTESIAN inner join	33.7 KB	0 Bytes
      ├─IndexJoin_175(Build)	1.60	1	root		time:8.84ms, loops:2, inner:{total:494.2µs, concurrency:2, task:1, construct:6.27µs, fetch:485.9µs, build:1.47µs}, probe:2.25µs	inner join, inner:TableReader_172, outer key:tpch_sf40.region.r_regionkey, inner key:tpch_sf40.region.r_regionkey, equal cond:eq(tpch_sf40.region.r_regionkey, tpch_sf40.region.r_regionkey)	73.7 KB	N/A
      │ ├─Selection_182(Build)	1.60	1	root		time:6.71ms, loops:3	eq(tpch_sf40.nation.n_nationkey, 24), not(isnull(tpch_sf40.region.r_regionkey))	1.98 KB	N/A
      │ │ └─CTEFullScan_183	2.00	2	root	CTE:nationregion AS ns	time:6.69ms, loops:4	data:CTE_2	3.97 KB	0 Bytes
      │ └─TableReader_172(Probe)	1.60	1	root		time:438.9µs, loops:2, cop_task: {num: 1, max: 401.6µs, proc_keys: 1, tot_proc: 203.8µs, tot_wait: 15.8µs, copr_cache_hit_ratio: 0.00, build_task_duration: 10.5µs, max_distsql_concurrency: 1, max_extra_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:394µs}}	data:TableRangeScan_171	N/A	N/A
      │   └─TableRangeScan_171	1.60	1	cop[tikv]	table:r	tikv_task:{time:0s, loops:1}, scan_detail: {total_process_keys: 1, total_process_keys_size: 77, total_keys: 1, get_snapshot_time: 7.35µs, rocksdb: {block: {cache_hit_count: 4, read_count: 1, read_byte: 1.82 KB, read_time: 141.9µs}}}, time_detail: {total_process_time: 203.8µs, total_wait_time: 15.8µs, tikv_wall_time: 275.3µs}	range: decided by [tpch_sf40.region.r_regionkey], keep order:false	N/A	N/A
      └─HashJoin_190(Probe)	510443.52	3	root		time:15.3s, loops:2, build_hash_table:{total:9.3s, fetch:9.3s, build:5.45µs}, probe:{concurrency:2, total:30.6s, max:15.3s, probe:892ms, fetch and wait:29.7s}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.orders.o_orderkey)]	90.7 KB	0 Bytes
