-- Query: 26155
-- SQL: WITH SupplierDetails AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_acctbal,
        n.n_name AS nation,
        COUNT(DISTINCT ps.ps_partkey) AS product_count
    FROM 
        s...
-- Execution time: 197.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_147	23759716614144.00	60399999	root		time:3m16.3s, loops:58986, RU:134459.704234	tpch_sf40.supplier.s_acctbal:desc, Column#123:desc	2.99 GB	8.45 GB
└─Projection_149	23759716614144.00	60399999	root		time:1m48.8s, loops:58986, Concurrency:2	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_acctbal, coalesce(Column#101, 0)->Column#123, Column#71, case(gt(Column#71, 5), High, and(ge(Column#71, 3), le(Column#71, 5)), Medium, Low)->Column#124	428.8 KB	N/A
  └─HashJoin_152	23759716614144.00	60399999	root		time:1m45s, loops:58986, build_hash_table:{total:16.4s, fetch:16.4s, build:1.58ms}, probe:{concurrency:2, total:5m42.3s, max:2m51.1s, probe:3m45.5s, fetch and wait:1m56.8s}	CARTESIAN left outer join, left cond:[eq(tpch_sf40.supplier.s_suppkey, 220020)]	62.5 MB	49.2 MB
    ├─TableReader_272(Build)	398784.00	400000	root		time:16.4s, loops:681, cop_task: {num: 346, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_271	234.2 KB	N/A
    │ └─ExchangeSender_271	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:16.4s, min:16.4s, avg: 16.4s, p80:16.4s, p95:16.4s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   └─Projection_267	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:16.4s, min:16.4s, avg: 16.4s, p80:16.4s, p95:16.4s, iters:1024, tasks:2, threads:4}	Column#71, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.nation.n_name	N/A	N/A
    │     └─HashAgg_268	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:16.4s, min:16.4s, avg: 16.4s, p80:16.4s, p95:16.4s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:count(distinct tpch_sf40.partsupp.ps_partkey)->Column#71, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.supplier.s_acctbal)->tpch_sf40.supplier.s_acctbal, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
    │       └─ExchangeReceiver_270	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:14.3s, min:14.3s, avg: 14.3s, p80:14.3s, p95:14.3s, iters:2048, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 6599ms}	stream_count: 2	N/A	N/A
    │         └─ExchangeSender_269	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:16.3s, min:0s, avg: 8.17s, p80:16.3s, p95:16.3s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.supplier.s_acctbal, collate: binary], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
    │           └─HashAgg_155	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:0s, avg: 7.88s, p80:15.8s, p95:15.8s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.supplier.s_acctbal, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, 	N/A	N/A
    │             └─Projection_266	32096532.46	32000000	mpp[tiflash]		tiflash_task:{proc max:3.73s, min:0s, avg: 1.87s, p80:3.73s, p95:3.73s, iters:1016, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.nation.n_name, tpch_sf40.partsupp.ps_partkey	N/A	N/A
    │               └─Projection_256	32096532.46	32000000	mpp[tiflash]		tiflash_task:{proc max:3.73s, min:0s, avg: 1.87s, p80:3.73s, p95:3.73s, iters:1016, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.partsupp.ps_partkey	N/A	N/A
    │                 └─HashJoin_255	32096532.46	32000000	mpp[tiflash]		tiflash_task:{proc max:3.73s, min:0s, avg: 1.87s, p80:3.73s, p95:3.73s, iters:1016, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2	N/A	N/A
    │                   ├─ExchangeReceiver_180(Build)	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:60ms, min:0s, avg: 30ms, p80:60ms, p95:60ms, iters:28, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 33ms}	stream_count: 2	N/A	N/A
    │                   │ └─ExchangeSender_179	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:49.9ms, min:0s, avg: 24.9ms, p80:49.9ms, p95:49.9ms, iters:7, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
    │                   │   └─Projection_178	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:42.9ms, min:0s, avg: 21.4ms, p80:42.9ms, p95:42.9ms, iters:7, tasks:2, threads:2}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal	N/A	N/A
    │                   │     └─HashJoin_173	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:42.9ms, min:0s, avg: 21.4ms, p80:42.9ms, p95:42.9ms, iters:7, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
    │                   │       ├─ExchangeReceiver_176(Build)	25.00	25	mpp[tiflash]		tiflash_task:{proc max:7.89ms, min:0s, avg: 3.95ms, p80:7.89ms, p95:7.89ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 1ms}		N/A	N/A
    │                   │       │ └─ExchangeSender_175	25.00	25	mpp[tiflash]		tiflash_task:{proc max:7.07ms, min:0s, avg: 3.53ms, p80:7.07ms, p95:7.07ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │                   │       │   └─TableFullScan_174	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:7.07ms, min:0s, avg: 3.53ms, p80:7.07ms, p95:7.07ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 4ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:1ms, tot_build_inputstream:1ms, min_local_stream:0ms, max_local_stream:6ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
    │                   │       └─TableFullScan_177(Probe)	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:40.9ms, min:0s, avg: 20.4ms, p80:40.9ms, p95:40.9ms, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 7ms, pipeline_queue_wait: 21ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:1ms, tot_build_inputstream:1ms, min_local_stream:0ms, max_local_stream:40ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:20ms}}	keep order:false	N/A	N/A
    │                   └─ExchangeReceiver_183(Probe)	32000000.00	32000000	mpp[tiflash]		tiflash_task:{proc max:3.16s, min:0s, avg: 1.58s, p80:3.16s, p95:3.16s, iters:1016, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 63ms, pipeline_queue_wait: 3075ms}		N/A	N/A
    │                     └─ExchangeSender_182	32000000.00	32000000	mpp[tiflash]		tiflash_task:{proc max:3.77s, min:0s, avg: 1.88s, p80:3.77s, p95:3.77s, iters:509, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_suppkey, collate: binary]	N/A	N/A
