-- Query: 26159
-- SQL: WITH TopSuppliers AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_cost
    FROM 
        supplier s
    JOIN 
        partsupp ps ON s...
-- Execution time: 26.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_359	4.00	1	root		time:16.7s, loops:2, RU:51810.288260, Concurrency:OFF	tpch_sf40.region.r_name, Column#176->Column#181, Column#177->Column#182, Column#179->Column#183	4.17 KB	N/A
└─Sort_361	4.00	1	root		time:16.7s, loops:2	Column#177:desc	4.18 KB	0 Bytes
  └─Projection_363	4.00	1	root		time:16.7s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#176, Column#177, coalesce(Column#178, 0)->Column#179, Column#176	3.80 KB	N/A
    └─Selection_365	4.00	1	root		time:16.7s, loops:2	gt(Column#176, 0)	3.80 KB	N/A
      └─HashAgg_367	5.00	5	root		time:16.7s, loops:3	group by:tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#176, funcs:sum(Column#153)->Column#177, funcs:max(Column#107)->Column#178, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	132.1 MB	0 Bytes
        └─HashJoin_381	2399922000000.00	6399999	root		time:15.2s, loops:6252, build_hash_table:{total:3.36s, fetch:2.06s, build:1.3s}, probe:{concurrency:2, total:33.4s, max:16.7s, probe:2.91s, fetch and wait:30.5s}	left outer join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_custkey)]	423.7 MB	0 Bytes
          ├─TableReader_658(Build)	6000000.00	6000000	root		time:2.04s, loops:5863, cop_task: {num: 96, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_657	513.0 KB	N/A
          │ └─ExchangeSender_657	6000000.00	6000000	mpp[tiflash]		tiflash_task:{time:3.29s, loops:95, threads:2}	ExchangeType: PassThrough	N/A	N/A
          │   └─TableFullScan_656	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{time:3.27s, loops:95, threads:2}, tiflash_wait: {pipeline_queue_wait: 1200ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:17ms, region_balance:{instance_num: 1, max/min: 5/5=1.000000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:267ms, tot_build_inputstream:294ms, min_local_stream:3255ms, max_local_stream:3256ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:267ms, tot_read:1717ms}}	keep order:false	N/A	N/A
          └─HashJoin_384(Probe)	2399922000000.00	6399999	root		time:14.3s, loops:6253, build_hash_table:{total:3.91s, fetch:3.91s, build:1.21ms}, probe:{concurrency:2, total:33.3s, max:16.7s, probe:613.1ms, fetch and wait:32.7s}	CARTESIAN left outer join, left cond:[eq(tpch_sf40.supplier.s_suppkey, 4)]	24.6 MB	0 Bytes
