-- Query: 26160
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        RANK() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_orderdate DESC) AS OrderRank
    ...
-- Execution time: 68.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_64	25.00	25	root		time:1m8.3s, loops:2, RU:98009.734873	Column#127:desc, Column#128	4.19 KB	0 Bytes
└─TableReader_483	25.00	25	root		time:1m8.3s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_482	9.87 KB	N/A
  └─ExchangeSender_482	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m8.1s, min:1m8.1s, avg: 1m8.1s, p80:1m8.1s, p95:1m8.1s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_67	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m8.1s, min:1m8.1s, avg: 1m8.1s, p80:1m8.1s, p95:1m8.1s, iters:4, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#127, Column#128, Column#129	N/A	N/A
      └─Projection_478	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m8.1s, min:1m8.1s, avg: 1m8.1s, p80:1m8.1s, p95:1m8.1s, iters:4, tasks:2, threads:4}	Column#127, div(Column#128, cast(case(eq(Column#166, 0), 1, Column#166), decimal(20,0) BINARY))->Column#128, Column#129, tpch_sf40.nation.n_name	N/A	N/A
        └─HashAgg_479	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m8.1s, min:1m8.1s, avg: 1m8.1s, p80:1m8.1s, p95:1m8.1s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#127, funcs:sum(Column#167)->Column#166, funcs:sum(Column#168)->Column#128, funcs:sum(Column#169)->Column#129, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_481	25.00	3613006	mpp[tiflash]		tiflash_task:{proc max:1m8.1s, min:1m8s, avg: 1m8.1s, p80:1m8.1s, p95:1m8.1s, iters:394, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 252ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_480	25.00	3613006	mpp[tiflash]		tiflash_task:{proc max:1m8.2s, min:0s, avg: 34.1s, p80:1m8.2s, p95:1m8.2s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_476	25.00	3613006	mpp[tiflash]		tiflash_task:{proc max:1m8.2s, min:0s, avg: 34.1s, p80:1m8.2s, p95:1m8.2s, iters:512, tasks:2, threads:4}	group by:Column#177, Column#178, funcs:count(Column#174)->Column#167, funcs:sum(Column#175)->Column#168, funcs:sum(Column#176)->Column#169	N/A	N/A
                └─Projection_487	29311874.27	36440022	mpp[tiflash]		tiflash_task:{proc max:1m7s, min:0s, avg: 33.5s, p80:1m7s, p95:1m7s, iters:2507, tasks:2, threads:4}	Column#102->Column#174, Column#102->Column#175, case(eq(tpch_sf40.lineitem.l_returnflag, R), tpch_sf40.lineitem.l_quantity, 0.00)->Column#176, tpch_sf40.nation.n_name->Column#177, tpch_sf40.customer.c_custkey->Column#178	N/A	N/A
                  └─Projection_465	29311874.27	36440022	mpp[tiflash]		tiflash_task:{proc max:1m6.9s, min:0s, avg: 33.5s, p80:1m6.9s, p95:1m6.9s, iters:2507, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.customer.c_custkey, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_returnflag, Column#102	N/A	N/A
                    └─HashJoin_464	29311874.27	36440022	mpp[tiflash]		tiflash_task:{proc max:1m6.9s, min:0s, avg: 33.5s, p80:1m6.9s, p95:1m6.9s, iters:2507, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
                      ├─Projection_174(Build)	4800008.00	3999418	mpp[tiflash]		tiflash_task:{proc max:33s, min:0s, avg: 16.5s, p80:33s, p95:33s, iters:512, tasks:2, threads:4}	tpch_sf40.customer.c_custkey	N/A	N/A
                      │ └─HashAgg_134	4800008.00	3999418	mpp[tiflash]		tiflash_task:{proc max:33s, min:0s, avg: 16.5s, p80:33s, p95:33s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey	N/A	N/A
                      │   └─Selection_138	4800008.00	3999418	mpp[tiflash]		tiflash_task:{proc max:32.9s, min:0s, avg: 16.5s, p80:32.9s, p95:32.9s, iters:512, tasks:2, threads:4}	gt(Column#123, 100000)	N/A	N/A
                      │     └─Projection_154	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:32.9s, min:0s, avg: 16.5s, p80:32.9s, p95:32.9s, iters:512, tasks:2, threads:4}	Column#123, tpch_sf40.customer.c_custkey	N/A	N/A
                      │       └─HashAgg_140	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:32.9s, min:0s, avg: 16.5s, p80:32.9s, p95:32.9s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#123, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey	N/A	N/A
