-- Query: 26161
-- SQL: WITH SupplierSummary AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_cost,
        COUNT(DISTINCT ps.ps_partkey) AS part_count
    FROM ...
-- Execution time: 12.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_91	45.13	0	root		time:11.6s, loops:1, RU:19211.790319	Column#151:desc, Column#152	0 Bytes	0 Bytes
└─Projection_93	45.13	0	root		time:11.6s, loops:1, Concurrency:OFF	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, coalesce(Column#100, 0)->Column#151, coalesce(Column#135, 0)->Column#152, case(gt(Column#101, 5), High, Low)->Column#153	4.79 KB	N/A
  └─HashJoin_94	45.13	0	root		time:11.6s, loops:1, build_hash_table:{total:68.1µs, fetch:68.1µs, build:0s}	CARTESIAN left outer join	0 Bytes	0 Bytes
    ├─Window_205(Build)	1.00	0	root		time:56.7µs, loops:1	rank()->Column#138 over(partition by tpch_sf40.orders.o_custkey order by Column#135 desc)	N/A	N/A
    │ └─Sort_208	1.00	0	root		time:54.3µs, loops:1	tpch_sf40.orders.o_custkey, Column#135:desc	0 Bytes	0 Bytes
    │   └─HashAgg_206	1.00	0	root		time:32.1µs, loops:1, partial_worker:{wall_time:22.062µs, concurrency:2, task_num:0, tot_wait:0s, tot_exec:0s, tot_time:1.282µs, max:981ns, p95:981ns}, final_worker:{wall_time:24.751µs, concurrency:2, task_num:2, tot_wait:434ns, tot_exec:33ns, tot_time:2.538µs, max:1.798µs, p95:1.798µs}	group by:Column#170, Column#171, funcs:sum(Column#169)->Column#135, funcs:firstrow(Column#170)->tpch_sf40.orders.o_custkey	3.55 KB	0 Bytes
    │     └─Projection_210	0.00	0	root		time:7.16µs, loops:1, Concurrency:OFF	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#169, tpch_sf40.orders.o_custkey->Column#170, tpch_sf40.orders.o_orderkey->Column#171	544 Bytes	N/A
    │       └─TableDual_207	0.00	0	root		time:6.11µs, loops:1	rows:0	N/A	N/A
    └─TableReader_137(Probe)	45.13	0	root		time:11.6s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_136	3.20 KB	N/A
      └─ExchangeSender_136	45.13	0	mpp[tiflash]		tiflash_task:{proc max:11.6s, min:11.6s, avg: 11.6s, p80:11.6s, p95:11.6s, iters:770, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        └─Projection_135	45.13	0	mpp[tiflash]		tiflash_task:{proc max:11.6s, min:11.6s, avg: 11.6s, p80:11.6s, p95:11.6s, iters:770, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, Column#100, Column#101	N/A	N/A
          └─HashJoin_96	45.13	0	mpp[tiflash]		tiflash_task:{proc max:11.6s, min:11.6s, avg: 11.6s, p80:11.6s, p95:11.6s, iters:770, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.supplier.s_suppkey)], stream_count: 2	N/A	N/A
            ├─ExchangeReceiver_102(Build)	45.13	0	mpp[tiflash]		tiflash_task:{proc max:620.5ms, min:617.4ms, avg: 619ms, p80:620.5ms, p95:620.5ms, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
