-- Query: 26164
-- SQL: WITH SupplierStats AS (
    SELECT
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS TotalCosts,
        COUNT(DISTINCT ps.ps_partkey) AS DistinctParts
    FROM
...
-- Execution time: 2.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_153	4.00	0	root		time:2.36s, loops:1, RU:12741.070318, Concurrency:OFF	tpch_sf40.region.r_name, Column#119->Column#124, Column#120->Column#125, Column#121->Column#126, Column#122->Column#127	4.17 KB	N/A
└─Sort_154	4.00	0	root		time:2.36s, loops:1	Column#119:desc	0 Bytes	0 Bytes
  └─Selection_156	4.00	0	root		time:2.36s, loops:1	gt(Column#119, 0)	4.17 KB	N/A
    └─HashAgg_157	5.00	5	root		time:2.36s, loops:2	group by:tpch_sf40.region.r_name, funcs:sum(Column#103)->Column#119, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#120, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#121, funcs:avg(Column#72)->Column#122, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	10.4 MB	0 Bytes
      └─HashJoin_158	399987.00	400000	root		time:2.29s, loops:393, build_hash_table:{total:17µs, fetch:17µs, build:0s}, probe:{concurrency:2, total:4.71s, max:2.36s, probe:24.4ms, fetch and wait:4.69s}	CARTESIAN left outer join	0 Bytes	0 Bytes
        ├─TableDual_332(Build)	0.00	0	root		time:926ns, loops:1	rows:0	N/A	N/A
        └─TableReader_210(Probe)	399987.00	400000	root		time:2.28s, loops:401, cop_task: {num: 16, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_209	4.44 MB	N/A
          └─ExchangeSender_209	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.31s, min:2.31s, avg: 2.31s, p80:2.31s, p95:2.31s, iters:14, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
            └─Projection_208	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.29s, min:2.28s, avg: 2.29s, p80:2.29s, p95:2.29s, iters:14, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#72, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey	N/A	N/A
              └─HashJoin_160	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.29s, min:2.28s, avg: 2.29s, p80:2.29s, p95:2.29s, iters:14, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
                ├─Projection_191(Build)	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.27s, min:2.27s, avg: 2.27s, p80:2.27s, p95:2.27s, iters:770, tasks:2, threads:4}	Column#72, tpch_sf40.supplier.s_suppkey	N/A	N/A
                │ └─HashAgg_192	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.27s, min:2.26s, avg: 2.27s, p80:2.27s, p95:2.27s, iters:770, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#128)->Column#72, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2	N/A	N/A
                │   └─ExchangeReceiver_194	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:2.24s, min:2.24s, avg: 2.24s, p80:2.24s, p95:2.24s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 28ms}	stream_count: 2	N/A	N/A
                │     └─ExchangeSender_193	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:2.26s, min:0s, avg: 1.13s, p80:2.26s, p95:2.26s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
                │       └─HashAgg_177	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:2.25s, min:0s, avg: 1.13s, p80:2.25s, p95:2.25s, iters:512, tasks:2, threads:4}	group by:Column#137, Column#138, funcs:sum(Column#136)->Column#128	N/A	N/A
                │         └─Projection_335	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:718.5ms, min:0s, avg: 359.2ms, p80:718.5ms, p95:718.5ms, iters:509, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#136, tpch_sf40.supplier.s_suppkey->Column#137, tpch_sf40.supplier.s_name->Column#138	N/A	N/A
                │           └─Projection_190	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:694.5ms, min:0s, avg: 347.2ms, p80:694.5ms, p95:694.5ms, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
                │             └─HashJoin_189	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:693.5ms, min:0s, avg: 346.7ms, p80:693.5ms, p95:693.5ms, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
