-- Query: 26166
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_availqty) AS total_available,
        AVG(ps.ps_supplycost) AS avg_supply_cost
    FROM 
        supplier s...
-- Execution time: 225.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_95	4800000.00	94295	root		time:3m45.4s, loops:94, RU:309304.956239, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.nation.n_name, Column#159->Column#211, Column#205->Column#212, Column#204->Column#213, Column#207->Column#214	770.9 KB	N/A
└─Sort_97	4800000.00	94295	root		time:3m45.4s, loops:94	tpch_sf40.nation.n_name, Column#159:desc	18.3 MB	0 Bytes
  └─Shuffle_564	4800000.00	94295	root		time:3m45.3s, loops:94, ShuffleConcurrency:2	execution info: concurrency:2, data sources:[Projection_249]	N/A	N/A
    └─Window_100	4800000.00	94295	root		time:7m30.6s, loops:95	rank()->Column#207 over(partition by tpch_sf40.nation.n_nationkey order by Column#159 desc)	N/A	N/A
      └─Sort_560	4800000.00	94295	root		time:7m30.6s, loops:95	tpch_sf40.nation.n_nationkey, Column#159:desc	7.70 MB	0 Bytes
        └─ShuffleReceiver_567	4800000.00	94295	root		time:7m30.6s, loops:95		N/A	N/A
          └─Projection_249	4800000.00	94295	root		time:3m45.2s, loops:94, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.nation.n_name, Column#159, case(gt(Column#158, 100), High Volume, and(ge(Column#158, 50), le(Column#158, 100)), Medium Volume, Low Volume)->Column#205, Column#204, tpch_sf40.nation.n_nationkey	690.7 KB	N/A
            └─Projection_254	4800000.00	94295	root		time:3m45.3s, loops:94, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#159, Column#158, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, Column#204	672.0 KB	N/A
              └─HashJoin_257	4800000.00	94295	root		time:3m45.3s, loops:94, build_hash_table:{total:3m44.8s, fetch:3m44.8s, build:33.5ms}, probe:{concurrency:2, total:7m30.6s, max:3m45.3s, probe:362.4ms, fetch and wait:7m30.2s}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_custkey)]	13.5 MB	0 Bytes
                ├─Projection_433(Build)	4800000.00	94295	root		time:3m44.8s, loops:94, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, coalesce(Column#157, 0)->Column#159, Column#158	327.7 KB	N/A
                │ └─Selection_435	4800000.00	94295	root		time:3m44.8s, loops:94	gt(coalesce(Column#157, 0), 1000000)	92.7 KB	N/A
