-- Query: 26168
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        RANK() OVER (PARTITION BY o.o_orderdate ORDER BY o.o_totalprice DESC) AS order_rank
    ...
-- Execution time: 563.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_54	10.00	10	root		time:9m22.8s, loops:2, RU:90328.310730, Concurrency:OFF	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, coalesce(Column#92, 0)->Column#95, coalesce(Column#93, 0)->Column#96, case(isnull(Column#69), No Supply Info, concat(Total Supply Cost: , cast(Column#69, var_string(50))))->Column#97, round(Column#94, 2)->Column#98	5.82 KB	N/A
└─Projection_269	10.00	10	root		time:9m22.8s, loops:2, Concurrency:OFF	Column#92, Column#93, Column#94, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#69	7.59 KB	N/A
  └─TopN_57	10.00	10	root		time:9m22.8s, loops:2	Column#138:desc, Column#139:desc, offset:0, count:10	246.6 KB	0 Bytes
    └─Projection_270	8000000.00	8000000	root		time:9m22.8s, loops:7815, Concurrency:2	Column#92, Column#93, Column#94, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#69, coalesce(Column#92, 0)->Column#138, coalesce(Column#93, 0)->Column#139	890.7 KB	N/A
      └─HashAgg_61	8000000.00	8000000	root		time:9m22.8s, loops:7815, partial_worker:{wall_time:8m3.638938771s, concurrency:2, task_num:234388, tot_wait:13m30.464660915s, tot_exec:2m26.959040081s, tot_time:16m7.277776576s, max:8m3.638891264s, p95:8m3.638891264s}, final_worker:{wall_time:9m22.846515707s, concurrency:2, task_num:2, tot_wait:984ns, tot_exec:27ns, tot_time:18m45.572964417s, max:9m22.846476892s, p95:9m22.846476892s}	group by:Column#69, tpch_sf40.part.p_name, tpch_sf40.part.p_partkey, funcs:count(tpch_sf40.lineitem.l_orderkey)->Column#92, funcs:avg(tpch_sf40.lineitem.l_extendedprice)->Column#93, funcs:avg(tpch_sf40.orders.o_totalprice)->Column#94, funcs:firstrow(tpch_sf40.part.p_partkey)->tpch_sf40.part.p_partkey, funcs:firstrow(tpch_sf40.part.p_name)->tpch_sf40.part.p_name, funcs:firstrow(Column#69)->Column#69	1.51 GB	60.4 GB
        └─Projection_65	241076885.53	240012290	root		time:3m1.1s, loops:234389, Concurrency:2	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_extendedprice, Column#69, tpch_sf40.orders.o_totalprice	819.2 KB	N/A
          └─HashJoin_68	241076885.53	240012290	root		time:2m55.9s, loops:234389, build_hash_table:{total:3.35s, fetch:3.35s, build:312.4µs}, probe:{concurrency:2, total:15m57.5s, max:7m58.7s, probe:18.5s, fetch and wait:15m39s}	left outer join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)]	360.5 KB	0 Bytes
            ├─Shuffle_261(Build)	11489743.02	2895	root		time:3.35s, loops:5, ShuffleConcurrency:2	execution info: concurrency:2, data sources:[TableReader_259]	N/A	N/A
            │ └─Window_232	11489743.02	2895	root		time:6.7s, loops:6	count(1)->Column#91 over(partition by tpch_sf40.orders.o_orderdate)	N/A	N/A
            │   └─Sort_260	11489743.02	2895	root		time:6.7s, loops:6	tpch_sf40.orders.o_orderdate	125.8 KB	0 Bytes
            │     └─ShuffleReceiver_271	11489743.02	2895	root		time:6.69s, loops:6		N/A	N/A
            │       └─TableReader_259	11489743.02	2895	root		time:3.35s, loops:4, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_258	45.8 KB	N/A
            │         └─ExchangeSender_258	11489743.02	2895	mpp[tiflash]		tiflash_task:{proc max:3.35s, min:3.35s, avg: 3.35s, p80:3.35s, p95:3.35s, iters:221, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
