-- Query: 26169
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        DENSE_RANK() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalprice DESC) AS order_r...
-- Execution time: 29.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_62	5999431299440.64	4000000	root		time:29.6s, loops:3908, RU:122757.447123	tpch_sf40.supplier.s_name, Column#113:desc	807.7 MB	0 Bytes
└─Projection_64	5999431299440.64	4000000	root		time:25.2s, loops:3908, Concurrency:2	tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, Column#82, tpch_sf40.orders.o_orderkey, Column#112, Column#113, Column#114, case(gt(Column#113, 1000), High Revenue, and(ge(Column#113, 500), le(Column#113, 1000)), Medium Revenue, Low Revenue)->Column#134, tpch_sf40.orders.o_orderdate	402.5 KB	N/A
  └─Projection_66	5999431299440.64	4000000	root		time:25.2s, loops:3908, Concurrency:2	Column#82, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, Column#112, Column#113, Column#114, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate	358.0 KB	N/A
    └─HashJoin_68	5999431299440.64	4000000	root		time:25.2s, loops:3908, build_hash_table:{total:17.7s, fetch:17.7s, build:14.6ms}, probe:{concurrency:2, total:49.3s, max:25.2s, probe:521.2ms, fetch and wait:48.8s}	CARTESIAN inner join	46.5 MB	0 Bytes
      ├─TableReader_353(Build)	319027.20	400000	root		time:17.7s, loops:681, cop_task: {num: 346, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_352	60.5 KB	N/A
      │ └─ExchangeSender_352	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:17.7s, min:17.4s, avg: 17.5s, p80:17.7s, p95:17.7s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_221	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:17.7s, min:17.4s, avg: 17.5s, p80:17.7s, p95:17.7s, iters:1024, tasks:2, threads:4}	gt(Column#82, 0), or(1, gt(Column#82, 5))	N/A	N/A
      │     └─Projection_348	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:17.7s, min:17.4s, avg: 17.5s, p80:17.7s, p95:17.7s, iters:1024, tasks:2, threads:4}	Column#82, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name	N/A	N/A
      │       └─HashAgg_349	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:17.7s, min:17.4s, avg: 17.5s, p80:17.7s, p95:17.7s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:count(distinct tpch_sf40.partsupp.ps_partkey)->Column#82, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_351	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:15.4s, avg: 15.6s, p80:15.8s, p95:15.8s, iters:2048, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 8849ms}	stream_count: 2	N/A	N/A
      │           └─ExchangeSender_350	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:17.3s, min:0s, avg: 8.66s, p80:17.3s, p95:17.3s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.supplier.s_acctbal, collate: binary], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │             └─HashAgg_346	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:13.7s, min:0s, avg: 6.85s, p80:13.7s, p95:13.7s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.supplier.s_acctbal, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, 	N/A	N/A
      │               └─Projection_335	32096533.46	32000000	mpp[tiflash]		tiflash_task:{proc max:6.86s, min:0s, avg: 3.43s, p80:6.86s, p95:6.86s, iters:1016, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.nation.n_name, tpch_sf40.partsupp.ps_partkey	N/A	N/A
      │                 └─Projection_325	32096533.46	32000000	mpp[tiflash]		tiflash_task:{proc max:6.86s, min:0s, avg: 3.43s, p80:6.86s, p95:6.86s, iters:1016, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.partsupp.ps_partkey	N/A	N/A
      │                   └─HashJoin_324	32096533.46	32000000	mpp[tiflash]		tiflash_task:{proc max:6.86s, min:0s, avg: 3.43s, p80:6.86s, p95:6.86s, iters:1016, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2	N/A	N/A
      │                     ├─ExchangeReceiver_249(Build)	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:235.3ms, min:0s, avg: 117.7ms, p80:235.3ms, p95:235.3ms, iters:28, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 107ms}	stream_count: 2	N/A	N/A
      │                     │ └─ExchangeSender_248	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:126.1ms, min:0s, avg: 63ms, p80:126.1ms, p95:126.1ms, iters:7, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
