-- Query: 26184
-- SQL: WITH OrderSummary AS (
    SELECT 
        o.o_orderkey,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
        COUNT(DISTINCT l.l_partkey) AS unique_parts_sold
    FROM 
      ...
-- Execution time: 501.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_313	3719418.55	4348856	root		time:8m21.2s, loops:4248, RU:544635.266442, Concurrency:2	tpch_sf40.orders.o_orderkey, Column#45, tpch_sf40.region.r_name, Column#72, Column#73, Column#79	530.3 KB	N/A
└─Window_314	3719418.55	4348856	root		time:8m21.2s, loops:4248	row_number()->Column#79 over(partition by tpch_sf40.region.r_name order by Column#45 desc rows between current row and current row)	N/A	N/A
  └─Sort_311	3719418.55	4348856	root		time:8m21s, loops:4248	tpch_sf40.region.r_name, Column#45:desc	531.1 MB	0 Bytes
    └─HashJoin_165	3719418.55	4348856	root		time:8m17.7s, loops:4249, build_hash_table:{total:8m6s, fetch:8m6s, build:11.5µs}, probe:{concurrency:2, total:16m35.4s, max:8m17.7s, probe:4.85s, fetch and wait:16m30.5s}	CARTESIAN inner join, other cond:gt(Column#45, Column#77)	41.5 KB	0 Bytes
      ├─Selection_166(Build)	0.80	1	root		time:8m6s, loops:2	not(isnull(Column#77))	233 Bytes	N/A
      │ └─MaxOneRow_167	1.00	1	root		time:8m6s, loops:3		N/A	N/A
      │   └─StreamAgg_172	1.00	1	root		time:8m6s, loops:2	funcs:avg(Column#75)->Column#77	56.8 KB	N/A
      │     └─CTEFullScan_178	7264489.36	9128300	root	CTE:ordersummary	time:8m5.9s, loops:8916	data:CTE_0	515.9 MB	766.1 MB
      └─Selection_180(Probe)	4649273.19	9164904	root		time:8m14.4s, loops:8952	or(isnull(Column#73), gt(Column#73, 10000))	113.8 KB	N/A
        └─HashJoin_184	5811591.49	9164904	root		time:8m14s, loops:8954, build_hash_table:{total:8m11s, fetch:8m6s, build:5.01s}, probe:{concurrency:2, total:16m25.9s, max:8m13s, probe:1.31s, fetch and wait:16m24.6s}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.customer.c_custkey)]	710.7 MB	766.1 MB
          ├─Selection_220(Build)	5811591.49	9128300	root		time:8m6.2s, loops:8916	not(isnull(Column#45))	56.8 KB	N/A
          │ └─CTEFullScan_222	7264489.36	9128300	root	CTE:ordersummary AS os	time:8m6s, loops:8917	data:CTE_0	N/A	N/A
          └─HashJoin_225(Probe)	6000000.00	6963040	root		time:1.68s, loops:6802, build_hash_table:{total:57.7ms, fetch:57.7ms, build:8.8µs}, probe:{concurrency:2, total:16m25.9s, max:8m13s, probe:2.39s, fetch and wait:16m23.5s}	left outer join, equal:[eq(tpch_sf40.customer.c_nationkey, Column#72)]	130.7 KB	434 Bytes
            ├─TableReader_306(Build)	5.00	5	root		time:57.6ms, loops:2, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_305	2.77 KB	N/A
            │ └─ExchangeSender_305	5.00	5	mpp[tiflash]		tiflash_task:{time:57.4ms, loops:2, threads:2}	ExchangeType: PassThrough	N/A	N/A
            │   └─Projection_301	5.00	5	mpp[tiflash]		tiflash_task:{time:57.4ms, loops:2, threads:2}	Column#72, Column#73, tpch_sf40.region.r_name	N/A	N/A
            │     └─HashAgg_302	5.00	5	mpp[tiflash]		tiflash_task:{time:57.4ms, loops:2, threads:2}	group by:tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.nation.n_nationkey)->Column#72, funcs:sum(Column#94)->Column#73, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
            │       └─ExchangeReceiver_304	5.00	25	mpp[tiflash]		tiflash_task:{time:57.4ms, loops:2, threads:2}	stream_count: 2	N/A	N/A
            │         └─ExchangeSender_303	5.00	25	mpp[tiflash]		tiflash_task:{time:56.7ms, loops:1, threads:1}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
            │           └─HashAgg_239	5.00	25	mpp[tiflash]		tiflash_task:{time:56.7ms, loops:1, threads:1}	group by:tpch_sf40.nation.n_nationkey, tpch_sf40.region.r_name, funcs:sum(tpch_sf40.supplier.s_acctbal)->Column#94	N/A	N/A
            │             └─Projection_210	399987.00	400000	mpp[tiflash]		tiflash_task:{time:49.7ms, loops:7, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_acctbal	N/A	N/A
            │               └─HashJoin_209	399987.00	400000	mpp[tiflash]		tiflash_task:{time:49.7ms, loops:7, threads:2}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
            │                 ├─ExchangeReceiver_202(Build)	400000.00	400000	mpp[tiflash]		tiflash_task:{time:27.7ms, loops:6, threads:2}		N/A	N/A
            │                 │ └─ExchangeSender_201	400000.00	400000	mpp[tiflash]		tiflash_task:{time:28.5ms, loops:7, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
