-- Query: 26185
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_acctbal,
        ROW_NUMBER() OVER (PARTITION BY p.p_partkey ORDER BY ps.ps_supplycost DESC) AS SupplyRank
    ...
-- Execution time: 58.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_74	20633565.59	6532112	root		time:57.8s, loops:6381, RU:113861.965637	Column#136:desc, tpch_sf40.supplier.s_name	1.05 GB	0 Bytes
└─TableReader_439	20633565.59	6532112	root		time:51.6s, loops:6651, cop_task: {num: 659, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_438	4.04 MB	N/A
  └─ExchangeSender_438	20633565.59	6532112	mpp[tiflash]		tiflash_task:{proc max:52.8s, min:52.8s, avg: 52.8s, p80:52.8s, p95:52.8s, iters:657, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_77	20633565.59	6532112	mpp[tiflash]		tiflash_task:{proc max:52.6s, min:52.6s, avg: 52.6s, p80:52.6s, p95:52.6s, iters:657, tasks:2, threads:4}	tpch_sf40.supplier.s_name, tpch_sf40.part.p_name, Column#136, Column#159, coalesce(tpch_sf40.supplier.s_acctbal, 0)->Column#162	N/A	N/A
      └─Selection_437	20633565.59	6532112	mpp[tiflash]		tiflash_task:{proc max:52.6s, min:52.6s, avg: 52.6s, p80:52.6s, p95:52.6s, iters:657, tasks:2, threads:4}	or(not(isnull(Column#159)), gt(tpch_sf40.supplier.s_acctbal, 5000))	N/A	N/A
        └─Projection_434	25791956.98	8000000	mpp[tiflash]		tiflash_task:{proc max:52.6s, min:52.5s, avg: 52.5s, p80:52.6s, p95:52.6s, iters:657, tasks:2, threads:4}	tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, Column#136, tpch_sf40.part.p_name, Column#159	N/A	N/A
          └─Projection_431	25791956.98	8000000	mpp[tiflash]		tiflash_task:{proc max:52.6s, min:52.5s, avg: 52.5s, p80:52.6s, p95:52.6s, iters:657, tasks:2, threads:4}	tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, Column#159, Column#136, tpch_sf40.part.p_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
            └─HashJoin_430	25791956.98	8000000	mpp[tiflash]		tiflash_task:{proc max:52.6s, min:52.5s, avg: 52.5s, p80:52.6s, p95:52.6s, iters:657, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.part.p_partkey)]	N/A	N/A
              ├─Selection_135(Build)	6400000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:51.1s, min:51s, avg: 51s, p80:51.1s, p95:51.1s, iters:512, tasks:2, threads:4}	gt(Column#136, 5)	N/A	N/A
              │ └─Projection_149	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:51.1s, min:51s, avg: 51s, p80:51.1s, p95:51.1s, iters:512, tasks:2, threads:4}	Column#136, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name	N/A	N/A
              │   └─HashAgg_137	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:51.1s, min:51s, avg: 51s, p80:51.1s, p95:51.1s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.part.p_name, tpch_sf40.part.p_partkey, funcs:count(distinct tpch_sf40.lineitem.l_orderkey)->Column#136, funcs:firstrow(tpch_sf40.part.p_partkey)->tpch_sf40.part.p_partkey, funcs:firstrow(tpch_sf40.part.p_name)->tpch_sf40.part.p_name	N/A	N/A
              │     └─Projection_147	241076885.53	240012290	mpp[tiflash]		tiflash_task:{proc max:25.4s, min:25.3s, avg: 25.3s, p80:25.4s, p95:25.4s, iters:7750, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.lineitem.l_orderkey	N/A	N/A
              │       └─HashJoin_139	241076885.53	240012290	mpp[tiflash]		tiflash_task:{proc max:25.4s, min:25.3s, avg: 25.3s, p80:25.4s, p95:25.4s, iters:7750, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2	N/A	N/A
              │         ├─ExchangeReceiver_143(Build)	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:6s, min:5.99s, avg: 6s, p80:6s, p95:6s, iters:484, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 145ms}	stream_count: 2	N/A	N/A
              │         │ └─ExchangeSender_142	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:6.1s, min:0s, avg: 3.05s, p80:6.1s, p95:6.1s, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
              │         │   └─TableFullScan_141	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:5.97s, min:0s, avg: 2.98s, p80:5.97s, p95:5.97s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 171ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:488ms, min_local_stream:2246ms, max_local_stream:5962ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:16694ms}}	keep order:false	N/A	N/A
              │         └─ExchangeReceiver_146(Probe)	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:15.9s, min:15.8s, avg: 15.9s, p80:15.9s, p95:15.9s, iters:7750, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 6100ms, pipeline_queue_wait: 1417ms}		N/A	N/A
              │           └─ExchangeSender_145	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:48.8s, min:0s, avg: 24.4s, p80:48.8s, p95:48.8s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary]	N/A	N/A
              │             └─TableFullScan_144	240012290.00	240012290	mpp[tiflash]	table:l	tiflash_task:{proc max:44.2s, min:0s, avg: 22.1s, p80:44.2s, p95:44.2s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 23613ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 91/85=1.070588}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:8ms, tot_build_inputstream:4199ms, min_local_stream:41258ms, max_local_stream:44147ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:8ms, tot_read:72567ms}}	keep order:false	N/A	N/A
              └─Projection_133(Probe)	25791956.98	8000000	mpp[tiflash]		tiflash_task:{proc max:52.2s, min:52.1s, avg: 52.1s, p80:52.2s, p95:52.2s, iters:657, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, Column#159	N/A	N/A
                └─HashJoin_85	25791956.98	8000000	mpp[tiflash]		tiflash_task:{proc max:52.2s, min:52.1s, avg: 52.1s, p80:52.2s, p95:52.2s, iters:657, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
                  ├─Selection_106(Build)	4800000.00	3984227	mpp[tiflash]		tiflash_task:{proc max:27.8s, min:27.7s, avg: 27.8s, p80:27.8s, p95:27.8s, iters:512, tasks:2, threads:4}	gt(Column#159, 10000)	N/A	N/A
                  │ └─Projection_122	6000000.00	3985678	mpp[tiflash]		tiflash_task:{proc max:27.8s, min:27.7s, avg: 27.7s, p80:27.8s, p95:27.8s, iters:1024, tasks:2, threads:4}	Column#159, tpch_sf40.customer.c_custkey	N/A	N/A
                  │   └─HashAgg_123	6000000.00	3985678	mpp[tiflash]		tiflash_task:{proc max:27.8s, min:27.7s, avg: 27.7s, p80:27.8s, p95:27.8s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, funcs:sum(Column#164)->Column#159, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, stream_count: 2	N/A	N/A
                  │     └─ExchangeReceiver_125	6000000.00	7554900	mpp[tiflash]		tiflash_task:{proc max:27.7s, min:27.7s, avg: 27.7s, p80:27.7s, p95:27.7s, iters:512, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 387ms}	stream_count: 2	N/A	N/A
                  │       └─ExchangeSender_124	6000000.00	7554900	mpp[tiflash]		tiflash_task:{proc max:27.7s, min:0s, avg: 13.9s, p80:27.7s, p95:27.7s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
                  │         └─HashAgg_109	6000000.00	7554900	mpp[tiflash]		tiflash_task:{proc max:27.7s, min:0s, avg: 13.8s, p80:27.7s, p95:27.7s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#164	N/A	N/A
                  │           └─Projection_121	29173325.97	29234172	mpp[tiflash]		tiflash_task:{proc max:27s, min:0s, avg: 13.5s, p80:27s, p95:27s, iters:965, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_totalprice	N/A	N/A
                  │             └─HashJoin_120	29173325.97	29234172	mpp[tiflash]		tiflash_task:{proc max:27s, min:0s, avg: 13.5s, p80:27s, p95:27s, iters:965, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)]	N/A	N/A
                  │               ├─ExchangeReceiver_113(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{proc max:3.27s, min:0s, avg: 1.64s, p80:3.27s, p95:3.27s, iters:190, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 5ms}		N/A	N/A
                  │               │ └─ExchangeSender_112	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:3.55s, min:0s, avg: 1.78s, p80:3.55s, p95:3.55s, iters:95, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                  │               │   └─TableFullScan_111	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:3.55s, min:0s, avg: 1.77s, p80:3.55s, p95:3.55s, iters:95, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 165ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 5/5=1.000000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:273ms, min_local_stream:3542ms, max_local_stream:3543ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:2328ms}}	keep order:false	N/A	N/A
                  │               └─TableFullScan_114(Probe)	29173325.97	29234172	mpp[tiflash]	table:o	tiflash_task:{proc max:26.3s, min:0s, avg: 13.2s, p80:26.3s, p95:26.3s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 3538ms, pipeline_queue_wait: 5006ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 21/13=1.615385}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1731ms, min_local_stream:20732ms, max_local_stream:26324ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:1ms, tot_read:63568ms}}	pushed down filter:eq(tpch_sf40.orders.o_orderstatus, "O"), keep order:false	N/A	N/A
                  └─ExchangeReceiver_105(Probe)	25791956.98	8000000	mpp[tiflash]		tiflash_task:{proc max:51.9s, min:51.9s, avg: 51.9s, p80:51.9s, p95:51.9s, iters:657, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 51185ms, pipeline_queue_wait: 693ms}		N/A	N/A
                    └─ExchangeSender_104	25791956.98	8000000	mpp[tiflash]		tiflash_task:{proc max:52.6s, min:0s, avg: 26.3s, p80:52.6s, p95:52.6s, iters:492, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary]	N/A	N/A
                      └─Selection_88	25791956.98	8000000	mpp[tiflash]		tiflash_task:{proc max:23.9s, min:0s, avg: 11.9s, p80:23.9s, p95:23.9s, iters:492, tasks:2, threads:4}	eq(Column#103, 1), stream_count: 2	N/A	N/A
                        └─Window_89	32239946.23	32000000	mpp[tiflash]		tiflash_task:{proc max:23.9s, min:0s, avg: 11.9s, p80:23.9s, p95:23.9s, iters:492, tasks:2, threads:4}	row_number()->Column#103 over(partition by tpch_sf40.part.p_partkey order by tpch_sf40.partsupp.ps_supplycost desc rows between current row and current row), stream_count: 2	N/A	N/A
                          └─Sort_103	32239946.23	32000000	mpp[tiflash]		tiflash_task:{proc max:23.6s, min:0s, avg: 11.8s, p80:23.6s, p95:23.6s, iters:492, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_supplycost:desc, stream_count: 2	N/A	N/A
                            └─ExchangeReceiver_102	32239946.23	32000000	mpp[tiflash]		tiflash_task:{proc max:22.8s, min:0s, avg: 11.4s, p80:22.8s, p95:22.8s, iters:1948, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3031ms}	stream_count: 2	N/A	N/A
                              └─ExchangeSender_101	32239946.23	32000000	mpp[tiflash]		tiflash_task:{proc max:22.2s, min:0s, avg: 11.1s, p80:22.2s, p95:22.2s, iters:509, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
