-- Query: 26187
-- SQL: WITH SupplierOrderStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        COUNT(DISTINCT o.o_orderkey) AS order_count
...
-- Execution time: 94.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_89	256000.00	24	root		time:1m33.9s, loops:2, RU:97000.308248, Concurrency:2	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#168->Column#198, Column#194->Column#199, Column#195->Column#200	12.8 KB	N/A
└─Sort_91	256000.00	24	root		time:1m33.9s, loops:2	Column#195:desc, Column#168	3.76 KB	0 Bytes
  └─Selection_93	256000.00	24	root		time:1m33.9s, loops:2	gt(Column#194, 5)	102.2 KB	N/A
    └─HashAgg_95	320000.00	400000	root		time:1m33.9s, loops:393	group by:Column#233, Column#234, Column#235, funcs:count(distinct Column#231)->Column#194, funcs:sum(Column#232)->Column#195, funcs:firstrow(Column#233)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(Column#234)->tpch_sf40.supplier.s_name, funcs:firstrow(Column#235)->Column#168	259.3 MB	0 Bytes
      └─Projection_444	320000.00	4226633	root		time:1m32.6s, loops:4130, Concurrency:2	tpch_sf40.customer.c_custkey->Column#231, coalesce(tpch_sf40.customer.c_acctbal, 0)->Column#232, tpch_sf40.supplier.s_suppkey->Column#233, tpch_sf40.supplier.s_name->Column#234, Column#168->Column#235	408.9 KB	N/A
        └─HashJoin_101	320000.00	4226633	root		time:1m32.6s, loops:4130, build_hash_table:{total:1m32.6s, fetch:1m32.6s, build:46.5ms}, probe:{concurrency:2, total:3m7.3s, max:1m33.6s, probe:608.9ms, fetch and wait:3m6.7s}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.customer.c_nationkey)]	55.6 MB	0 Bytes
          ├─TableReader_186(Build)	320000.00	400000	root		time:1m32.6s, loops:392, cop_task: {num: 8, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_185	5.13 MB	N/A
          │ └─ExchangeSender_185	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m32.6s, loops:7, threads:2}	ExchangeType: PassThrough	N/A	N/A
          │   └─Window_183	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m32.5s, loops:7, threads:2}	rank()->Column#168 over(order by Column#165 desc)	N/A	N/A
          │     └─Sort_145	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m32.5s, loops:7, threads:1}	Column#165:desc	N/A	N/A
