-- Query: 26190
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        c.c_name,
        c.c_nationkey,
        o.o_orderdate,
        o.o_totalprice,
        RANK() OVER (PARTITION BY c.c_nationkey ORDER B...
-- Execution time: 8.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_79	60872957.20	875	root		time:8.35s, loops:2, RU:38938.283537	tpch_sf40.orders.o_totalprice:desc, tpch_sf40.orders.o_orderdate	173.7 KB	0 Bytes
└─Projection_81	60872957.20	875	root		time:8.35s, loops:2, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.part.p_name, Column#144	184.2 KB	N/A
  └─Selection_83	60872957.20	875	root		time:8.35s, loops:2	or(not(isnull(Column#146)), isnull(Column#144))	169.5 KB	N/A
    └─Projection_85	76091196.50	875	root		time:8.35s, loops:3, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.part.p_name, Column#144, Column#146	185.0 KB	N/A
      └─HashJoin_88	76091196.50	875	root		time:8.35s, loops:2, build_hash_table:{total:7.42s, fetch:5.86s, build:1.56s}, probe:{concurrency:2, total:16.7s, max:8.35s, probe:1.8ms, fetch and wait:16.7s}	left outer join, equal:[eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)]	1.13 GB	0 Bytes
        ├─TableReader_273(Build)	8000000.00	8000000	root		time:5.82s, loops:7814, cop_task: {num: 124, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_272	6.05 MB	N/A
        │ └─ExchangeSender_272	8000000.00	8000000	mpp[tiflash]		tiflash_task:{time:7.41s, loops:123, threads:2}	ExchangeType: PassThrough	N/A	N/A
        │   └─Window_270	8000000.00	8000000	mpp[tiflash]		tiflash_task:{time:6.72s, loops:123, threads:2}	row_number()->Column#146 over(order by Column#144 desc rows between current row and current row)	N/A	N/A
        │     └─Sort_147	8000000.00	8000000	mpp[tiflash]		tiflash_task:{time:7.25s, loops:123, threads:1}	Column#144:desc	N/A	N/A
        │       └─ExchangeReceiver_146	8000000.00	8000000	mpp[tiflash]		tiflash_task:{time:3.86s, loops:250, threads:2}, tiflash_wait: {pipeline_queue_wait: 2224ms}		N/A	N/A
        │         └─ExchangeSender_145	8000000.00	8000000	mpp[tiflash]		tiflash_task:{time:4.09s, loops:250, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
        │           └─Projection_144	8000000.00	8000000	mpp[tiflash]		tiflash_task:{time:3.8s, loops:250, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#144	N/A	N/A
        │             └─HashJoin_122	8000000.00	8000000	mpp[tiflash]		tiflash_task:{time:3.8s, loops:250, threads:4}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)]	N/A	N/A
        │               ├─Projection_135(Build)	7964672.25	8000000	mpp[tiflash]		tiflash_task:{time:1.46s, loops:1024, threads:4}	Column#144, tpch_sf40.partsupp.ps_partkey	N/A	N/A
        │               │ └─HashAgg_136	7964672.25	8000000	mpp[tiflash]		tiflash_task:{time:1.46s, loops:1024, threads:4}	group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(Column#147)->Column#144, funcs:firstrow(tpch_sf40.partsupp.ps_partkey)->tpch_sf40.partsupp.ps_partkey, stream_count: 2	N/A	N/A
        │               │   └─ExchangeReceiver_138	7964672.25	8000007	mpp[tiflash]		tiflash_task:{time:1.35s, loops:768, threads:4}, tiflash_wait: {pipeline_queue_wait: 204ms}	stream_count: 2	N/A	N/A
