-- Query: 26195
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalprice DESC) AS order_r...
-- Execution time: 20.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_95	5763612.35	10	root		time:20.3s, loops:2, RU:79888.411755	tpch_sf40.orders.o_totalprice:desc	4.70 KB	0 Bytes
└─Projection_97	5763612.35	10	root		time:20.3s, loops:2, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, Column#231, Column#198, Has Supplier->Column#232	16.9 KB	N/A
  └─Projection_99	5763612.35	10	root		time:20.3s, loops:2, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, coalesce(Column#230, 0)->Column#231, Column#198	15.7 KB	N/A
    └─Selection_101	5763612.35	10	root		time:20.3s, loops:2	gt(minus(tpch_sf40.orders.o_totalprice, coalesce(Column#230, 0)), 5000)	3.92 KB	N/A
      └─HashJoin_104	7204515.44	10	root		time:20.3s, loops:3, build_hash_table:{total:20.3s, fetch:20.2s, build:54.4ms}, probe:{concurrency:2, total:40.5s, max:20.3s, probe:12µs, fetch and wait:40.5s}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.supplier.s_suppkey)]	49.3 MB	0 Bytes
        ├─TableReader_356(Build)	398784.00	400000	root		time:20.2s, loops:537, cop_task: {num: 178, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_355	4.58 MB	N/A
        │ └─ExchangeSender_355	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:20.2s, avg: 20.2s, p80:20.2s, p95:20.2s, iters:516, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │   └─Projection_351	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:20.2s, avg: 20.2s, p80:20.2s, p95:20.2s, iters:516, tasks:2, threads:4}	Column#230, tpch_sf40.supplier.s_suppkey	N/A	N/A
        │     └─HashAgg_352	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:20.2s, avg: 20.2s, p80:20.2s, p95:20.2s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#256)->Column#230, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2	N/A	N/A
        │       └─ExchangeReceiver_354	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:20.2s, avg: 20.2s, p80:20.2s, p95:20.2s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 33ms}	stream_count: 2	N/A	N/A
        │         └─ExchangeSender_353	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:0s, avg: 10.1s, p80:20.2s, p95:20.2s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
        │           └─HashAgg_250	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:0s, avg: 10.1s, p80:20.2s, p95:20.2s, iters:512, tasks:2, threads:4}	group by:Column#261, Column#262, funcs:sum(Column#260)->Column#256	N/A	N/A
        │             └─Projection_378	146246613.57	145362904	mpp[tiflash]		tiflash_task:{proc max:10.5s, min:0s, avg: 5.27s, p80:10.5s, p95:10.5s, iters:3556, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#260, tpch_sf40.supplier.s_suppkey->Column#261, tpch_sf40.supplier.s_name->Column#262	N/A	N/A
        │               └─Projection_169	146246613.57	145362904	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.2s, p80:10.4s, p95:10.4s, iters:3556, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_partkey	N/A	N/A
        │                 └─HashJoin_168	146246613.57	145362904	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.2s, p80:10.4s, p95:10.4s, iters:3556, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2	N/A	N/A
        │                   ├─ExchangeReceiver_159(Build)	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:1.21s, min:0s, avg: 602.7ms, p80:1.21s, p95:1.21s, iters:1948, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1035ms}	stream_count: 2	N/A	N/A
        │                   │ └─ExchangeSender_158	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:1.41s, min:0s, avg: 704.4ms, p80:1.41s, p95:1.41s, iters:509, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], stream_count: 2	N/A	N/A
