-- Query: 26220
-- SQL: WITH SupplierPart AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        ps.ps_partkey, 
        ps.ps_availqty, 
        ps.ps_supplycost,
        p.p_name,
        ROW_NUMBER() OVER (PART...
-- Execution time: 8.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_103	10.00	10	root		time:8.31s, loops:2, RU:61536.827148, Concurrency:OFF	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, coalesce(Column#219, 0)->Column#220	3.02 KB	N/A
└─Projection_474	10.00	10	root		time:8.31s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#219, tpch_sf40.nation.n_nationkey	4.42 KB	N/A
  └─TopN_107	10.00	10	root		time:8.31s, loops:2	Column#242:desc, tpch_sf40.nation.n_name, offset:0, count:10	4.51 KB	0 Bytes
    └─Projection_475	10.00	25	root		time:8.31s, loops:3, Concurrency:OFF	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#219, tpch_sf40.nation.n_nationkey, coalesce(Column#219, 0)->Column#242	3.02 KB	N/A
      └─TableReader_470	10.00	25	root		time:8.31s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_469	8.45 KB	N/A
        └─ExchangeSender_469	10.00	25	mpp[tiflash]		tiflash_task:{proc max:8.31s, min:8.31s, avg: 8.31s, p80:8.31s, p95:8.31s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          └─Projection_472	10.00	25	mpp[tiflash]		tiflash_task:{proc max:8.31s, min:8.31s, avg: 8.31s, p80:8.31s, p95:8.31s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#219, tpch_sf40.nation.n_nationkey	N/A	N/A
            └─TopN_468	10.00	25	mpp[tiflash]		tiflash_task:{proc max:8.31s, min:8.31s, avg: 8.31s, p80:8.31s, p95:8.31s, iters:4, tasks:2, threads:4}	Column#241:desc, tpch_sf40.nation.n_name, offset:0, count:10	N/A	N/A
              └─Projection_473	25.00	25	mpp[tiflash]		tiflash_task:{proc max:8.31s, min:8.3s, avg: 8.31s, p80:8.31s, p95:8.31s, iters:771, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#219, tpch_sf40.nation.n_nationkey, coalesce(Column#219, 0)->Column#241	N/A	N/A
                └─Projection_467	25.00	25	mpp[tiflash]		tiflash_task:{proc max:8.3s, min:8.3s, avg: 8.3s, p80:8.3s, p95:8.3s, iters:771, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#219, tpch_sf40.nation.n_nationkey	N/A	N/A
                  └─HashJoin_466	25.00	25	mpp[tiflash]		tiflash_task:{proc max:8.3s, min:8.3s, avg: 8.3s, p80:8.3s, p95:8.3s, iters:771, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_suppkey)], stream_count: 2	N/A	N/A
                    ├─ExchangeReceiver_119(Build)	25.00	25	mpp[tiflash]		tiflash_task:{proc max:158.8ms, min:135.1ms, avg: 147ms, p80:158.8ms, p95:158.8ms, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 24ms}	stream_count: 2	N/A	N/A
