-- Query: 26231
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        ROW_NUMBER() OVER (PARTITION BY c.c_nationkey ORDER BY o.o_totalprice DESC) AS price_ran...
-- Execution time: 20.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_64	20.00	0	root		time:20.2s, loops:1, RU:110046.932870, Concurrency:OFF	tpch_sf40.nation.n_name, Column#123->Column#129, Column#127->Column#130, Column#125->Column#131, Column#126->Column#132	6.60 KB	N/A
└─Sort_66	20.00	0	root		time:20.2s, loops:1	Column#123:desc, Column#125	0 Bytes	0 Bytes
  └─Projection_68	20.00	0	root		time:20.2s, loops:1, Concurrency:OFF	tpch_sf40.nation.n_name, Column#123, coalesce(Column#124, 0)->Column#127, Column#125, Column#126, Column#126	5.20 KB	N/A
    └─Selection_70	20.00	0	root		time:20.2s, loops:1	gt(Column#126, 100.00)	5.20 KB	N/A
      └─HashAgg_72	25.00	0	root		time:20.2s, loops:1	group by:tpch_sf40.nation.n_name, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#123, funcs:sum(Column#104)->Column#124, funcs:avg(Column#121)->Column#125, funcs:max(tpch_sf40.orders.o_totalprice)->Column#126, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name	5.93 KB	0 Bytes
        └─Projection_76	44690720844255.62	0	root		time:20.2s, loops:1, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.nation.n_name, Column#104, Column#121	20.8 KB	N/A
          └─HashJoin_79	44690720844255.62	0	root		time:20.2s, loops:1, build_hash_table:{total:9.24s, fetch:9.23s, build:15.5ms}	CARTESIAN inner join	31.6 MB	0 Bytes
            ├─TableReader_160(Build)	319027.20	400000	root		time:9.23s, loops:537, cop_task: {num: 178, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_159	3.00 MB	N/A
            │ └─ExchangeSender_159	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:9.24s, min:9.12s, avg: 9.18s, p80:9.24s, p95:9.24s, iters:516, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
            │   └─Selection_81	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:9.24s, min:9.11s, avg: 9.18s, p80:9.24s, p95:9.24s, iters:516, tasks:2, threads:4}	gt(Column#122, 5)	N/A	N/A
            │     └─Projection_155	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:9.24s, min:9.11s, avg: 9.18s, p80:9.24s, p95:9.24s, iters:516, tasks:2, threads:4}	Column#121, Column#122	N/A	N/A
            │       └─HashAgg_156	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:9.24s, min:9.11s, avg: 9.17s, p80:9.24s, p95:9.24s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#136)->Column#121, funcs:count(distinct tpch_sf40.partsupp.ps_partkey)->Column#122, stream_count: 2	N/A	N/A
            │         └─ExchangeReceiver_158	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:6.81s, min:6.77s, avg: 6.79s, p80:6.81s, p95:6.81s, iters:2052, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2656ms}	stream_count: 2	N/A	N/A
            │           └─ExchangeSender_157	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:8.93s, min:0s, avg: 4.46s, p80:8.93s, p95:8.93s, iters:768, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
            │             └─HashAgg_153	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:8.57s, min:0s, avg: 4.28s, p80:8.57s, p95:8.57s, iters:768, tasks:2, threads:4}	group by:Column#158, Column#159, Column#160, funcs:sum(Column#157)->Column#136	N/A	N/A
            │               └─Projection_364	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.25s, min:0s, avg: 1.13s, p80:2.25s, p95:2.25s, iters:509, tasks:2, threads:4}	cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)->Column#157, tpch_sf40.supplier.s_suppkey->Column#158, tpch_sf40.supplier.s_name->Column#159, tpch_sf40.partsupp.ps_partkey->Column#160	N/A	N/A
            │                 └─Projection_142	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.24s, min:0s, avg: 1.12s, p80:2.24s, p95:2.24s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty	N/A	N/A
            │                   └─HashJoin_141	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.24s, min:0s, avg: 1.12s, p80:2.24s, p95:2.24s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
            │                     ├─ExchangeReceiver_113(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:100.2ms, min:0s, avg: 50.1ms, p80:100.2ms, p95:100.2ms, iters:14, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 79ms}		N/A	N/A
            │                     │ └─ExchangeSender_112	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:53.5ms, min:0s, avg: 26.8ms, p80:53.5ms, p95:53.5ms, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
