-- Query: 26239
-- SQL: WITH RegionalSales AS (
    SELECT
        n.n_name AS nation_name,
        r.r_name AS region_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales
    FROM
        nation n
      ...
-- Execution time: 60.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_454	128.00	11	root		time:59.7s, loops:2, RU:150651.470588	Column#95:desc, Column#127:desc	5.21 KB	0 Bytes
└─HashJoin_459	128.00	11	root		time:59.7s, loops:2, build_hash_table:{total:59.7s, fetch:59.7s, build:3.99µs}, probe:{concurrency:2, total:1m59.4s, max:59.7s, probe:48.8µs, fetch and wait:1m59.4s}	CARTESIAN inner join, other cond:gt(Column#95, Column#156)	41.5 KB	0 Bytes
  ├─Selection_460(Build)	0.80	1	root		time:59.7s, loops:2	not(isnull(Column#156))	233 Bytes	N/A
  │ └─MaxOneRow_461	1.00	1	root		time:59.7s, loops:3		N/A	N/A
  │   └─StreamAgg_466	1.00	1	root		time:59.7s, loops:2	funcs:avg(Column#155)->Column#156	2.69 KB	N/A
  │     └─CTEFullScan_472	20.00	25	root	CTE:regionalsales	time:59.7s, loops:2	data:CTE_0	5.29 KB	0 Bytes
  └─HashJoin_474(Probe)	160.00	34	root		time:59.7s, loops:2, build_hash_table:{total:6.55s, fetch:6.55s, build:5.69µs}, probe:{concurrency:2, total:1m59.4s, max:59.7s, probe:36µs, fetch and wait:1m59.4s}	CARTESIAN left outer join, left cond:[eq(tpch_sf40.nation.n_name, RUSSIA)]	42.5 KB	0 Bytes
    ├─Projection_480(Build)	10.00	10	root		time:6.55s, loops:2, Concurrency:OFF	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, coalesce(Column#126, 0)->Column#127	2.39 KB	N/A
    │ └─Projection_625	10.00	10	root		time:6.55s, loops:2, Concurrency:OFF	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#126	3.80 KB	N/A
    │   └─TopN_484	10.00	10	root		time:6.55s, loops:2	Column#192:desc, offset:0, count:10	2.61 KB	0 Bytes
    │     └─Projection_626	10.00	40	root		time:6.55s, loops:3, Concurrency:OFF	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#126, coalesce(Column#126, 0)->Column#192	2.39 KB	N/A
    │       └─TableReader_620	10.00	40	root		time:6.55s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_619	3.40 KB	N/A
