-- Query: 26243
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderdate ORDER BY o.o_totalprice DESC) AS rn
    FR...
-- Execution time: 49.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_52	7255251.90	3482	root		time:48.4s, loops:5, RU:26526.046265	tpch_sf40.orders.o_orderdate:desc, tpch_sf40.orders.o_totalprice:desc	716.3 KB	0 Bytes
└─Projection_54	7255251.90	3482	root		time:48.4s, loops:5, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, coalesce(Column#77, 0)->Column#104, Column#101, Column#102, Column#103	287.5 KB	N/A
  └─Projection_56	7255251.90	3482	root		time:48.4s, loops:5, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, Column#77, Column#101, Column#102, Column#103	248.6 KB	N/A
    └─HashJoin_59	7255251.90	3482	root		time:48.4s, loops:5, build_hash_table:{total:16s, fetch:16s, build:47ms}, probe:{concurrency:2, total:1m36.8s, max:48.4s, probe:1.23ms, fetch and wait:1m36.8s}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.supplier.s_suppkey)]	49.3 MB	0 Bytes
      ├─TableReader_287(Build)	319027.20	400000	root		time:16s, loops:537, cop_task: {num: 178, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_286	3.06 MB	N/A
      │ └─ExchangeSender_286	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:16s, min:16s, avg: 16s, p80:16s, p95:16s, iters:516, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_220	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:16s, min:16s, avg: 16s, p80:16s, p95:16s, iters:516, tasks:2, threads:4}	gt(Column#77, 10000)	N/A	N/A
      │     └─Projection_123	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:16s, min:16s, avg: 16s, p80:16s, p95:16s, iters:516, tasks:2, threads:4}	Column#77, tpch_sf40.supplier.s_suppkey	N/A	N/A
      │       └─HashAgg_124	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:16s, min:16s, avg: 16s, p80:16s, p95:16s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#122)->Column#77, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_126	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:15.9s, min:15.9s, avg: 15.9s, p80:15.9s, p95:15.9s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 28ms}	stream_count: 2	N/A	N/A
