-- Query: 26246
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        RANK() OVER (PARTITION BY n.n_regionkey ORDER ...
-- Execution time: 13.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_137	10.00	10	root		time:13.7s, loops:2, RU:40358.031698, Concurrency:OFF	tpch_sf40.customer.c_name, Column#45, tpch_sf40.supplier.s_name, Column#67	5.45 KB	N/A
└─TopN_140	10.00	10	root		time:13.7s, loops:2	Column#45:desc, offset:0, count:10	175.9 KB	0 Bytes
  └─Projection_145	3072005.12	1851358	root		time:13.7s, loops:1810, Concurrency:2	tpch_sf40.customer.c_name, Column#45, tpch_sf40.supplier.s_name, Column#67, Column#67	617.9 KB	N/A
    └─HashJoin_147	3072005.12	1851358	root		time:13.7s, loops:1810, build_hash_table:{total:11.4s, fetch:11.4s, build:4.26µs}, probe:{concurrency:2, total:27.4s, max:13.7s, probe:2.71s, fetch and wait:24.7s}	CARTESIAN inner join, other cond:gt(Column#45, Column#78)	41.5 KB	0 Bytes
      ├─Selection_148(Build)	0.80	1	root		time:11.4s, loops:2	not(isnull(Column#78))	233 Bytes	N/A
      │ └─MaxOneRow_149	1.00	1	root		time:11.4s, loops:3		N/A	N/A
      │   └─StreamAgg_154	1.00	1	root		time:11.4s, loops:2	funcs:avg(Column#76)->Column#78	84.3 KB	N/A
      │     └─CTEFullScan_160	4800008.00	6000000	root	CTE:customerorderdetails	time:11.3s, loops:6145	data:CTE_1	955.9 MB	0 Bytes
      └─HashJoin_163(Probe)	3840006.40	3999929	root		time:12s, loops:3908, build_hash_table:{total:3.97s, fetch:3.91s, build:57ms}, probe:{concurrency:2, total:27.4s, max:13.7s, probe:985.7ms, fetch and wait:26.4s}	left outer join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.supplier.s_suppkey)]	58.9 MB	0 Bytes
        ├─TableReader_210(Build)	398784.00	400000	root		time:3.91s, loops:394, cop_task: {num: 11, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_209	5.63 MB	N/A
        │ └─ExchangeSender_209	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.96s, min:3.87s, avg: 3.92s, p80:3.96s, p95:3.96s, iters:9, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │   └─Window_207	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.91s, min:3.85s, avg: 3.88s, p80:3.91s, p95:3.91s, iters:9, tasks:2, threads:4}	rank()->Column#69 over(partition by tpch_sf40.nation.n_regionkey order by Column#67 desc), stream_count: 2	N/A	N/A
        │     └─Sort_200	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.9s, min:3.85s, avg: 3.87s, p80:3.9s, p95:3.9s, iters:9, tasks:2, threads:4}	tpch_sf40.nation.n_regionkey, Column#67:desc, stream_count: 2	N/A	N/A
        │       └─ExchangeReceiver_199	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.86s, min:3.82s, avg: 3.84s, p80:3.86s, p95:3.86s, iters:34, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 83ms}	stream_count: 2	N/A	N/A
        │         └─ExchangeSender_198	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.83s, min:0s, avg: 1.91s, p80:3.83s, p95:3.83s, iters:516, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_regionkey, collate: binary], stream_count: 2	N/A	N/A
        │           └─Projection_194	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.81s, min:0s, avg: 1.9s, p80:3.81s, p95:3.81s, iters:516, tasks:2, threads:4}	Column#67, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_regionkey	N/A	N/A
        │             └─HashAgg_195	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.81s, min:0s, avg: 1.9s, p80:3.81s, p95:3.81s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.nation.n_regionkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#91)->Column#67, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.nation.n_regionkey)->tpch_sf40.nation.n_regionkey, stream_count: 2	N/A	N/A
