-- Query: 26258
-- SQL: WITH regional_suppliers AS (
    SELECT n.n_name AS nation_name, r.r_name AS region_name, COUNT(DISTINCT s.s_suppkey) AS supplier_count
    FROM supplier s
    JOIN nation n ON s.s_nationkey = n.n_nat...
-- Execution time: 18.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_149	25.00	25	root		time:18.3s, loops:2, RU:90069.321874	Column#317:desc, Column#318:desc	3.41 KB	0 Bytes
└─TableReader_666	25.00	25	root		time:18.3s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_665	11.8 KB	N/A
  └─ExchangeSender_665	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:18.1s, avg: 18.1s, p80:18.1s, p95:18.1s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_152	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:18.1s, avg: 18.1s, p80:18.1s, p95:18.1s, iters:4, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#317, Column#318	N/A	N/A
      └─Projection_660	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:18.1s, avg: 18.1s, p80:18.1s, p95:18.1s, iters:4, tasks:2, threads:4}	Column#317, Column#318, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
        └─HashAgg_658	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:18.1s, avg: 18.1s, p80:18.1s, p95:18.1s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:count(Column#232)->Column#317, funcs:sum(Column#277)->Column#318, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_643	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:18.1s, avg: 18.1s, p80:18.1s, p95:18.1s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_642	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.2s, min:0s, avg: 9.09s, p80:18.2s, p95:18.2s, iters:521, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─Projection_641	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.2s, min:0s, avg: 9.09s, p80:18.2s, p95:18.2s, iters:521, tasks:2, threads:4}	Column#232, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#277	N/A	N/A
                └─HashJoin_640	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.2s, min:0s, avg: 9.09s, p80:18.2s, p95:18.2s, iters:521, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.nation.n_name, tpch_sf40.customer.c_name)]	N/A	N/A
