-- Query: 26262
-- SQL: WITH SupplierAggregates AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS TotalCost,
        COUNT(DISTINCT p.p_partkey) AS PartCount
    FROM 
...
-- Execution time: 9.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_198	319989.60	400000	root		time:9.04s, loops:392, RU:22394.509543	tpch_sf40.nation.n_name, Column#186	80.0 MB	0 Bytes
└─Shuffle_419	319989.60	400000	root		time:8.98s, loops:393, ShuffleConcurrency:2	execution info: concurrency:2, data sources:[Projection_203]	N/A	N/A
  └─Window_201	319989.60	400000	root		time:17.8s, loops:394	rank()->Column#186 over(partition by tpch_sf40.nation.n_name order by Column#106 desc)	N/A	N/A
    └─Sort_418	319989.60	400000	root		time:17.8s, loops:394	tpch_sf40.nation.n_name, Column#106:desc	46.1 MB	0 Bytes
      └─ShuffleReceiver_423	319989.60	400000	root		time:17.5s, loops:394		N/A	N/A
        └─Projection_203	319989.60	400000	root		time:8.62s, loops:392, Concurrency:2	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, Column#106, coalesce(Column#130, 0)->Column#184, Column#173, Column#174	757.1 KB	N/A
          └─HashJoin_204	319989.60	400000	root		time:8.62s, loops:392, build_hash_table:{total:7.27ms, fetch:7.26ms, build:3.34µs}, probe:{concurrency:2, total:17.5s, max:8.77s, probe:47.7ms, fetch and wait:17.5s}	CARTESIAN left outer join	1.56 KB	0 Bytes
            ├─HashAgg_408(Build)	1.00	1	root		time:7.23ms, loops:2, partial_worker:{wall_time:7.209877ms, concurrency:2, task_num:1, tot_wait:7.105101ms, tot_exec:12.94µs, tot_time:14.251428ms, max:7.126423ms, p95:7.126423ms}, final_worker:{wall_time:7.222442ms, concurrency:2, task_num:2, tot_wait:2.057µs, tot_exec:29ns, tot_time:14.270202ms, max:7.139016ms, p95:7.139016ms}	group by:Column#202, funcs:sum(Column#200)->Column#173, funcs:count(Column#201)->Column#174	5.31 KB	0 Bytes
            │ └─Projection_422	4.03	2	root		time:7.14ms, loops:2, Concurrency:OFF	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#200, tpch_sf40.lineitem.l_linenumber->Column#201, tpch_sf40.orders.o_orderkey->Column#202	3.55 KB	N/A
            │   └─HashJoin_411	4.03	2	root		time:7.1ms, loops:2, build_hash_table:{total:408.4µs, fetch:402.1µs, build:6.29µs}, probe:{concurrency:2, total:13.9ms, max:6.96ms, probe:17.3µs, fetch and wait:13.9ms}	CARTESIAN inner join	9.46 KB	0 Bytes
            │     ├─Point_Get_412(Build)	1.00	1	root	table:orders	time:387.8µs, loops:2, Get:{num_rpc:1, total_time:220.9µs}, time_detail: {total_process_time: 39.6µs, total_wait_time: 19.7µs, total_kv_read_wall_time: 62.4µs, tikv_wall_time: 74.8µs}, scan_detail: {total_process_keys: 1, total_process_keys_size: 168, total_keys: 1, get_snapshot_time: 5.2µs, rocksdb: {block: {cache_hit_count: 5}}}	handle:7182368	N/A	N/A
            │     └─TableReader_414(Probe)	4.03	2	root		time:6.94ms, loops:2, cop_task: {num: 1, max: 7.2ms, proc_keys: 2, tot_proc: 6.54ms, tot_wait: 360.4µs, copr_cache_hit_ratio: 0.00, build_task_duration: 5.63µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:7.18ms}}	data:TableRangeScan_413	510 Bytes	N/A
            │       └─TableRangeScan_413	4.03	2	cop[tikv]	table:l	tikv_task:{time:6ms, loops:1}, scan_detail: {total_process_keys: 2, total_process_keys_size: 411, total_keys: 3, get_snapshot_time: 348.7µs, rocksdb: {key_skipped_count: 2, block: {cache_hit_count: 3, read_count: 5, read_byte: 704.2 KB, read_time: 5.18ms}}}, time_detail: {total_process_time: 6.54ms, total_suspend_time: 9.39µs, total_wait_time: 360.4µs, total_kv_read_wall_time: 6ms, tikv_wall_time: 6.99ms}	range:[7182368,7182368], keep order:false	N/A	N/A
            └─HashJoin_206(Probe)	319989.60	400000	root		time:8.62s, loops:393, build_hash_table:{total:15.2µs, fetch:15.2µs, build:0s}, probe:{concurrency:2, total:17.5s, max:8.77s, probe:19.2ms, fetch and wait:17.5s}	CARTESIAN left outer join	0 Bytes	0 Bytes
              ├─TableDual_406(Build)	0.00	0	root		time:1.09µs, loops:1	rows:0	N/A	N/A
              └─TableReader_258(Probe)	319989.60	400000	root		time:8.62s, loops:397, cop_task: {num: 14, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_257	5.86 MB	N/A
