-- Query: 26264
-- SQL: WITH SupplierPart AS (
    SELECT s.s_suppkey, s.s_name, p.p_partkey, p.p_name, ps.ps_availqty, ps.ps_supplycost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey
    JOIN part p...
-- Execution time: 27.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_195	59580416.00	16733695	root		time:27.6s, loops:16343, RU:85741.062637	Column#144:desc	2.77 GB	0 Bytes
└─TableReader_473	59580416.00	16733695	root		time:10.6s, loops:16747, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_472	5.07 MB	N/A
  └─ExchangeSender_472	59580416.00	16733695	mpp[tiflash]		tiflash_task:{proc max:13.4s, min:13.4s, avg: 13.4s, p80:13.4s, p95:13.4s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_198	59580416.00	16733695	mpp[tiflash]		tiflash_task:{proc max:11.5s, min:11.4s, avg: 11.4s, p80:11.5s, p95:11.5s, iters:1024, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, coalesce(tpch_sf40.supplier.s_name, Unknown Supplier)->Column#205, coalesce(Column#203, 0)->Column#206, coalesce(Column#204, 0)->Column#207, Column#144	N/A	N/A
      └─Projection_467	59580416.00	16733695	mpp[tiflash]		tiflash_task:{proc max:11.4s, min:11.4s, avg: 11.4s, p80:11.4s, p95:11.4s, iters:1024, tasks:2, threads:4}	Column#203, Column#204, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#144, tpch_sf40.supplier.s_name	N/A	N/A
        └─HashAgg_465	59580416.00	16733695	mpp[tiflash]		tiflash_task:{proc max:11.4s, min:11.4s, avg: 11.4s, p80:11.4s, p95:11.4s, iters:1024, tasks:2, threads:4}	group by:Column#249, Column#250, Column#251, Column#252, funcs:sum(Column#247)->Column#203, funcs:sum(Column#248)->Column#204, funcs:firstrow(Column#249)->tpch_sf40.orders.o_orderkey, funcs:firstrow(Column#250)->tpch_sf40.orders.o_orderdate, funcs:firstrow(Column#251)->Column#144, funcs:firstrow(Column#252)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
          └─Projection_477	59580416.00	16733695	mpp[tiflash]		tiflash_task:{proc max:9.6s, min:9.59s, avg: 9.6s, p80:9.6s, p95:9.6s, iters:1024, tasks:2, threads:4}	cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)->Column#247, tpch_sf40.partsupp.ps_supplycost->Column#248, tpch_sf40.orders.o_orderkey->Column#249, tpch_sf40.orders.o_orderdate->Column#250, Column#144->Column#251, tpch_sf40.supplier.s_name->Column#252, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_450	59580416.00	16733695	mpp[tiflash]		tiflash_task:{proc max:9.6s, min:9.59s, avg: 9.59s, p80:9.6s, p95:9.6s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1221ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_449	59580416.00	16733695	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.18s, p80:10.4s, p95:10.4s, iters:260, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.orders.o_orderdate, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: Column#144, collate: binary], stream_count: 2	N/A	N/A
                └─Projection_448	59580416.00	16733695	mpp[tiflash]		tiflash_task:{proc max:10s, min:0s, avg: 5s, p80:10s, p95:10s, iters:260, tasks:2, threads:4}	Column#144, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
                  └─HashJoin_447	59580416.00	16733695	mpp[tiflash]		tiflash_task:{proc max:10s, min:0s, avg: 5s, p80:10s, p95:10s, iters:260, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.part.p_partkey)], stream_count: 2	N/A	N/A
                    ├─Selection_237(Build)	12869884.42	7499104	mpp[tiflash]		tiflash_task:{proc max:3.35s, min:0s, avg: 1.68s, p80:3.35s, p95:3.35s, iters:244, tasks:2, threads:4}	eq(Column#202, 1), stream_count: 2	N/A	N/A
                    │ └─Window_239	16087355.53	15979120	mpp[tiflash]		tiflash_task:{proc max:3.31s, min:0s, avg: 1.65s, p80:3.31s, p95:3.31s, iters:244, tasks:2, threads:4}	rank()->Column#202 over(partition by tpch_sf40.part.p_partkey order by tpch_sf40.partsupp.ps_supplycost), stream_count: 2	N/A	N/A
                    │   └─Sort_254	16087355.53	15979120	mpp[tiflash]		tiflash_task:{proc max:3.19s, min:0s, avg: 1.59s, p80:3.19s, p95:3.19s, iters:244, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_supplycost, stream_count: 2	N/A	N/A
                    │     └─ExchangeReceiver_253	16087355.53	15979120	mpp[tiflash]		tiflash_task:{proc max:2.84s, min:0s, avg: 1.42s, p80:2.84s, p95:2.84s, iters:1244, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1518ms}	stream_count: 2	N/A	N/A
                    │       └─ExchangeSender_252	16087355.53	15979120	mpp[tiflash]		tiflash_task:{proc max:2.69s, min:0s, avg: 1.35s, p80:2.69s, p95:2.69s, iters:509, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
