-- Query: 26270
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderdate ORDER BY o.o_totalprice DESC) AS order_ran...
-- Execution time: 44.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_191	10.00	10	root		time:44s, loops:2, RU:75502.879105, Concurrency:OFF	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, Column#155, Column#156, Column#157, case(gt(Column#156, 100000), High Sales, and(ge(Column#156, 50000), le(Column#156, 100000)), Medium Sales, Low Sales)->Column#158	4.01 KB	N/A
└─TopN_194	10.00	10	root		time:44s, loops:2	Column#156:desc, offset:0, count:10	8.72 KB	0 Bytes
  └─HashAgg_199	4799992.00	3417711	root		time:44s, loops:3340	group by:Column#176, Column#177, Column#178, funcs:count(distinct Column#173)->Column#155, funcs:sum(Column#174)->Column#156, funcs:count(distinct Column#175)->Column#157, funcs:firstrow(Column#176)->tpch_sf40.customer.c_name, funcs:firstrow(Column#177)->tpch_sf40.nation.n_name, funcs:firstrow(Column#178)->tpch_sf40.region.r_name	2.43 GB	2.25 MB
    └─Projection_419	29401156.08	17955099	root		time:26.2s, loops:17536, Concurrency:2	tpch_sf40.orders.o_orderkey->Column#173, mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#174, tpch_sf40.supplier.s_suppkey->Column#175, tpch_sf40.customer.c_name->Column#176, tpch_sf40.nation.n_name->Column#177, tpch_sf40.region.r_name->Column#178	623.4 KB	N/A
      └─HashJoin_200	29401156.08	17955099	root		time:38.1s, loops:17536, build_hash_table:{total:3.73s, fetch:3.7s, build:31.1ms}, probe:{concurrency:2, total:1m25.6s, max:42.8s, probe:11.1s, fetch and wait:1m14.5s}	semi join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	13.5 MB	0 Bytes
        ├─HashJoin_398(Build)	204177.41	197035	root		time:3.71s, loops:194, build_hash_table:{total:3.51s, fetch:3.51s, build:9.47µs}, probe:{concurrency:2, total:7.46s, max:3.73s, probe:161.2ms, fetch and wait:7.3s}	CARTESIAN inner join, other cond:gt(Column#149, Column#153)	41.5 KB	0 Bytes
        │ ├─Selection_399(Build)	0.80	1	root		time:3.51s, loops:2	not(isnull(Column#153))	233 Bytes	N/A
        │ │ └─MaxOneRow_400	1.00	1	root		time:3.51s, loops:3		N/A	N/A
        │ │   └─StreamAgg_405	1.00	1	root		time:3.51s, loops:2	funcs:avg(Column#152)->Column#153	76.1 KB	N/A
        │ │     └─CTEFullScan_411	319027.20	400000	root	CTE:suppliersummary	time:3.5s, loops:537	data:CTE_1	57.4 MB	0 Bytes
        │ └─Selection_413(Probe)	255221.76	400000	root		time:3.52s, loops:392	not(isnull(Column#149)), not(isnull(tpch_sf40.supplier.s_suppkey))	76.0 KB	N/A
        │   └─CTEFullScan_415	319027.20	400000	root	CTE:suppliersummary AS ss	time:3.51s, loops:538	data:CTE_1	N/A	N/A
        └─TableReader_395(Probe)	36751445.10	36440216	root		time:6.06s, loops:36956, cop_task: {num: 3618, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_394	4.05 MB	N/A
          └─ExchangeSender_394	36751445.10	36440216	mpp[tiflash]		tiflash_task:{proc max:38.1s, min:37.9s, avg: 38s, p80:38.1s, p95:38.1s, iters:3616, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
            └─Projection_202	36751445.10	36440216	mpp[tiflash]		tiflash_task:{proc max:8.79s, min:8.32s, avg: 8.56s, p80:8.79s, p95:8.79s, iters:3616, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.supplier.s_suppkey, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
              └─Projection_393	36751445.10	36440216	mpp[tiflash]		tiflash_task:{proc max:8.79s, min:8.32s, avg: 8.56s, p80:8.79s, p95:8.79s, iters:3616, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.supplier.s_suppkey	N/A	N/A
                └─HashJoin_392	36751445.10	36440216	mpp[tiflash]		tiflash_task:{proc max:8.79s, min:8.32s, avg: 8.56s, p80:8.79s, p95:8.79s, iters:3616, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
                  ├─ExchangeReceiver_243(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:40.5ms, min:9.56ms, avg: 25ms, p80:40.5ms, p95:40.5ms, iters:14, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 34ms}		N/A	N/A
                  │ └─ExchangeSender_242	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:35.2ms, min:0s, avg: 17.6ms, p80:35.2ms, p95:35.2ms, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                  │   └─TableFullScan_241	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:35.2ms, min:0s, avg: 17.6ms, p80:35.2ms, p95:35.2ms, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 26ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:0ms, max_local_stream:34ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:4ms}}	keep order:false	N/A	N/A
                  └─Projection_240(Probe)	36639720.71	36440216	mpp[tiflash]		tiflash_task:{proc max:8.1s, min:7.65s, avg: 7.88s, p80:8.1s, p95:8.1s, iters:3616, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_suppkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount	N/A	N/A
                    └─HashJoin_215	36639720.71	36440216	mpp[tiflash]		tiflash_task:{proc max:8.1s, min:7.65s, avg: 7.87s, p80:8.1s, p95:8.1s, iters:3616, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
                      ├─ExchangeReceiver_239(Build)	36383496.70	36440216	mpp[tiflash]		tiflash_task:{proc max:5.22s, min:5.21s, avg: 5.22s, p80:5.22s, p95:5.22s, iters:3777, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1536ms}	stream_count: 2	N/A	N/A
                      │ └─ExchangeSender_238	36383496.70	36440216	mpp[tiflash]		tiflash_task:{proc max:5.74s, min:0s, avg: 2.87s, p80:5.74s, p95:5.74s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary], stream_count: 2	N/A	N/A
                      │   └─TableFullScan_236	36383496.70	36440216	mpp[tiflash]	table:li	tiflash_task:{proc max:5.45s, min:0s, avg: 2.73s, p80:5.45s, p95:5.45s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3567ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:32ms, region_balance:{instance_num: 2, max/min: 94/82=1.146341}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:11ms, tot_build_inputstream:131ms, min_local_stream:0ms, max_local_stream:5437ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:240012290, lm_filter_skipped_rows:0, tot_rs_index_check:15ms, tot_read:8265ms}}	pushed down filter:ge(tpch_sf40.lineitem.l_shipdate, 1997-01-01 00:00:00.000000), le(tpch_sf40.lineitem.l_shipdate, 1997-12-31 00:00:00.000000), keep order:false	N/A	N/A
                      └─ExchangeReceiver_235(Probe)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:7.06s, min:6.62s, avg: 6.84s, p80:7.06s, p95:7.06s, iters:3616, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 5747ms, pipeline_queue_wait: 1102ms}		N/A	N/A
                        └─ExchangeSender_234	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:37.1s, min:0s, avg: 18.5s, p80:37.1s, p95:37.1s, iters:1872, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary]	N/A	N/A
