-- Query: 26279
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        o.o_orderpriority,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderpriority ORDER BY o....
-- Execution time: 45.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_64	3286506481695818240.00	0	root		time:44.9s, loops:1, RU:81086.987455	tpch_sf40.orders.o_orderpriority, tpch_sf40.orders.o_totalprice:desc	0 Bytes	0 Bytes
└─Projection_66	3286506481695818240.00	0	root		time:44.9s, loops:1, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderpriority, coalesce(Column#92, 0)->Column#129, tpch_sf40.part.p_name, Column#111, Column#112, Column#128	31.9 KB	N/A
  └─Projection_68	3286506481695818240.00	0	root		time:44.9s, loops:1, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderpriority, Column#92, Column#111, Column#112, tpch_sf40.part.p_name, Column#128	31.9 KB	N/A
    └─HashJoin_71	3286506481695818240.00	0	root		time:44.9s, loops:1, build_hash_table:{total:3.88s, fetch:3.88s, build:0s}	CARTESIAN inner join	0 Bytes	0 Bytes
      ├─TableReader_157(Build)	319027.20	0	root		time:3.88s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_156	2.38 KB	N/A
      │ └─ExchangeSender_156	319027.20	0	mpp[tiflash]		tiflash_task:{proc max:3.88s, min:3.88s, avg: 3.88s, p80:3.88s, p95:3.88s, iters:0, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_73	319027.20	0	mpp[tiflash]		tiflash_task:{proc max:3.88s, min:3.88s, avg: 3.88s, p80:3.88s, p95:3.88s, iters:0, tasks:2, threads:4}	lt(Column#128, 5000)	N/A	N/A
      │     └─Projection_152	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.88s, min:3.88s, avg: 3.88s, p80:3.88s, p95:3.88s, iters:516, tasks:2, threads:4}	Column#128	N/A	N/A
      │       └─HashAgg_153	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.88s, min:3.88s, avg: 3.88s, p80:3.88s, p95:3.88s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#133)->Column#128, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_155	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:3.84s, min:3.83s, avg: 3.84s, p80:3.84s, p95:3.84s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 115ms}	stream_count: 2	N/A	N/A
