-- Query: 26282
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        s.s_acctbal,
        ROW_NUMBER() OVER (PARTITION BY n.n_nationkey ORDER BY s.s_acctbal DESC) AS rn
    FROM 
   ...
-- Execution time: 3.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_81	25.11	0	root		time:3.23s, loops:1, RU:24273.038534	tpch_sf40.nation.n_name, Column#82:desc, tpch_sf40.supplier.s_acctbal:desc	0 Bytes	0 Bytes
└─Projection_83	25.11	0	root		time:3.23s, loops:1, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, Column#82, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.part.p_retailprice, tpch_sf40.part.p_retailprice	6.07 KB	N/A
  └─TableReader_426	25.11	0	root		time:3.23s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_425	8.03 KB	N/A
    └─ExchangeSender_425	25.11	0	mpp[tiflash]		tiflash_task:{proc max:3.23s, min:3.22s, avg: 3.23s, p80:3.23s, p95:3.23s, iters:512, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Projection_86	25.11	0	mpp[tiflash]		tiflash_task:{proc max:3.23s, min:3.22s, avg: 3.23s, p80:3.23s, p95:3.23s, iters:512, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#82, tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.part.p_retailprice	N/A	N/A
        └─Projection_424	25.11	0	mpp[tiflash]		tiflash_task:{proc max:3.23s, min:3.22s, avg: 3.23s, p80:3.23s, p95:3.23s, iters:512, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.part.p_retailprice, Column#82, tpch_sf40.customer.c_name, tpch_sf40.nation.n_nationkey	N/A	N/A
          └─HashJoin_423	25.11	0	mpp[tiflash]		tiflash_task:{proc max:3.23s, min:3.22s, avg: 3.23s, p80:3.23s, p95:3.23s, iters:512, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_custkey)], stream_count: 2	N/A	N/A
            ├─ExchangeReceiver_130(Build)	25.11	0	mpp[tiflash]		tiflash_task:{proc max:1.03s, min:997ms, avg: 1.01s, p80:1.03s, p95:1.03s, iters:0, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 59ms}	stream_count: 2	N/A	N/A
            │ └─ExchangeSender_129	25.11	0	mpp[tiflash]		tiflash_task:{proc max:971.3ms, min:0s, avg: 485.7ms, p80:971.3ms, p95:971.3ms, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_nationkey, collate: binary], stream_count: 2	N/A	N/A
            │   └─Projection_128	25.11	0	mpp[tiflash]		tiflash_task:{proc max:971.3ms, min:0s, avg: 485.7ms, p80:971.3ms, p95:971.3ms, iters:126, tasks:2, threads:4}	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.part.p_retailprice	N/A	N/A
