-- Query: 26300
-- SQL: WITH RankedOrders AS (
    SELECT
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_nationkey,
        ROW_NUMBER() OVER (PARTITION BY c.c_nationkey ORDER BY o.o_totalpr...
-- Execution time: 95.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_116	10.00	10	root		time:1m34.3s, loops:2, RU:99856.966070, Concurrency:OFF	tpch_sf40.region.r_name, Column#136, Column#137, coalesce(tpch_sf40.supplier.s_name, No Supplier)->Column#189, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice	4.79 KB	N/A
└─TopN_119	10.00	10	root		time:1m34.3s, loops:2	Column#136:desc, Column#137:desc, offset:0, count:10	19.6 KB	0 Bytes
  └─HashJoin_125	10.00	250	root		time:1m34.3s, loops:3, build_hash_table:{total:1m28.6s, fetch:1m28.6s, build:3.87µs}, probe:{concurrency:2, total:3m8.7s, max:1m34.3s, probe:1.96s, fetch and wait:3m6.7s}	left outer join, equal:[eq(Column#137, Column#188)]	82.3 KB	0 Bytes
    ├─TopN_128(Build)	10.00	10	root		time:1m28.6s, loops:2	Column#136:desc, Column#137:desc, offset:0, count:10	112.7 KB	0 Bytes
    │ └─HashJoin_134	1276108.80	2000000	root		time:1m28.6s, loops:1955, build_hash_table:{total:37.9s, fetch:37.9s, build:3.95µs}, probe:{concurrency:2, total:2m57.2s, max:1m28.6s, probe:212.7ms, fetch and wait:2m57s}	CARTESIAN left outer join, left cond:[gt(Column#137, 5)]	66.0 KB	0 Bytes
    │   ├─TopN_137(Build)	5.00	5	root		time:37.9s, loops:2	Column#136:desc, Column#137:desc, offset:0, count:10	2.43 KB	0 Bytes
    │   │ └─TableReader_325	5.00	5	root		time:37.9s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_324	5.51 KB	N/A
    │   │   └─ExchangeSender_324	5.00	5	mpp[tiflash]		tiflash_task:{proc max:33.8s, min:33.8s, avg: 33.8s, p80:33.8s, p95:33.8s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   │     └─Projection_320	5.00	5	mpp[tiflash]		tiflash_task:{proc max:33.8s, min:33.8s, avg: 33.8s, p80:33.8s, p95:33.8s, iters:4, tasks:2, threads:4}	Column#136, Column#137, tpch_sf40.region.r_name	N/A	N/A
    │   │       └─HashAgg_321	5.00	5	mpp[tiflash]		tiflash_task:{proc max:33.8s, min:33.8s, avg: 33.8s, p80:33.8s, p95:33.8s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#191)->Column#136, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#137, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
    │   │         └─ExchangeReceiver_323	5.00	10641270	mpp[tiflash]		tiflash_task:{proc max:33.7s, min:33.7s, avg: 33.7s, p80:33.7s, p95:33.7s, iters:1202, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 506ms}	stream_count: 2	N/A	N/A
    │   │           └─ExchangeSender_322	5.00	10641270	mpp[tiflash]		tiflash_task:{proc max:33.8s, min:0s, avg: 16.9s, p80:33.8s, p95:33.8s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
    │   │             └─HashAgg_144	5.00	10641270	mpp[tiflash]		tiflash_task:{proc max:33.6s, min:0s, avg: 16.8s, p80:33.6s, p95:33.6s, iters:512, tasks:2, threads:4}	group by:Column#203, Column#204, funcs:sum(Column#202)->Column#191	N/A	N/A
    │   │               └─Projection_466	37142797.09	36421008	mpp[tiflash]		tiflash_task:{proc max:32.7s, min:0s, avg: 16.4s, p80:32.7s, p95:32.7s, iters:3628, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#202, tpch_sf40.region.r_name->Column#203, tpch_sf40.orders.o_orderkey->Column#204	N/A	N/A
    │   │                 └─Projection_319	37142797.09	36421008	mpp[tiflash]		tiflash_task:{proc max:32.7s, min:0s, avg: 16.3s, p80:32.7s, p95:32.7s, iters:3628, tasks:2, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey, tpch_sf40.region.r_name	N/A	N/A
    │   │                   └─Projection_309	37142797.09	36421008	mpp[tiflash]		tiflash_task:{proc max:32.7s, min:0s, avg: 16.3s, p80:32.7s, p95:32.7s, iters:3628, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount	N/A	N/A
    │   │                     └─HashJoin_308	37142797.09	36421008	mpp[tiflash]		tiflash_task:{proc max:32.7s, min:0s, avg: 16.3s, p80:32.7s, p95:32.7s, iters:3628, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
    │   │                       ├─ExchangeReceiver_187(Build)	36883055.03	36421008	mpp[tiflash]		tiflash_task:{proc max:28.6s, min:0s, avg: 14.3s, p80:28.6s, p95:28.6s, iters:3784, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2625ms}	stream_count: 2	N/A	N/A
    │   │                       │ └─ExchangeSender_186	36883055.03	36421008	mpp[tiflash]		tiflash_task:{proc max:29s, min:0s, avg: 14.5s, p80:29s, p95:29s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary], stream_count: 2	N/A	N/A
    │   │                       │   └─TableFullScan_184	36883055.03	36421008	mpp[tiflash]	table:l	tiflash_task:{proc max:28.8s, min:0s, avg: 14.4s, p80:28.8s, p95:28.8s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3695ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:27ms, region_balance:{instance_num: 2, max/min: 91/85=1.070588}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:10ms, tot_build_inputstream:2483ms, min_local_stream:27351ms, max_local_stream:28778ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:240012290, lm_filter_skipped_rows:0, tot_rs_index_check:15ms, tot_read:68244ms}}	pushed down filter:ge(tpch_sf40.lineitem.l_shipdate, 1995-01-01), le(tpch_sf40.lineitem.l_shipdate, 1995-12-31), keep order:false	N/A	N/A
    │   │                       └─ExchangeReceiver_183(Probe)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:32.2s, min:0s, avg: 16.1s, p80:32.2s, p95:32.2s, iters:3628, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 29019ms, pipeline_queue_wait: 3081ms}		N/A	N/A
    │   │                         └─ExchangeSender_182	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:33.2s, min:0s, avg: 16.6s, p80:33.2s, p95:33.2s, iters:1872, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary]	N/A	N/A
    │   │                           └─Projection_181	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:14.3s, min:0s, avg: 7.15s, p80:14.3s, p95:14.3s, iters:1872, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_custkey	N/A	N/A
    │   │                             └─HashJoin_164	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:14.3s, min:0s, avg: 7.15s, p80:14.3s, p95:14.3s, iters:1872, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
    │   │                               ├─ExchangeReceiver_177(Build)	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.09s, p80:10.2s, p95:10.2s, iters:366, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 223ms}	stream_count: 2	N/A	N/A
    │   │                               │ └─ExchangeSender_176	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.3s, min:0s, avg: 5.13s, p80:10.3s, p95:10.3s, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
    │   │                               │   └─Projection_175	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.11s, p80:10.2s, p95:10.2s, iters:95, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.customer.c_custkey	N/A	N/A
    │   │                               │     └─HashJoin_165	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.11s, p80:10.2s, p95:10.2s, iters:95, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
    │   │                               │       ├─ExchangeReceiver_173(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:2.29s, min:0s, avg: 1.15s, p80:2.29s, p95:2.29s, iters:2, tasks:2, threads:4}		N/A	N/A
    │   │                               │       │ └─ExchangeSender_172	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.29s, min:0s, avg: 1.15s, p80:2.29s, p95:2.29s, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │   │                               │       │   └─Projection_171	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.29s, min:0s, avg: 1.14s, p80:2.29s, p95:2.29s, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey	N/A	N/A
    │   │                               │       │     └─HashJoin_166	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.29s, min:0s, avg: 1.14s, p80:2.29s, p95:2.29s, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
    │   │                               │       │       ├─ExchangeReceiver_169(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:130.9ms, min:0s, avg: 65.5ms, p80:130.9ms, p95:130.9ms, iters:1, tasks:2, threads:2}		N/A	N/A
    │   │                               │       │       │ └─ExchangeSender_168	5.00	5	mpp[tiflash]		tiflash_task:{proc max:130ms, min:0s, avg: 65ms, p80:130ms, p95:130ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │   │                               │       │       │   └─TableFullScan_167	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:130ms, min:0s, avg: 65ms, p80:130ms, p95:130ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:129ms, min_local_stream:129ms, max_local_stream:129ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
    │   │                               │       │       └─TableFullScan_170(Probe)	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:2.29s, min:0s, avg: 1.14s, p80:2.29s, p95:2.29s, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 130ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:146ms, min_local_stream:2289ms, max_local_stream:2289ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
    │   │                               │       └─TableFullScan_174(Probe)	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:10.2s, min:0s, avg: 5.1s, p80:10.2s, p95:10.2s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 2278ms, pipeline_queue_wait: 96ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:16ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:5267ms, max_local_stream:10193ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:14ms}}	keep order:false	N/A	N/A
    │   │                               └─ExchangeReceiver_180(Probe)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:13.1s, min:0s, avg: 6.53s, p80:13.1s, p95:13.1s, iters:1872, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 10253ms, pipeline_queue_wait: 2792ms}		N/A	N/A
    │   │                                 └─ExchangeSender_179	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:32.9s, min:0s, avg: 16.4s, p80:32.9s, p95:32.9s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
    │   │                                   └─TableFullScan_178	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{proc max:9.67s, min:0s, avg: 4.83s, p80:9.67s, p95:9.67s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3955ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 2, max/min: 19/15=1.266667}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1962ms, min_local_stream:9505ms, max_local_stream:9656ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:12000ms}}	keep order:false	N/A	N/A
    │   └─HashJoin_341(Probe)	255221.76	400000	root		time:1m28.5s, loops:392, build_hash_table:{total:44s, fetch:44s, build:4.12µs}, probe:{concurrency:2, total:2m57.2s, max:1m28.6s, probe:158.3ms, fetch and wait:2m57.1s}	CARTESIAN inner join, other cond:gt(Column#156, Column#161)	41.5 KB	0 Bytes
    │     ├─Selection_342(Build)	0.80	1	root		time:44s, loops:2	not(isnull(Column#161))	233 Bytes	N/A
    │     │ └─MaxOneRow_343	1.00	1	root		time:44s, loops:3		N/A	N/A
    │     │   └─StreamAgg_348	1.00	1	root		time:44s, loops:2	funcs:avg(Column#160)->Column#161	97.1 KB	N/A
    │     │     └─CTEFullScan_354	32000000.00	32000000	root	CTE:supplierparts	time:43.4s, loops:31261	data:CTE_1	3.00 GB	8.11 GB
    │     └─Selection_356(Probe)	319027.20	400000	root		time:1m28.4s, loops:392	not(isnull(Column#156))	73.8 KB	N/A
