-- Query: 26302
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_name,
        ROW_NUMBER() OVER (PARTITION BY c.c_nationkey ORDER BY o.o_totalprice ...
-- Execution time: 39.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_132	4.00	5	root		time:38.2s, loops:2, RU:68897.435226, Concurrency:OFF	tpch_sf40.region.r_name, Column#127->Column#132, Column#128->Column#133, Column#129->Column#134, Column#130->Column#135	4.79 KB	N/A
└─Sort_134	4.00	5	root		time:38.2s, loops:2	Column#128:desc	4.87 KB	0 Bytes
  └─TableReader_353	4.00	5	root		time:38.2s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_352	6.75 KB	N/A
    └─ExchangeSender_352	4.00	5	mpp[tiflash]		tiflash_task:{proc max:38.2s, min:38.2s, avg: 38.2s, p80:38.2s, p95:38.2s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Projection_137	4.00	5	mpp[tiflash]		tiflash_task:{proc max:38.2s, min:38.2s, avg: 38.2s, p80:38.2s, p95:38.2s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#127, Column#128, Column#129, case(isnull(Column#129), No Sales, Sales Exist)->Column#130, Column#127	N/A	N/A
        └─Selection_351	4.00	5	mpp[tiflash]		tiflash_task:{proc max:38.2s, min:38.2s, avg: 38.2s, p80:38.2s, p95:38.2s, iters:4, tasks:2, threads:4}	gt(Column#127, 0)	N/A	N/A
          └─Projection_345	5.00	5	mpp[tiflash]		tiflash_task:{proc max:38.2s, min:38.2s, avg: 38.2s, p80:38.2s, p95:38.2s, iters:4, tasks:2, threads:4}	Column#127, Column#128, div(Column#129, cast(case(eq(Column#149, 0), 1, Column#149), decimal(20,0) BINARY))->Column#129, tpch_sf40.region.r_name	N/A	N/A
            └─HashAgg_346	5.00	5	mpp[tiflash]		tiflash_task:{proc max:38.2s, min:38.2s, avg: 38.2s, p80:38.2s, p95:38.2s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#127, funcs:sum(Column#150)->Column#128, funcs:sum(Column#151)->Column#149, funcs:sum(Column#152)->Column#129, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
              └─ExchangeReceiver_348	5.00	26086736	mpp[tiflash]		tiflash_task:{proc max:37.9s, min:37.9s, avg: 37.9s, p80:37.9s, p95:37.9s, iters:2048, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2401ms}	stream_count: 2	N/A	N/A
                └─ExchangeSender_347	5.00	26086736	mpp[tiflash]		tiflash_task:{proc max:38.2s, min:0s, avg: 19.1s, p80:38.2s, p95:38.2s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                  └─HashAgg_343	5.00	26086736	mpp[tiflash]		tiflash_task:{proc max:37.7s, min:0s, avg: 18.8s, p80:37.7s, p95:37.7s, iters:512, tasks:2, threads:4}	group by:Column#157, Column#158, funcs:sum(Column#154)->Column#150, funcs:count(Column#155)->Column#151, funcs:sum(Column#156)->Column#152	N/A	N/A
                    └─Projection_359	18652039.77	36440216	mpp[tiflash]		tiflash_task:{proc max:33.3s, min:0s, avg: 16.7s, p80:33.3s, p95:33.3s, iters:1872, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#154, tpch_sf40.lineitem.l_extendedprice->Column#155, tpch_sf40.lineitem.l_extendedprice->Column#156, tpch_sf40.region.r_name->Column#157, tpch_sf40.orders.o_orderkey->Column#158	N/A	N/A
                      └─Projection_332	18652039.77	36440216	mpp[tiflash]		tiflash_task:{proc max:33.3s, min:0s, avg: 16.7s, p80:33.3s, p95:33.3s, iters:1872, tasks:2, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey, tpch_sf40.region.r_name	N/A	N/A
                        └─Projection_322	18652039.77	36440216	mpp[tiflash]		tiflash_task:{proc max:33.3s, min:0s, avg: 16.7s, p80:33.3s, p95:33.3s, iters:1872, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey	N/A	N/A
                          └─HashJoin_321	18652039.77	36440216	mpp[tiflash]		tiflash_task:{proc max:33.3s, min:0s, avg: 16.7s, p80:33.3s, p95:33.3s, iters:1872, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
                            ├─ExchangeReceiver_187(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{proc max:3.02s, min:0s, avg: 1.51s, p80:3.02s, p95:3.02s, iters:190, tasks:2, threads:4}		N/A	N/A
                            │ └─ExchangeSender_186	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:3.32s, min:0s, avg: 1.66s, p80:3.32s, p95:3.32s, iters:95, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
