-- Query: 26324
-- SQL: WITH SupplierTotal AS (
    SELECT 
        s.s_nationkey,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_cost
    FROM 
        supplier s
    JOIN 
        partsupp ps ON s.s_suppkey = ps.p...
-- Execution time: 10.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_306	12.80	25	root		time:10.6s, loops:2, RU:24254.635469	Column#91:desc	2.79 KB	0 Bytes
└─Projection_308	12.80	25	root		time:10.6s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, coalesce(Column#90, 0)->Column#92, Column#91	2.39 KB	N/A
  └─Selection_309	12.80	25	root		time:10.6s, loops:2	gt(coalesce(Column#90, 0), 100000)	2.39 KB	N/A
    └─HashAgg_310	16.00	25	root		time:10.6s, loops:4, partial_worker:{wall_time:10.581807755s, concurrency:2, task_num:1808, tot_wait:21.007888765s, tot_exec:155.210341ms, tot_time:21.163494424s, max:10.581747415s, p95:10.581747415s}, final_worker:{wall_time:10.581865657s, concurrency:2, task_num:4, tot_wait:895ns, tot_exec:2.368µs, tot_time:21.163550751s, max:10.581790461s, p95:10.581790461s}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#66)->Column#90, funcs:count(tpch_sf40.customer.c_custkey)->Column#91, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name	396.1 KB	0 Bytes
      └─HashJoin_312	1966140.62	1851358	root		time:10.6s, loops:1809, build_hash_table:{total:1.21s, fetch:1.21s, build:9.8µs}, probe:{concurrency:2, total:21.2s, max:10.6s, probe:201.9ms, fetch and wait:21s}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	3.65 KB	0 Bytes
        ├─HashJoin_315(Build)	16.00	25	root		time:1.21s, loops:2, build_hash_table:{total:1.21s, fetch:1.21s, build:8.79µs}, probe:{concurrency:2, total:2.42s, max:1.21s, probe:7.44µs, fetch and wait:2.42s}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	2.25 KB	0 Bytes
        │ ├─HashJoin_332(Build)	16.00	25	root		time:1.21s, loops:2, build_hash_table:{total:1.21s, fetch:1.21s, build:18µs}, probe:{concurrency:2, total:2.42s, max:1.21s, probe:9.66µs, fetch and wait:2.42s}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	49.7 KB	0 Bytes
        │ │ ├─Selection_334(Build)	16.00	25	root		time:1.21s, loops:2	not(isnull(Column#64)), not(isnull(tpch_sf40.supplier.s_nationkey))	1.77 KB	N/A
        │ │ │ └─CTEFullScan_336	20.00	25	root	CTE:suppliertotal AS st	time:1.21s, loops:3	data:CTE_0	3.55 KB	0 Bytes
        │ │ └─TableReader_339(Probe)	25.00	25	root		time:83.5µs, loops:2, cop_task: {num: 1, max: 5.71ms, proc_keys: 25, tot_proc: 1.47ms, tot_wait: 500.2µs, copr_cache_hit_ratio: 0.00, build_task_duration: 7.48µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:5.71ms}}	data:TableFullScan_338	876 Bytes	N/A
        │ │   └─TableFullScan_338	25.00	25	cop[tikv]	table:n	tikv_task:{time:1ms, loops:1}, scan_detail: {total_process_keys: 25, total_process_keys_size: 3109, total_keys: 26, get_snapshot_time: 141.5µs, rocksdb: {key_skipped_count: 25, block: {cache_hit_count: 3, read_count: 5, read_byte: 2.89 KB, read_time: 4.71µs}}}, time_detail: {total_process_time: 1.47ms, total_suspend_time: 2.71µs, total_wait_time: 500.2µs, total_kv_read_wall_time: 1ms, tikv_wall_time: 2.01ms}	keep order:false	N/A	N/A
        │ └─Selection_343(Probe)	16.00	25	root		time:1.21s, loops:2	not(isnull(tpch_sf40.supplier.s_nationkey))	1.77 KB	N/A
        │   └─CTEFullScan_345	20.00	25	root	CTE:suppliertotal AS st	time:1.21s, loops:3	data:CTE_0	N/A	N/A
