-- Query: 26339
-- SQL: WITH SupplierInfo AS (
    SELECT s.s_suppkey, s.s_name, s.s_nationkey, SUM(ps.ps_supplycost * ps.ps_availqty) AS TotalCost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey
    ...
-- Execution time: 203.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_67	10.00	10	root		time:3m23.3s, loops:2, RU:310938.006565	Column#69:desc	3.17 KB	0 Bytes
└─Projection_69	10.00	10	root		time:3m23.3s, loops:2, Concurrency:OFF	tpch_sf40.supplier.s_name, tpch_sf40.region.r_name, Column#69, Column#105	3.02 KB	N/A
  └─HashAgg_70	10.00	10	root		time:3m23.3s, loops:2	group by:Column#69, tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#105, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, funcs:firstrow(Column#69)->Column#69	76.7 KB	0 Bytes
    └─Projection_71	918.36	860	root		time:3m23.3s, loops:3, Concurrency:OFF	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.region.r_name, Column#69, tpch_sf40.orders.o_orderkey	102.4 KB	N/A
      └─HashJoin_72	918.36	860	root		time:3m23.3s, loops:3, build_hash_table:{total:2.43s, fetch:2.43s, build:14.7µs}, probe:{concurrency:2, total:6m46.6s, max:3m23.3s, probe:1.13s, fetch and wait:6m45.5s}	inner join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	82.2 KB	0 Bytes
        ├─TopN_133(Build)	10.00	10	root		time:2.43s, loops:2	Column#69:desc, offset:0, count:10	1.47 KB	0 Bytes
        │ └─TableReader_285	10.00	40	root		time:2.43s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_284	4.07 KB	N/A
        │   └─ExchangeSender_284	10.00	40	mpp[tiflash]		tiflash_task:{proc max:2.43s, min:2.41s, avg: 2.42s, p80:2.43s, p95:2.43s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │     └─TopN_283	10.00	40	mpp[tiflash]		tiflash_task:{proc max:2.43s, min:2.41s, avg: 2.42s, p80:2.43s, p95:2.43s, iters:4, tasks:2, threads:4}	Column#69:desc, offset:0, count:10	N/A	N/A
        │       └─Projection_282	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.41s, min:2.4s, avg: 2.4s, p80:2.41s, p95:2.41s, iters:516, tasks:2, threads:4}	Column#69, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.region.r_name	N/A	N/A
        │         └─Projection_279	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.41s, min:2.4s, avg: 2.4s, p80:2.41s, p95:2.41s, iters:516, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#69, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey	N/A	N/A
        │           └─HashJoin_278	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.41s, min:2.4s, avg: 2.4s, p80:2.41s, p95:2.41s, iters:516, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
        │             ├─ExchangeReceiver_149(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:13.4ms, min:13.4ms, avg: 13.4ms, p80:13.4ms, p95:13.4ms, iters:2, tasks:2, threads:4}		N/A	N/A
        │             │ └─ExchangeSender_148	25.00	25	mpp[tiflash]		tiflash_task:{proc max:13.5ms, min:0s, avg: 6.77ms, p80:13.5ms, p95:13.5ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
        │             │   └─Projection_147	25.00	25	mpp[tiflash]		tiflash_task:{proc max:13.5ms, min:0s, avg: 6.77ms, p80:13.5ms, p95:13.5ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey	N/A	N/A
        │             │     └─HashJoin_142	25.00	25	mpp[tiflash]		tiflash_task:{proc max:13.5ms, min:0s, avg: 6.77ms, p80:13.5ms, p95:13.5ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
        │             │       ├─ExchangeReceiver_145(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:11.5ms, min:0s, avg: 5.77ms, p80:11.5ms, p95:11.5ms, iters:1, tasks:2, threads:2}		N/A	N/A
        │             │       │ └─ExchangeSender_144	5.00	5	mpp[tiflash]		tiflash_task:{proc max:5.5ms, min:0s, avg: 2.75ms, p80:5.5ms, p95:5.5ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
        │             │       │   └─TableFullScan_143	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:5.5ms, min:0s, avg: 2.75ms, p80:5.5ms, p95:5.5ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:3ms, min_local_stream:5ms, max_local_stream:5ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
