-- Query: 26341
-- SQL: WITH RankedCustomers AS (
    SELECT 
        c.c_custkey, 
        c.c_name, 
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue, 
        RANK() OVER (ORDER BY SUM(l.l_extendedpric...
-- Execution time: 317.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_99	319027.20	38477	root		time:5m17.4s, loops:39, RU:426128.433488	Column#173:desc, Column#204	6.01 MB	0 Bytes
└─Projection_101	319027.20	38477	root		time:5m17.4s, loops:39, Concurrency:2	tpch_sf40.customer.c_name, Column#173, tpch_sf40.supplier.s_name, Column#204	201.3 KB	N/A
  └─Projection_103	319027.20	38477	root		time:5m17.4s, loops:39, Concurrency:2	tpch_sf40.customer.c_name, Column#173, Column#173, Column#204, tpch_sf40.supplier.s_name	281.9 KB	N/A
    └─HashJoin_107	319027.20	38477	root		time:5m17.4s, loops:39, build_hash_table:{total:14.9s, fetch:14.8s, build:25.5ms}, probe:{concurrency:2, total:10m34.9s, max:5m17.4s, probe:12.4ms, fetch and wait:10m34.9s}	inner join, equal:[eq(Column#206, Column#205)]	33.3 MB	0 Bytes
      ├─Projection_179(Build)	319027.20	384699	root		time:14.9s, loops:377, Concurrency:2	Column#204, tpch_sf40.supplier.s_name, mod(tpch_sf40.supplier.s_suppkey, 100)->Column#206	281.5 KB	N/A
      │ └─Selection_181	319027.20	384699	root		time:14.8s, loops:377	gt(Column#204, 1000)	83.2 KB	N/A
      │   └─HashAgg_185	398784.00	384734	root		time:14.8s, loops:378, partial_worker:{wall_time:14.710824961s, concurrency:2, task_num:1250, tot_wait:28.917818395s, tot_exec:502.763622ms, tot_time:29.421602125s, max:14.710801604s, p95:14.710801604s}, final_worker:{wall_time:14.861945328s, concurrency:2, task_num:4, tot_wait:3.898µs, tot_exec:108.741698ms, tot_time:29.72024551s, max:14.861921365s, p95:14.861921365s}	group by:Column#228, Column#229, funcs:sum(Column#227)->Column#204, funcs:firstrow(Column#228)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(Column#229)->tpch_sf40.supplier.s_name	164.0 MB	0 Bytes
      │     └─Projection_424	1257952.08	1278984	root		time:14.7s, loops:1251, Concurrency:2	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#227, tpch_sf40.supplier.s_suppkey->Column#228, tpch_sf40.supplier.s_name->Column#229	384.0 KB	N/A
      │       └─Projection_189	1257952.08	1278984	root		time:14.6s, loops:1251, Concurrency:2	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	371.0 KB	N/A
      │         └─HashJoin_202	1257952.08	1278984	root		time:14.6s, loops:1251, build_hash_table:{total:77.4ms, fetch:17.1ms, build:60.4ms}, probe:{concurrency:2, total:29.4s, max:14.7s, probe:487.3ms, fetch and wait:28.9s}	inner join, equal:[eq(tpch_sf40.partsupp.ps_suppkey, tpch_sf40.supplier.s_suppkey)]	37.0 MB	0 Bytes
      │           ├─TableReader_276(Build)	400000.00	400000	root		time:16.6ms, loops:392, cop_task: {num: 8, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_275	2.13 MB	N/A
      │           │ └─ExchangeSender_275	400000.00	400000	mpp[tiflash]		tiflash_task:{time:19.8ms, loops:7, threads:2}	ExchangeType: PassThrough	N/A	N/A
      │           │   └─TableFullScan_274	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:13.8ms, loops:7, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:2ms, min_local_stream:13ms, max_local_stream:13ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:12ms}}	keep order:false	N/A	N/A
      │           └─IndexHashJoin_234(Probe)	1254127.91	1278984	root		time:14.2s, loops:1251, inner:{total:28.4s, concurrency:2, task:16, construct:63.9ms, fetch:27.6s, build:15.6ms, join:683.1ms}	inner join, inner:TableReader_229, outer key:tpch_sf40.part.p_partkey, inner key:tpch_sf40.partsupp.ps_partkey, equal cond:eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)	22.2 MB	N/A
      │             ├─TableReader_266(Build)	312147.43	319746	root		time:21.2ms, loops:368, cop_task: {num: 124, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_265	149.4 KB	N/A
      │             │ └─ExchangeSender_265	312147.43	319746	mpp[tiflash]		tiflash_task:{proc max:347.3ms, min:192.2ms, avg: 269.7ms, p80:347.3ms, p95:347.3ms, iters:126, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │             │   └─TableFullScan_263	312147.43	319746	mpp[tiflash]	table:p	tiflash_task:{proc max:346.3ms, min:191.2ms, avg: 268.7ms, p80:346.3ms, p95:346.3ms, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 235ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:13ms, min_local_stream:190ms, max_local_stream:345ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:8000000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:240ms}}	pushed down filter:eq(tpch_sf40.part.p_brand, "Brand#23"), keep order:false	N/A	N/A
      │             └─TableReader_229(Probe)	312147.43	1278984	root		time:27.5s, loops:1307, cop_task: {num: 432, max: 836.7ms, min: 1.25ms, avg: 110.2ms, p95: 394ms, max_proc_keys: 19204, p95_proc_keys: 9184, tot_proc: 25.8s, tot_wait: 308.7ms, copr_cache_hit_ratio: 0.00, build_task_duration: 9.55ms, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:432, total_time:47.6s}}	data:TableRangeScan_228	N/A	N/A
