-- Query: 26344
-- SQL: WITH RankedSuppliers AS (
    SELECT s.s_suppkey, s.s_name, SUM(ps.ps_supplycost * ps.ps_availqty) AS TotalSupplyCost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey
    GROUP ...
-- Execution time: 4.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_64	40.00	50	root		time:4.55s, loops:2, RU:30212.620443	Column#102:desc, Column#118:desc	11.1 KB	0 Bytes
└─Projection_67	40.00	50	root		time:4.55s, loops:2, Concurrency:OFF	tpch_sf40.customer.c_name, Column#101, Column#102, tpch_sf40.supplier.s_name, Column#118	10.3 KB	N/A
  └─HashJoin_69	40.00	50	root		time:4.55s, loops:2, build_hash_table:{total:4.55s, fetch:4.55s, build:4.53µs}, probe:{concurrency:2, total:9.11s, max:4.55s, probe:17.7µs, fetch and wait:9.11s}	CARTESIAN inner join	66.0 KB	0 Bytes
    ├─Selection_70(Build)	4.00	5	root		time:4.55s, loops:2	gt(Column#102, 0)	2.39 KB	N/A
    │ └─Projection_71	5.00	5	root		time:4.55s, loops:3, Concurrency:OFF	tpch_sf40.customer.c_name, coalesce(Column#99, 0)->Column#101, coalesce(Column#100, 0)->Column#102	2.39 KB	N/A
    │   └─Projection_304	5.00	5	root		time:4.55s, loops:3, Concurrency:OFF	tpch_sf40.customer.c_name, Column#99, Column#100	3.80 KB	N/A
    │     └─TopN_75	5.00	5	root		time:4.55s, loops:3	Column#142:desc, offset:0, count:5	2.21 KB	0 Bytes
    │       └─Projection_305	5.00	20	root		time:4.55s, loops:3, Concurrency:OFF	tpch_sf40.customer.c_name, Column#99, Column#100, coalesce(Column#100, 0)->Column#142	2.39 KB	N/A
    │         └─TableReader_207	5.00	20	root		time:4.55s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_206	3.24 KB	N/A
    │           └─ExchangeSender_206	5.00	20	mpp[tiflash]		tiflash_task:{proc max:4.55s, min:4.53s, avg: 4.54s, p80:4.55s, p95:4.55s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │             └─Projection_302	5.00	20	mpp[tiflash]		tiflash_task:{proc max:4.55s, min:4.53s, avg: 4.54s, p80:4.55s, p95:4.55s, iters:4, tasks:2, threads:4}	tpch_sf40.customer.c_name, Column#99, Column#100	N/A	N/A
    │               └─TopN_205	5.00	20	mpp[tiflash]		tiflash_task:{proc max:4.55s, min:4.53s, avg: 4.54s, p80:4.55s, p95:4.55s, iters:4, tasks:2, threads:4}	Column#141:desc, offset:0, count:5	N/A	N/A
    │                 └─Projection_303	6000000.00	3810164	mpp[tiflash]		tiflash_task:{proc max:4.55s, min:4.52s, avg: 4.54s, p80:4.55s, p95:4.55s, iters:512, tasks:2, threads:4}	tpch_sf40.customer.c_name, Column#99, Column#100, coalesce(Column#100, 0)->Column#141	N/A	N/A
    │                   └─Projection_204	6000000.00	3810164	mpp[tiflash]		tiflash_task:{proc max:4.55s, min:4.52s, avg: 4.54s, p80:4.55s, p95:4.55s, iters:512, tasks:2, threads:4}	tpch_sf40.customer.c_name, Column#99, Column#100	N/A	N/A
    │                     └─HashJoin_203	6000000.00	3810164	mpp[tiflash]		tiflash_task:{proc max:4.55s, min:4.52s, avg: 4.54s, p80:4.55s, p95:4.55s, iters:512, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_custkey)], stream_count: 2	N/A	N/A
    │                       ├─ExchangeReceiver_90(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:350.6ms, min:261.6ms, avg: 306.1ms, p80:350.6ms, p95:350.6ms, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 302ms}	stream_count: 2	N/A	N/A
    │                       │ └─ExchangeSender_89	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:333.9ms, min:0s, avg: 167ms, p80:333.9ms, p95:333.9ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
    │                       │   └─TableFullScan_88	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:333.9ms, min:0s, avg: 167ms, p80:333.9ms, p95:333.9ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 313ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:12ms, min_local_stream:69ms, max_local_stream:333ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:143ms}}	keep order:false	N/A	N/A
    │                       └─Projection_108(Probe)	6000010.00	3810164	mpp[tiflash]		tiflash_task:{proc max:4.43s, min:4.41s, avg: 4.42s, p80:4.43s, p95:4.43s, iters:512, tasks:2, threads:4}	Column#99, Column#100, tpch_sf40.customer.c_custkey	N/A	N/A
    │                         └─HashAgg_91	6000010.00	3810164	mpp[tiflash]		tiflash_task:{proc max:4.43s, min:4.41s, avg: 4.42s, p80:4.43s, p95:4.43s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:count(tpch_sf40.orders.o_orderkey)->Column#99, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#100, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey	N/A	N/A
    │                           └─Projection_104	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:3.39s, min:3.34s, avg: 3.37s, p80:3.39s, p95:3.39s, iters:936, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_custkey	N/A	N/A
    │                             └─HashJoin_95	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:3.39s, min:3.34s, avg: 3.37s, p80:3.39s, p95:3.39s, iters:936, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
