-- Query: 26345
-- SQL: WITH NationwideSales AS (
    SELECT 
        n.n_name AS nation,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales
    FROM 
        lineitem l
    JOIN 
        orders o ON l.l_orde...
-- Execution time: 326.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_94	50.00	50	root		time:5m26.3s, loops:2, RU:693131.990162, Concurrency:OFF	tpch_sf40.nation.n_name, Column#138, tpch_sf40.supplier.s_name, Column#169, tpch_sf40.part.p_name, Column#202	14.6 KB	N/A
└─TopN_97	50.00	50	root		time:5m26.3s, loops:2	Column#138:desc, Column#169:desc, Column#202:desc, offset:0, count:50	236.0 KB	0 Bytes
  └─Projection_102	63510544.09	100000000	root		time:5m24.9s, loops:97658, Concurrency:2	Column#138, tpch_sf40.nation.n_name, Column#169, tpch_sf40.supplier.s_name, tpch_sf40.part.p_name, Column#202	936.1 KB	N/A
    └─HashJoin_103	63510544.09	100000000	root		time:5m26.2s, loops:97658, build_hash_table:{total:1m37.7s, fetch:1m37.7s, build:11.8µs}, probe:{concurrency:2, total:10m52.6s, max:5m26.3s, probe:8.57s, fetch and wait:10m44s}	CARTESIAN inner join	57.7 KB	0 Bytes
      ├─Selection_424(Build)	8.00	10	root		time:1m37.7s, loops:2	gt(Column#202, 50000)	2.27 KB	N/A
      │ └─TopN_428	10.00	10	root		time:1m37.7s, loops:3	Column#202:desc, offset:0, count:10	1.16 KB	0 Bytes
      │   └─TableReader_573	10.00	40	root		time:1m37.7s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_572	3.77 KB	N/A
      │     └─ExchangeSender_572	10.00	40	mpp[tiflash]		tiflash_task:{proc max:1m37.7s, min:1m37.7s, avg: 1m37.7s, p80:1m37.7s, p95:1m37.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │       └─TopN_571	10.00	40	mpp[tiflash]		tiflash_task:{proc max:1m37.7s, min:1m37.7s, avg: 1m37.7s, p80:1m37.7s, p95:1m37.7s, iters:4, tasks:2, threads:4}	Column#202:desc, offset:0, count:10	N/A	N/A
      │         └─Projection_567	8000027.00	7997424	mpp[tiflash]		tiflash_task:{proc max:1m37.5s, min:1m37.5s, avg: 1m37.5s, p80:1m37.5s, p95:1m37.5s, iters:1024, tasks:2, threads:4}	Column#202, tpch_sf40.part.p_name	N/A	N/A
      │           └─HashAgg_568	8000027.00	7997424	mpp[tiflash]		tiflash_task:{proc max:1m37.5s, min:1m37.5s, avg: 1m37.5s, p80:1m37.5s, p95:1m37.5s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.part.p_name, funcs:sum(Column#226)->Column#202, funcs:firstrow(tpch_sf40.part.p_name)->tpch_sf40.part.p_name, stream_count: 2	N/A	N/A
      │             └─ExchangeReceiver_570	8000027.00	7998670	mpp[tiflash]		tiflash_task:{proc max:1m37.3s, min:1m37.2s, avg: 1m37.3s, p80:1m37.3s, p95:1m37.3s, iters:758, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 451ms}	stream_count: 2	N/A	N/A
      │               └─ExchangeSender_569	8000027.00	7998670	mpp[tiflash]		tiflash_task:{proc max:1m37.4s, min:0s, avg: 48.7s, p80:1m37.4s, p95:1m37.4s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │                 └─HashAgg_565	8000027.00	7998670	mpp[tiflash]		tiflash_task:{proc max:1m37.3s, min:0s, avg: 48.7s, p80:1m37.3s, p95:1m37.3s, iters:512, tasks:2, threads:4}	group by:Column#233, funcs:sum(Column#232)->Column#226	N/A	N/A
      │                   └─Projection_578	968584752.10	960049160	mpp[tiflash]		tiflash_task:{proc max:1m8.7s, min:0s, avg: 34.3s, p80:1m8.7s, p95:1m8.7s, iters:18313, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#232, tpch_sf40.part.p_name->Column#233	N/A	N/A
      │                     └─Projection_554	968584752.10	960049160	mpp[tiflash]		tiflash_task:{proc max:1m8s, min:0s, avg: 34s, p80:1m8s, p95:1m8s, iters:18313, tasks:2, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.part.p_name	N/A	N/A
      │                       └─Projection_544	968584752.10	960049160	mpp[tiflash]		tiflash_task:{proc max:1m8s, min:0s, avg: 34s, p80:1m8s, p95:1m8s, iters:18313, tasks:2, threads:4}	tpch_sf40.part.p_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_partkey	N/A	N/A
      │                         └─HashJoin_543	968584752.10	960049160	mpp[tiflash]		tiflash_task:{proc max:1m7.9s, min:0s, avg: 34s, p80:1m7.9s, p95:1m7.9s, iters:18313, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.lineitem.l_partkey)]	N/A	N/A
      │                           ├─Projection_467(Build)	32141937.80	32000000	mpp[tiflash]		tiflash_task:{proc max:6.1s, min:0s, avg: 3.05s, p80:6.1s, p95:6.1s, iters:1016, tasks:2, threads:4}	tpch_sf40.part.p_name, tpch_sf40.partsupp.ps_partkey	N/A	N/A
      │                           │ └─HashJoin_459	32141937.80	32000000	mpp[tiflash]		tiflash_task:{proc max:6.1s, min:0s, avg: 3.05s, p80:6.1s, p95:6.1s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)], stream_count: 2	N/A	N/A
      │                           │   ├─ExchangeReceiver_463(Build)	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:1.12s, min:0s, avg: 561.7ms, p80:1.12s, p95:1.12s, iters:484, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 967ms}	stream_count: 2	N/A	N/A
      │                           │   │ └─ExchangeSender_462	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:954.2ms, min:0s, avg: 477.1ms, p80:954.2ms, p95:954.2ms, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
      │                           │   │   └─TableFullScan_461	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:873.1ms, min:0s, avg: 436.6ms, p80:873.1ms, p95:873.1ms, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 813ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:8ms, min_local_stream:0ms, max_local_stream:861ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:492ms}}	keep order:false	N/A	N/A
      │                           │   └─ExchangeReceiver_466(Probe)	32000000.00	32000000	mpp[tiflash]		tiflash_task:{proc max:5.84s, min:0s, avg: 2.92s, p80:5.84s, p95:5.84s, iters:1016, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1217ms, pipeline_queue_wait: 4324ms}		N/A	N/A
      │                           │     └─ExchangeSender_465	32000000.00	32000000	mpp[tiflash]		tiflash_task:{proc max:6.02s, min:0s, avg: 3.01s, p80:6.02s, p95:6.02s, iters:509, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary]	N/A	N/A
      │                           │       └─TableFullScan_464	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:5.98s, min:0s, avg: 2.99s, p80:5.98s, p95:5.98s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 5930ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:24ms, region_balance:{instance_num: 2, max/min: 12/10=1.200000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:25ms, min_local_stream:0ms, max_local_stream:5969ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:16ms}}	keep order:false	N/A	N/A
      │                           └─ExchangeReceiver_471(Probe)	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:46s, min:0s, avg: 23s, p80:46s, p95:46s, iters:7750, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 6242ms, pipeline_queue_wait: 29149ms}		N/A	N/A
      │                             └─ExchangeSender_470	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:1m35.6s, min:0s, avg: 47.8s, p80:1m35.6s, p95:1m35.6s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary]	N/A	N/A
      │                               └─TableFullScan_469	240012290.00	240012290	mpp[tiflash]	table:l	tiflash_task:{proc max:1m2s, min:0s, avg: 31s, p80:1m2s, p95:1m2s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 61957ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 89/87=1.022989}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:6ms, tot_build_inputstream:204ms, min_local_stream:0ms, max_local_stream:62011ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:6ms, tot_read:1606ms}}	keep order:false	N/A	N/A
      └─HashJoin_107(Probe)	7938818.01	10000000	root		time:5m20.8s, loops:9767, build_hash_table:{total:5m20.8s, fetch:5m20.8s, build:9.1µs}, probe:{concurrency:2, total:10m52.6s, max:5m26.3s, probe:512.7ms, fetch and wait:10m52s}	CARTESIAN inner join	3.64 KB	0 Bytes
        ├─HashAgg_175(Build)	25.00	25	root		time:5m20.8s, loops:3, partial_worker:{wall_time:5m20.775050884s, concurrency:2, task_num:35656, tot_wait:10m38.630273927s, tot_exec:2.911957375s, tot_time:10m41.550036353s, max:5m20.775018746s, p95:5m20.775018746s}, final_worker:{wall_time:5m20.775104937s, concurrency:2, task_num:4, tot_wait:30.465µs, tot_exec:2.46µs, tot_time:10m41.550089907s, max:5m20.77505554s, p95:5m20.77505554s}	group by:Column#229, funcs:sum(Column#228)->Column#138, funcs:firstrow(Column#229)->tpch_sf40.nation.n_name	393.0 KB	0 Bytes
        │ └─Projection_576	36837722.65	36510994	root		time:5m20.7s, loops:35657, Concurrency:2	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#228, tpch_sf40.nation.n_name->Column#229	391.6 KB	N/A
        │   └─Projection_179	36837722.65	36510994	root		time:5m20.5s, loops:35657, Concurrency:2	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.nation.n_name	440.1 KB	N/A
        │     └─IndexHashJoin_190	36837722.65	36510994	root		time:5m20.6s, loops:35657, inner:{total:10m40.1s, concurrency:2, task:361, construct:1.81s, fetch:10m31.7s, build:459.6ms, join:6.65s}	inner join, inner:TableReader_185, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	28.4 MB	N/A
        │       ├─TableReader_220(Build)	9144560.22	9128300	root		time:712.5ms, loops:9168, cop_task: {num: 906, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_219	726.5 KB	N/A
