-- Query: 26347
-- SQL: WITH SupplierCost AS (
    SELECT ps.ps_suppkey, SUM(ps.ps_supplycost * l.l_quantity) AS total_cost
    FROM partsupp ps
    JOIN lineitem l ON ps.ps_partkey = l.l_partkey
    WHERE l.l_shipdate >= '1...
-- Execution time: 6.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_78	5.00	5	root		time:6.78s, loops:2, RU:63447.474240	Column#123:desc, Column#146:desc	3.88 KB	0 Bytes
└─Projection_80	5.00	5	root		time:6.78s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#122, Column#123, Column#146	3.80 KB	N/A
  └─Projection_82	5.00	5	root		time:6.78s, loops:2, Concurrency:OFF	Column#122, Column#123, tpch_sf40.region.r_name, Column#146	3.80 KB	N/A
    └─HashJoin_86	5.00	5	root		time:6.78s, loops:2, build_hash_table:{total:3.15s, fetch:3.15s, build:15.1µs}, probe:{concurrency:2, total:13.6s, max:6.78s, probe:16.3µs, fetch and wait:13.6s}	inner join, equal:[eq(tpch_sf40.region.r_name, tpch_sf40.region.r_name)]	3.25 KB	0 Bytes
      ├─HashJoin_175(Build)	5.00	5	root		time:3.15s, loops:2, build_hash_table:{total:81.7µs, fetch:72.3µs, build:9.33µs}, probe:{concurrency:2, total:6.29s, max:3.15s, probe:19.2µs, fetch and wait:6.29s}	left outer join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.customer.c_nationkey)]	25.7 KB	0 Bytes
      │ ├─TableReader_203(Build)	5.00	5	root		time:55.7µs, loops:2, cop_task: {num: 1, max: 1.73ms, proc_keys: 5, tot_proc: 1.41ms, tot_wait: 36.1µs, copr_cache_hit_ratio: 0.00, build_task_duration: 6.7µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:1.71ms}}	data:TableFullScan_202	406 Bytes	N/A
      │ │ └─TableFullScan_202	5.00	5	cop[tikv]	table:r	tikv_task:{time:1ms, loops:1}, scan_detail: {total_process_keys: 5, total_process_keys_size: 559, total_keys: 6, get_snapshot_time: 19µs, rocksdb: {key_skipped_count: 5, block: {cache_hit_count: 3, read_count: 5, read_byte: 1.96 KB, read_time: 4.13µs}}}, time_detail: {total_process_time: 1.41ms, total_suspend_time: 5.68µs, total_wait_time: 36.1µs, total_kv_read_wall_time: 1ms, tikv_wall_time: 1.54ms}	keep order:false	N/A	N/A
      │ └─TableReader_279(Probe)	25.00	25	root		time:3.15s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_278	2.40 KB	N/A
      │   └─ExchangeSender_278	25.00	25	mpp[tiflash]		tiflash_task:{proc max:3.15s, min:3.14s, avg: 3.14s, p80:3.15s, p95:3.15s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │     └─Projection_274	25.00	25	mpp[tiflash]		tiflash_task:{proc max:3.15s, min:3.14s, avg: 3.14s, p80:3.15s, p95:3.15s, iters:4, tasks:2, threads:4}	Column#146, tpch_sf40.customer.c_nationkey	N/A	N/A
