-- Query: 26349
-- SQL: WITH SupplierInfo AS (
    SELECT s.s_suppkey, s.s_name, s.s_acctbal, n.n_name AS nation_name
    FROM supplier s
    JOIN nation n ON s.s_nationkey = n.n_nationkey
    WHERE s.s_acctbal > 10000
),
Pa...
-- Execution time: 21.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_63	50.00	50	root		time:21.3s, loops:2, RU:146419.153590, Concurrency:OFF	tpch_sf40.customer.c_name, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, Column#114->Column#121, Column#115->Column#122, Column#116->Column#123, Column#117->Column#124	14.9 KB	N/A
└─TopN_67	50.00	50	root		time:21.3s, loops:2	Column#115:desc, offset:0, count:50	11.6 KB	0 Bytes
  └─TableReader_349	50.00	200	root		time:21.3s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_348	10.5 KB	N/A
    └─ExchangeSender_348	50.00	200	mpp[tiflash]		tiflash_task:{proc max:21.2s, min:21.2s, avg: 21.2s, p80:21.2s, p95:21.2s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_347	50.00	200	mpp[tiflash]		tiflash_task:{proc max:21.2s, min:21.2s, avg: 21.2s, p80:21.2s, p95:21.2s, iters:4, tasks:2, threads:4}	Column#115:desc, offset:0, count:50	N/A	N/A
        └─Selection_346	4800008.00	6359286	mpp[tiflash]		tiflash_task:{proc max:21.2s, min:21.1s, avg: 21.1s, p80:21.2s, p95:21.2s, iters:1024, tasks:2, threads:4}	gt(Column#114, 100)	N/A	N/A
          └─Projection_340	6000010.00	12715437	mpp[tiflash]		tiflash_task:{proc max:21s, min:21s, avg: 21s, p80:21s, p95:21s, iters:1024, tasks:2, threads:4}	Column#114, Column#115, div(Column#116, cast(case(eq(Column#146, 0), 1, Column#146), decimal(20,0) BINARY))->Column#116, Column#117, tpch_sf40.customer.c_name, tpch_sf40.part.p_name, tpch_sf40.part.p_brand	N/A	N/A
            └─HashAgg_341	6000010.00	12715437	mpp[tiflash]		tiflash_task:{proc max:20.8s, min:20.8s, avg: 20.8s, p80:20.8s, p95:20.8s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_name, funcs:sum(Column#147)->Column#114, funcs:sum(Column#148)->Column#115, funcs:sum(Column#149)->Column#146, funcs:sum(Column#150)->Column#116, funcs:count(distinct Column#151)->Column#117, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, funcs:firstrow(tpch_sf40.part.p_name)->tpch_sf40.part.p_name, funcs:firstrow(tpch_sf40.part.p_brand)->tpch_sf40.part.p_brand, stream_count: 2	N/A	N/A
              └─ExchangeReceiver_343	6000010.00	12715437	mpp[tiflash]		tiflash_task:{proc max:19.4s, min:19.4s, avg: 19.4s, p80:19.4s, p95:19.4s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1274ms}	stream_count: 2	N/A	N/A
                └─ExchangeSender_342	6000010.00	12715437	mpp[tiflash]		tiflash_task:{proc max:20.3s, min:0s, avg: 10.1s, p80:20.3s, p95:20.3s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], [name: tpch_sf40.part.p_name, collate: utf8mb4_bin], [name: tpch_sf40.part.p_brand, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                  └─HashAgg_338	6000010.00	12715437	mpp[tiflash]		tiflash_task:{proc max:19.9s, min:0s, avg: 9.95s, p80:19.9s, p95:19.9s, iters:512, tasks:2, threads:4}	group by:Column#159, Column#160, Column#161, Column#162, funcs:sum(Column#155)->Column#147, funcs:sum(Column#156)->Column#148, funcs:count(Column#157)->Column#149, funcs:sum(Column#158)->Column#150	N/A	N/A
                    └─Projection_352	57703532.11	50861804	mpp[tiflash]		tiflash_task:{proc max:16.5s, min:0s, avg: 8.27s, p80:16.5s, p95:16.5s, iters:1016, tasks:2, threads:4}	tpch_sf40.lineitem.l_quantity->Column#155, tpch_sf40.lineitem.l_extendedprice->Column#156, tpch_sf40.supplier.s_acctbal->Column#157, tpch_sf40.supplier.s_acctbal->Column#158, tpch_sf40.customer.c_name->Column#159, tpch_sf40.part.p_name->Column#160, tpch_sf40.part.p_brand->Column#161, coalesce(tpch_sf40.supplier.s_suppkey, 0)->Column#162	N/A	N/A
                      └─Projection_327	57703532.11	50861804	mpp[tiflash]		tiflash_task:{proc max:16.5s, min:0s, avg: 8.24s, p80:16.5s, p95:16.5s, iters:1016, tasks:2, threads:4}	tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.customer.c_name, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_acctbal	N/A	N/A
                        └─Projection_317	57703532.11	50861804	mpp[tiflash]		tiflash_task:{proc max:16.5s, min:0s, avg: 8.24s, p80:16.5s, p95:16.5s, iters:1016, tasks:2, threads:4}	tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_acctbal, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.customer.c_name, tpch_sf40.partsupp.ps_partkey	N/A	N/A
                          └─HashJoin_316	57703532.11	50861804	mpp[tiflash]		tiflash_task:{proc max:16.5s, min:0s, avg: 8.24s, p80:16.5s, p95:16.5s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)], stream_count: 2	N/A	N/A
                            ├─ExchangeReceiver_129(Build)	14362178.78	12715451	mpp[tiflash]		tiflash_task:{proc max:14.4s, min:0s, avg: 7.22s, p80:14.4s, p95:14.4s, iters:1201, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 4896ms}	stream_count: 2	N/A	N/A
                            │ └─ExchangeSender_128	14362178.78	12715451	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:0s, avg: 7.26s, p80:14.5s, p95:14.5s, iters:1442, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
                            │   └─Projection_127	14362178.78	12715451	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.09s, p80:14.2s, p95:14.2s, iters:1442, tasks:2, threads:4}	tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_acctbal, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.customer.c_name, tpch_sf40.orders.o_custkey	N/A	N/A
                            │     └─HashJoin_93	14362178.78	12715451	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.09s, p80:14.2s, p95:14.2s, iters:1442, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)], stream_count: 2	N/A	N/A
                            │       ├─ExchangeReceiver_126(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:348.6ms, min:0s, avg: 174.3ms, p80:348.6ms, p95:348.6ms, iters:372, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 225ms}	stream_count: 2	N/A	N/A
                            │       │ └─ExchangeSender_125	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:410.7ms, min:0s, avg: 205.3ms, p80:410.7ms, p95:410.7ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
                            │       │   └─TableFullScan_124	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:364.7ms, min:0s, avg: 182.3ms, p80:364.7ms, p95:364.7ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 288ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:11ms, min_local_stream:0ms, max_local_stream:352ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:237ms}}	keep order:false	N/A	N/A
                            │       └─ExchangeReceiver_123(Probe)	14362178.78	12715451	mpp[tiflash]		tiflash_task:{proc max:13.6s, min:0s, avg: 6.82s, p80:13.6s, p95:13.6s, iters:1442, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 451ms, pipeline_queue_wait: 7895ms}		N/A	N/A
                            │         └─ExchangeSender_122	14362178.78	12715451	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:0s, avg: 7.26s, p80:14.5s, p95:14.5s, iters:5147, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
                            │           └─Projection_121	14362178.78	12715451	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.11s, p80:14.2s, p95:14.2s, iters:5147, tasks:2, threads:4}	tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_acctbal, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.orders.o_custkey, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                            │             └─HashJoin_94	14362178.78	12715451	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.11s, p80:14.2s, p95:14.2s, iters:5147, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                            │               ├─ExchangeReceiver_120(Build)	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:1.19s, min:0s, avg: 597.3ms, p80:1.19s, p95:1.19s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 549ms}	stream_count: 2	N/A	N/A
                            │               │ └─ExchangeSender_119	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:1.57s, min:0s, avg: 784.9ms, p80:1.57s, p95:1.57s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                            │               │   └─TableFullScan_117	14362178.78	14441995	mpp[tiflash]	table:o	tiflash_task:{proc max:1.53s, min:0s, avg: 762.9ms, p80:1.53s, p95:1.53s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1016ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:24ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:1ms, tot_build_inputstream:38ms, min_local_stream:0ms, max_local_stream:1513ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:2ms, tot_read:1707ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1997-01-01 00:00:00.000000), keep order:false	N/A	N/A
                            │               └─ExchangeReceiver_116(Probe)	53043964.53	52821147	mpp[tiflash]		tiflash_task:{proc max:13.2s, min:0s, avg: 6.62s, p80:13.2s, p95:13.2s, iters:5147, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1572ms, pipeline_queue_wait: 10757ms}		N/A	N/A
                            │                 └─ExchangeSender_115	53043964.53	52821147	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:0s, avg: 7.25s, p80:14.5s, p95:14.5s, iters:7750, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
                            │                   └─Projection_114	53043964.53	52821147	mpp[tiflash]		tiflash_task:{proc max:12.8s, min:0s, avg: 6.38s, p80:12.8s, p95:12.8s, iters:7750, tasks:2, threads:4}	tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_acctbal, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.lineitem.l_partkey	N/A	N/A
                            │                     └─HashJoin_95	53043964.53	52821147	mpp[tiflash]		tiflash_task:{proc max:12.8s, min:0s, avg: 6.38s, p80:12.8s, p95:12.8s, iters:7750, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)], stream_count: 2	N/A	N/A
                            │                       ├─ExchangeReceiver_113(Build)	1760233.94	1760152	mpp[tiflash]		tiflash_task:{proc max:602.4ms, min:0s, avg: 301.2ms, p80:602.4ms, p95:602.4ms, iters:128, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 324ms}	stream_count: 2	N/A	N/A
                            │                       │ └─ExchangeSender_112	1760233.94	1760152	mpp[tiflash]		tiflash_task:{proc max:624.1ms, min:0s, avg: 312.1ms, p80:624.1ms, p95:624.1ms, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
                            │                       │   └─TableFullScan_110	1760233.94	1760152	mpp[tiflash]	table:p	tiflash_task:{proc max:602.1ms, min:0s, avg: 301.1ms, p80:602.1ms, p95:602.1ms, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 427ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:14ms, min_local_stream:0ms, max_local_stream:601ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:8000000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:763ms}}	pushed down filter:ge(tpch_sf40.part.p_size, 10), le(tpch_sf40.part.p_size, 20), keep order:false	N/A	N/A
                            │                       └─ExchangeReceiver_109(Probe)	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:7.82s, min:0s, avg: 3.91s, p80:7.82s, p95:7.82s, iters:7750, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 625ms, pipeline_queue_wait: 6454ms}		N/A	N/A
                            │                         └─ExchangeSender_108	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:14.4s, min:0s, avg: 7.22s, p80:14.4s, p95:14.4s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary]	N/A	N/A
                            │                           └─Projection_107	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:11.4s, min:0s, avg: 5.7s, p80:11.4s, p95:11.4s, iters:3875, tasks:2, threads:4}	tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_partkey, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_acctbal	N/A	N/A
                            │                             └─HashJoin_96	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:11.4s, min:0s, avg: 5.7s, p80:11.4s, p95:11.4s, iters:3875, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
                            │                               ├─ExchangeReceiver_106(Build)	1.00	0	mpp[tiflash]		tiflash_task:{proc max:16.6ms, min:0s, avg: 8.3ms, p80:16.6ms, p95:16.6ms, iters:0, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3ms}		N/A	N/A
                            │                               │ └─ExchangeSender_105	1.00	0	mpp[tiflash]		tiflash_task:{proc max:15.7ms, min:0s, avg: 7.87ms, p80:15.7ms, p95:15.7ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                            │                               │   └─Projection_104	1.00	0	mpp[tiflash]		tiflash_task:{proc max:15.7ms, min:0s, avg: 7.87ms, p80:15.7ms, p95:15.7ms, iters:1, tasks:2, threads:2}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_acctbal	N/A	N/A
