-- Query: 26350
-- SQL: WITH RankedParts AS (
    SELECT p.p_partkey, p.p_name, p.p_retailprice, ps.ps_availqty, 
           ROW_NUMBER() OVER (PARTITION BY p.p_brand ORDER BY p.p_retailprice DESC) AS PartRank
    FROM part ...
-- Execution time: 5.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_62	25.00	2	root		time:5.13s, loops:2, RU:12684.461217	tpch_sf40.region.r_name, Column#108:desc	4.45 KB	0 Bytes
└─TableReader_283	25.00	2	root		time:5.13s, loops:2, cop_task: {num: 4, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_282	6.27 KB	N/A
  └─ExchangeSender_282	25.00	2	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.13s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:2, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_65	25.00	2	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.13s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:2, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#107, Column#108, Column#109	N/A	N/A
      └─Projection_278	25.00	2	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.13s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:2, tasks:2, threads:4}	Column#107, Column#108, div(Column#109, cast(case(eq(Column#125, 0), 1, Column#125), decimal(20,0) BINARY))->Column#109, tpch_sf40.region.r_name, tpch_sf40.nation.n_name	N/A	N/A
        └─HashAgg_279	25.00	2	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.13s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:2, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:sum(Column#126)->Column#107, funcs:sum(Column#127)->Column#108, funcs:sum(Column#128)->Column#125, funcs:sum(Column#129)->Column#109, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_281	25.00	2	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.13s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:2, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            └─ExchangeSender_280	25.00	2	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:0s, avg: 2.56s, p80:5.13s, p95:5.13s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_276	25.00	2	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:0s, avg: 2.56s, p80:5.13s, p95:5.13s, iters:2, tasks:2, threads:2}	group by:Column#135, Column#136, funcs:count(1)->Column#126, funcs:sum(Column#132)->Column#127, funcs:count(Column#133)->Column#128, funcs:sum(Column#134)->Column#129	N/A	N/A
                └─Projection_286	1614172.85	12	mpp[tiflash]		tiflash_task:{proc max:5.12s, min:0s, avg: 2.56s, p80:5.12s, p95:5.12s, iters:4, tasks:2, threads:4}	tpch_sf40.part.p_retailprice->Column#132, tpch_sf40.partsupp.ps_availqty->Column#133, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)->Column#134, tpch_sf40.region.r_name->Column#135, tpch_sf40.nation.n_name->Column#136	N/A	N/A
                  └─Projection_265	1614172.85	12	mpp[tiflash]		tiflash_task:{proc max:5.12s, min:0s, avg: 2.56s, p80:5.12s, p95:5.12s, iters:4, tasks:2, threads:4}	tpch_sf40.part.p_retailprice, tpch_sf40.partsupp.ps_availqty, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
                    └─Projection_255	1614172.85	12	mpp[tiflash]		tiflash_task:{proc max:5.12s, min:0s, avg: 2.56s, p80:5.12s, p95:5.12s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.part.p_retailprice, tpch_sf40.partsupp.ps_availqty, tpch_sf40.part.p_partkey	N/A	N/A
                      └─HashJoin_254	1614172.85	12	mpp[tiflash]		tiflash_task:{proc max:5.12s, min:0s, avg: 2.56s, p80:5.12s, p95:5.12s, iters:4, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.part.p_partkey)], stream_count: 2	N/A	N/A
                        ├─ExchangeReceiver_89(Build)	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:176.5ms, min:0s, avg: 88.3ms, p80:176.5ms, p95:176.5ms, iters:28, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 29ms}	stream_count: 2	N/A	N/A
                        │ └─ExchangeSender_88	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:151ms, min:0s, avg: 75.5ms, p80:151ms, p95:151ms, iters:7, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
                        │   └─Projection_87	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:145ms, min:0s, avg: 72.5ms, p80:145ms, p95:145ms, iters:7, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
                        │     └─HashJoin_77	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:145ms, min:0s, avg: 72.5ms, p80:145ms, p95:145ms, iters:7, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
