-- Query: 26352
-- SQL: WITH SupplierParts AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost, 
        COUNT(DISTINCT p.p_partkey) AS part_count
   ...
-- Execution time: 6.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_89	1536002560004.27	25	root		time:6.86s, loops:2, RU:37030.992696	Column#138:desc, Column#166:desc	5.68 KB	0 Bytes
└─Projection_93	1536002560004.27	25	root		time:6.86s, loops:2, Concurrency:2	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#138, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#166	19.7 KB	N/A
  └─HashJoin_95	1536002560004.27	25	root		time:6.86s, loops:2, build_hash_table:{total:6.86s, fetch:6.86s, build:4.66µs}, probe:{concurrency:2, total:13.7s, max:6.86s, probe:11.7µs, fetch and wait:13.7s}	CARTESIAN inner join	74.2 KB	0 Bytes
    ├─TableReader_379(Build)	320000.00	5	root		time:6.86s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_378	4.64 KB	N/A
    │ └─ExchangeSender_378	320000.00	5	mpp[tiflash]		tiflash_task:{time:6.86s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_206	320000.00	5	mpp[tiflash]		tiflash_task:{time:6.86s, loops:1, threads:2}	le(Column#141, 5)	N/A	N/A
    │     └─Window_377	400000.00	400000	mpp[tiflash]		tiflash_task:{time:6.86s, loops:7, threads:2}	rank()->Column#141 over(order by Column#138 desc)	N/A	N/A
    │       └─Sort_240	400000.00	400000	mpp[tiflash]		tiflash_task:{time:6.85s, loops:7, threads:1}	Column#138:desc	N/A	N/A
    │         └─ExchangeReceiver_239	400000.00	400000	mpp[tiflash]		tiflash_task:{time:6.82s, loops:7, threads:2}, tiflash_wait: {pipeline_queue_wait: 78ms}		N/A	N/A
    │           └─ExchangeSender_238	400000.00	400000	mpp[tiflash]		tiflash_task:{time:6.77s, loops:7, threads:2}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
    │             └─Projection_237	400000.00	400000	mpp[tiflash]		tiflash_task:{time:6.77s, loops:7, threads:2}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#138	N/A	N/A
    │               └─HashJoin_209	400000.00	400000	mpp[tiflash]		tiflash_task:{time:6.77s, loops:7, threads:2}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
    │                 ├─ExchangeReceiver_236(Build)	398784.00	400000	mpp[tiflash]		tiflash_task:{time:6.73s, loops:27, threads:2}, tiflash_wait: {pipeline_queue_wait: 20ms}		N/A	N/A
    │                 │ └─ExchangeSender_235	398784.00	400000	mpp[tiflash]		tiflash_task:{time:6.72s, loops:516, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │                 │   └─Projection_231	398784.00	400000	mpp[tiflash]		tiflash_task:{time:6.71s, loops:516, threads:4}	Column#138, tpch_sf40.supplier.s_suppkey	N/A	N/A
    │                 │     └─HashAgg_232	398784.00	400000	mpp[tiflash]		tiflash_task:{time:6.71s, loops:516, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#183)->Column#138, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2	N/A	N/A
    │                 │       └─ExchangeReceiver_234	398784.00	800000	mpp[tiflash]		tiflash_task:{time:6.7s, loops:96, threads:4}, tiflash_wait: {pipeline_queue_wait: 59ms}	stream_count: 2	N/A	N/A
    │                 │         └─ExchangeSender_233	398784.00	800000	mpp[tiflash]		tiflash_task:{time:6.7s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
    │                 │           └─HashAgg_212	398784.00	800000	mpp[tiflash]		tiflash_task:{time:6.69s, loops:512, threads:4}	group by:Column#190, Column#191, funcs:sum(Column#189)->Column#183	N/A	N/A
    │                 │             └─Projection_386	32239947.24	32000000	mpp[tiflash]		tiflash_task:{time:5.41s, loops:509, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#189, tpch_sf40.supplier.s_suppkey->Column#190, tpch_sf40.supplier.s_name->Column#191	N/A	N/A
    │                 │               └─Projection_230	32239947.24	32000000	mpp[tiflash]		tiflash_task:{time:5.37s, loops:509, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
    │                 │                 └─HashJoin_229	32239947.24	32000000	mpp[tiflash]		tiflash_task:{time:5.37s, loops:509, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
    │                 │                   ├─ExchangeReceiver_222(Build)	8000000.00	16000000	mpp[tiflash]		tiflash_task:{time:876.3ms, loops:252, threads:4}, tiflash_wait: {pipeline_queue_wait: 524ms}		N/A	N/A
    │                 │                   │ └─ExchangeSender_221	8000000.00	8000000	mpp[tiflash]		tiflash_task:{time:1.16s, loops:126, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │                 │                   │   └─TableFullScan_220	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{time:1.16s, loops:126, threads:4}, tiflash_wait: {pipeline_queue_wait: 1123ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:21ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:13ms, min_local_stream:909ms, max_local_stream:1144ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:86ms}}	keep order:false	N/A	N/A
    │                 │                   └─Projection_219(Probe)	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:5.15s, loops:509, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
    │                 │                     └─HashJoin_214	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:5.15s, loops:509, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
    │                 │                       ├─ExchangeReceiver_217(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{time:103.3ms, loops:12, threads:4}, tiflash_wait: {pipeline_queue_wait: 48ms}		N/A	N/A
    │                 │                       │ └─ExchangeSender_216	400000.00	400000	mpp[tiflash]		tiflash_task:{time:53.3ms, loops:7, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │                 │                       │   └─TableFullScan_215	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:49.3ms, loops:7, threads:2}, tiflash_wait: {pipeline_queue_wait: 23ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:2ms, min_local_stream:35ms, max_local_stream:38ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:14ms}}	keep order:false	N/A	N/A
    │                 │                       └─TableFullScan_218(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{time:4.73s, loops:509, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1177ms, pipeline_queue_wait: 3529ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 12/10=1.200000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:26ms, min_local_stream:4037ms, max_local_stream:4718ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:1086ms}}	keep order:false	N/A	N/A
    │                 └─TableFullScan_210(Probe)	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:6.77s, loops:7, threads:2}, tiflash_wait: {pipeline_breaker_wait: 6719ms, pipeline_queue_wait: 34ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:10ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:6720ms, max_local_stream:6755ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:3ms}}	keep order:false	N/A	N/A
    └─TableReader_204(Probe)	4800008.00	5	root		time:6.83s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_203	3.22 KB	N/A
      └─ExchangeSender_203	4800008.00	5	mpp[tiflash]		tiflash_task:{time:6.83s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
        └─Selection_98	4800008.00	5	mpp[tiflash]		tiflash_task:{time:6.83s, loops:1, threads:2}	le(Column#168, 5)	N/A	N/A
          └─Window_202	6000010.00	3985521	mpp[tiflash]		tiflash_task:{time:6.83s, loops:61, threads:2}	rank()->Column#168 over(order by Column#166 desc)	N/A	N/A
            └─Sort_126	6000010.00	3985521	mpp[tiflash]		tiflash_task:{time:6.79s, loops:61, threads:1}	Column#166:desc	N/A	N/A
              └─ExchangeReceiver_125	6000010.00	3985521	mpp[tiflash]		tiflash_task:{time:5.88s, loops:341, threads:2}, tiflash_wait: {pipeline_queue_wait: 133ms}		N/A	N/A
                └─ExchangeSender_124	6000010.00	3985521	mpp[tiflash]		tiflash_task:{time:5.93s, loops:1024, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
                  └─Projection_120	6000010.00	3985521	mpp[tiflash]		tiflash_task:{time:5.92s, loops:1024, threads:4}	Column#166, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name	N/A	N/A
