-- Query: 26360
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        n.n_name AS nation,
        COUNT(DISTINCT ps.ps_partkey) AS distinct_parts,
        SUM(ps.ps_supplycost * ps.ps_a...
-- Execution time: 148.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_56	9030277.82	6970	root		time:2m28s, loops:8, RU:253649.445199	Column#72:desc, Column#100:desc	1023.4 KB	0 Bytes
└─Projection_58	9030277.82	6970	root		time:2m28s, loops:9, Concurrency:2	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#72, tpch_sf40.orders.o_orderkey, Column#100	270.4 KB	N/A
  └─HashAgg_62	9030277.82	6970	root		time:2m28s, loops:9, partial_worker:{wall_time:2m28.025691568s, concurrency:2, task_num:8, tot_wait:4m56.047835941s, tot_exec:3.421383ms, tot_time:4m56.051336735s, max:2m28.025668482s, p95:2m28.025668482s}, final_worker:{wall_time:2m28.026728704s, concurrency:2, task_num:4, tot_wait:1.227µs, tot_exec:580.054µs, tot_time:4m56.053384275s, max:2m28.026704889s, p95:2m28.026704889s}	group by:Column#133, Column#134, Column#135, Column#136, funcs:sum(Column#132)->Column#100, funcs:firstrow(Column#133)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(Column#134)->tpch_sf40.supplier.s_name, funcs:firstrow(Column#135)->Column#72, funcs:firstrow(Column#136)->tpch_sf40.orders.o_orderkey	3.27 MB	0 Bytes
    └─Projection_323	29306824.76	6970	root		time:2m28s, loops:9, Concurrency:2	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#132, tpch_sf40.supplier.s_suppkey->Column#133, tpch_sf40.supplier.s_name->Column#134, Column#72->Column#135, tpch_sf40.orders.o_orderkey->Column#136	303.8 KB	N/A
      └─Projection_66	29306824.76	6970	root		time:2m28s, loops:9, Concurrency:2	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#72, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey	423.2 KB	N/A
        └─HashJoin_69	29306824.76	6970	root		time:2m28s, loops:9, build_hash_table:{total:12.1s, fetch:12.1s, build:35.3µs}, probe:{concurrency:2, total:4m56.1s, max:2m28s, probe:1.33s, fetch and wait:4m54.7s}	inner join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	92.5 KB	0 Bytes
          ├─TableReader_289(Build)	319027.20	75	root		time:12.1s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_288	4.24 KB	N/A
          │ └─ExchangeSender_288	319027.20	75	mpp[tiflash]		tiflash_task:{proc max:12.1s, min:12.1s, avg: 12.1s, p80:12.1s, p95:12.1s, iters:7, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          │   └─Selection_169	319027.20	75	mpp[tiflash]		tiflash_task:{proc max:12.1s, min:12.1s, avg: 12.1s, p80:12.1s, p95:12.1s, iters:7, tasks:2, threads:4}	le(Column#74, 3), stream_count: 2	N/A	N/A
          │     └─Window_84	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:12.1s, min:12.1s, avg: 12.1s, p80:12.1s, p95:12.1s, iters:7, tasks:2, threads:4}	row_number()->Column#74 over(partition by tpch_sf40.nation.n_name order by Column#72 desc rows between current row and current row), stream_count: 2	N/A	N/A
          │       └─Sort_115	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:12.1s, min:12.1s, avg: 12.1s, p80:12.1s, p95:12.1s, iters:7, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#72:desc, stream_count: 2	N/A	N/A
          │         └─ExchangeReceiver_114	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:12s, min:12s, avg: 12s, p80:12s, p95:12s, iters:31, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 33ms}	stream_count: 2	N/A	N/A
          │           └─ExchangeSender_113	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:12.1s, min:0s, avg: 6.03s, p80:12.1s, p95:12.1s, iters:262, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
          │             └─Projection_109	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:12s, min:0s, avg: 6.02s, p80:12s, p95:12s, iters:262, tasks:2, threads:4}	Column#72, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name	N/A	N/A
          │               └─HashAgg_110	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:12s, min:0s, avg: 6.02s, p80:12s, p95:12s, iters:262, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#101)->Column#72, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
          │                 └─ExchangeReceiver_112	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:12s, min:0s, avg: 6s, p80:12s, p95:12s, iters:49, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 56ms}	stream_count: 2	N/A	N/A
