-- Query: 26363
-- SQL: SELECT 
    n.n_name AS nation_name,
    SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
    COUNT(DISTINCT o.o_orderkey) AS total_orders,
    AVG(c.c_acctbal) AS avg_customer_balance
FR...
-- Execution time: 9.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_30	10.00	10	root		time:9.65s, loops:2, RU:82554.624664, Concurrency:OFF	tpch_sf40.nation.n_name, Column#50, Column#51, Column#52	3.80 KB	N/A
└─TopN_34	10.00	10	root		time:9.65s, loops:2	Column#50:desc, offset:0, count:10	3.88 KB	0 Bytes
  └─TableReader_269	10.00	25	root		time:9.65s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_268	6.82 KB	N/A
    └─ExchangeSender_268	10.00	25	mpp[tiflash]		tiflash_task:{proc max:9.64s, min:9.64s, avg: 9.64s, p80:9.64s, p95:9.64s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_267	10.00	25	mpp[tiflash]		tiflash_task:{proc max:9.64s, min:9.64s, avg: 9.64s, p80:9.64s, p95:9.64s, iters:4, tasks:2, threads:4}	Column#50:desc, offset:0, count:10	N/A	N/A
        └─Projection_263	25.00	25	mpp[tiflash]		tiflash_task:{proc max:9.64s, min:9.64s, avg: 9.64s, p80:9.64s, p95:9.64s, iters:4, tasks:2, threads:4}	Column#50, Column#51, div(Column#52, cast(case(eq(Column#65, 0), 1, Column#65), decimal(20,0) BINARY))->Column#52, tpch_sf40.nation.n_name	N/A	N/A
          └─HashAgg_264	25.00	25	mpp[tiflash]		tiflash_task:{proc max:9.64s, min:9.64s, avg: 9.64s, p80:9.64s, p95:9.64s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#66)->Column#50, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#51, funcs:sum(Column#67)->Column#65, funcs:sum(Column#68)->Column#52, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_266	25.00	15629566	mpp[tiflash]		tiflash_task:{proc max:9.55s, min:9.47s, avg: 9.51s, p80:9.55s, p95:9.55s, iters:1451, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1229ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_265	25.00	15629566	mpp[tiflash]		tiflash_task:{proc max:9.63s, min:0s, avg: 4.81s, p80:9.63s, p95:9.63s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_261	25.00	15629566	mpp[tiflash]		tiflash_task:{proc max:9.3s, min:0s, avg: 4.65s, p80:9.3s, p95:9.3s, iters:512, tasks:2, threads:4}	group by:Column#73, Column#74, funcs:sum(Column#70)->Column#66, funcs:count(Column#71)->Column#67, funcs:sum(Column#72)->Column#68	N/A	N/A
                  └─Projection_270	36734558.23	36426141	mpp[tiflash]		tiflash_task:{proc max:6.85s, min:0s, avg: 3.43s, p80:6.85s, p95:6.85s, iters:3738, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#70, tpch_sf40.customer.c_acctbal->Column#71, tpch_sf40.customer.c_acctbal->Column#72, tpch_sf40.nation.n_name->Column#73, tpch_sf40.orders.o_orderkey->Column#74	N/A	N/A
                    └─Projection_250	36734558.23	36426141	mpp[tiflash]		tiflash_task:{proc max:6.77s, min:0s, avg: 3.39s, p80:6.77s, p95:6.77s, iters:3738, tasks:2, threads:4}	tpch_sf40.customer.c_acctbal, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.nation.n_name	N/A	N/A
                      └─Projection_240	36734558.23	36426141	mpp[tiflash]		tiflash_task:{proc max:6.77s, min:0s, avg: 3.39s, p80:6.77s, p95:6.77s, iters:3738, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.customer.c_acctbal, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_partkey, tpch_sf40.supplier.s_suppkey	N/A	N/A
