-- Query: 26364
-- SQL: WITH ranked_orders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS revenue,
        RANK() OVER (PARTITION BY o.o_orderdate ORDER B...
-- Execution time: 55.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_71	117596693.06	101964	root		time:55.3s, loops:101, RU:191099.465983	tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey	6.61 MB	0 Bytes
└─TableReader_354	117596693.06	101964	root		time:55.3s, loops:172, cop_task: {num: 103, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_353	52.0 KB	N/A
  └─ExchangeSender_353	117596693.06	101964	mpp[tiflash]		tiflash_task:{proc max:55.3s, min:55.3s, avg: 55.3s, p80:55.3s, p95:55.3s, iters:29598, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_74	117596693.06	101964	mpp[tiflash]		tiflash_task:{proc max:55.3s, min:55.3s, avg: 55.3s, p80:55.3s, p95:55.3s, iters:29598, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.supplier.s_name, Column#158	N/A	N/A
      └─Projection_352	117596693.06	101964	mpp[tiflash]		tiflash_task:{proc max:55.3s, min:55.3s, avg: 55.3s, p80:55.3s, p95:55.3s, iters:29598, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#158, tpch_sf40.supplier.s_name	N/A	N/A
        └─Projection_349	117596693.06	101964	mpp[tiflash]		tiflash_task:{proc max:55.3s, min:55.3s, avg: 55.3s, p80:55.3s, p95:55.3s, iters:29598, tasks:2, threads:4}	Column#158, tpch_sf40.supplier.s_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.lineitem.l_orderkey	N/A	N/A
          └─HashJoin_348	117596693.06	101964	mpp[tiflash]		tiflash_task:{proc max:55.3s, min:55.3s, avg: 55.3s, p80:55.3s, p95:55.3s, iters:29598, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
            ├─ExchangeReceiver_156(Build)	7265794.39	3660	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:14.2s, avg: 14.2s, p80:14.2s, p95:14.2s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 622ms}	stream_count: 2	N/A	N/A
            │ └─ExchangeSender_155	7265794.39	3660	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.08s, p80:14.2s, p95:14.2s, iters:140, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
            │   └─Selection_127	7265794.39	3660	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.08s, p80:14.2s, p95:14.2s, iters:140, tasks:2, threads:4}	le(Column#116, 10), stream_count: 2	N/A	N/A
            │     └─Window_128	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.08s, p80:14.2s, p95:14.2s, iters:142, tasks:2, threads:4}	rank()->Column#116 over(partition by tpch_sf40.orders.o_orderdate order by Column#114 desc), stream_count: 2	N/A	N/A
            │       └─Sort_154	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:14.1s, min:0s, avg: 7.06s, p80:14.1s, p95:14.1s, iters:142, tasks:2, threads:4}	tpch_sf40.orders.o_orderdate, Column#114:desc, stream_count: 2	N/A	N/A
            │         └─ExchangeReceiver_153	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:13.1s, min:0s, avg: 6.53s, p80:13.1s, p95:13.1s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 166ms}	stream_count: 2	N/A	N/A
            │           └─ExchangeSender_152	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:13.4s, min:0s, avg: 6.72s, p80:13.4s, p95:13.4s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderdate, collate: binary], stream_count: 2	N/A	N/A
            │             └─Projection_148	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:13.4s, min:0s, avg: 6.69s, p80:13.4s, p95:13.4s, iters:1024, tasks:2, threads:4}	Column#114, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate	N/A	N/A
            │               └─HashAgg_149	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:13.4s, min:0s, avg: 6.68s, p80:13.4s, p95:13.4s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, funcs:sum(Column#163)->Column#114, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.orders.o_orderdate)->tpch_sf40.orders.o_orderdate, stream_count: 2	N/A	N/A
            │                 └─ExchangeReceiver_151	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:13.2s, min:0s, avg: 6.58s, p80:13.2s, p95:13.2s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 699ms}	stream_count: 2	N/A	N/A
