-- Query: 26373
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey, 
        o.o_orderdate, 
        o.o_totalprice, 
        c.c_name, 
        c.c_acctbal, 
        ROW_NUMBER() OVER (PARTITION BY c.c_nationke...
-- Execution time: 45.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_60	42873876.24	116	root		time:44.6s, loops:2, RU:73401.637650	tpch_sf40.orders.o_orderdate:desc, tpch_sf40.orders.o_totalprice:desc	23.2 KB	0 Bytes
└─TableReader_303	42873876.24	116	root		time:44.6s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_302	6.67 KB	N/A
  └─ExchangeSender_302	42873876.24	116	mpp[tiflash]		tiflash_task:{proc max:44.6s, min:44.4s, avg: 44.5s, p80:44.6s, p95:44.6s, iters:7747, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_301	42873876.24	116	mpp[tiflash]		tiflash_task:{proc max:44.6s, min:44.3s, avg: 44.5s, p80:44.6s, p95:44.6s, iters:7747, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name, Column#112	N/A	N/A
      └─Projection_298	42873876.24	116	mpp[tiflash]		tiflash_task:{proc max:44.6s, min:44.3s, avg: 44.5s, p80:44.6s, p95:44.6s, iters:7747, tasks:2, threads:4}	tpch_sf40.supplier.s_name, Column#112, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.lineitem.l_orderkey	N/A	N/A
        └─HashJoin_297	42873876.24	116	mpp[tiflash]		tiflash_task:{proc max:44.6s, min:44.3s, avg: 44.5s, p80:44.6s, p95:44.6s, iters:7747, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
          ├─ExchangeReceiver_113(Build)	23408875.98	250	mpp[tiflash]		tiflash_task:{proc max:24.7s, min:24.5s, avg: 24.6s, p80:24.7s, p95:24.7s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 261ms}	stream_count: 2	N/A	N/A
          │ └─ExchangeSender_112	23408875.98	250	mpp[tiflash]		tiflash_task:{proc max:24.5s, min:0s, avg: 12.3s, p80:24.5s, p95:24.5s, iters:25, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
          │   └─Selection_96	23408875.98	250	mpp[tiflash]		tiflash_task:{proc max:24.5s, min:0s, avg: 12.3s, p80:24.5s, p95:24.5s, iters:25, tasks:2, threads:4}	le(Column#71, 10), stream_count: 2	N/A	N/A
          │     └─Window_97	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:24.5s, min:0s, avg: 12.3s, p80:24.5s, p95:24.5s, iters:449, tasks:2, threads:4}	row_number()->Column#71 over(partition by tpch_sf40.customer.c_nationkey order by tpch_sf40.orders.o_orderdate desc rows between current row and current row), stream_count: 2	N/A	N/A
          │       └─Sort_111	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:24.4s, min:0s, avg: 12.2s, p80:24.4s, p95:24.4s, iters:449, tasks:2, threads:4}	tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderdate:desc, stream_count: 2	N/A	N/A
          │         └─ExchangeReceiver_110	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:22s, min:0s, avg: 11s, p80:22s, p95:22s, iters:2300, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1066ms}	stream_count: 2	N/A	N/A
          │           └─ExchangeSender_109	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:23s, min:0s, avg: 11.5s, p80:23s, p95:23s, iters:1808, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_nationkey, collate: binary], stream_count: 2	N/A	N/A
          │             └─Projection_99	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:0s, avg: 11.3s, p80:22.7s, p95:22.7s, iters:1808, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey	N/A	N/A
          │               └─Projection_108	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:0s, avg: 11.3s, p80:22.7s, p95:22.7s, iters:1808, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_custkey	N/A	N/A
          │                 └─HashJoin_100	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:0s, avg: 11.3s, p80:22.7s, p95:22.7s, iters:1808, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
          │                   ├─ExchangeReceiver_103(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:5.58s, min:0s, avg: 2.79s, p80:5.58s, p95:5.58s, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 15ms}	stream_count: 2	N/A	N/A
          │                   │ └─ExchangeSender_102	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:5.56s, min:0s, avg: 2.78s, p80:5.56s, p95:5.56s, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
          │                   │   └─TableFullScan_101	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:5.52s, min:0s, avg: 2.76s, p80:5.52s, p95:5.52s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 12ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:117ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:101ms, tot_build_bitmap:0ms, tot_build_inputstream:762ms, min_local_stream:0ms, max_local_stream:5222ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:8338ms}}	keep order:false	N/A	N/A
          │                   └─ExchangeReceiver_107(Probe)	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:21.4s, min:0s, avg: 10.7s, p80:21.4s, p95:21.4s, iters:1808, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 5346ms, pipeline_queue_wait: 771ms}		N/A	N/A
          │                     └─ExchangeSender_106	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:22.9s, min:0s, avg: 11.4s, p80:22.9s, p95:22.9s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
          │                       └─TableFullScan_104	29261094.98	29229464	mpp[tiflash]	table:o	tiflash_task:{proc max:22.4s, min:0s, avg: 11.2s, p80:22.4s, p95:22.4s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 836ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:182ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:113ms, tot_build_bitmap:0ms, tot_build_inputstream:2024ms, min_local_stream:0ms, max_local_stream:21810ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:1ms, tot_read:81063ms}}	pushed down filter:eq(tpch_sf40.orders.o_orderstatus, "F"), keep order:false	N/A	N/A
          └─ExchangeReceiver_94(Probe)	109122855.11	108888223	mpp[tiflash]		tiflash_task:{proc max:44.3s, min:44.1s, avg: 44.2s, p80:44.3s, p95:44.3s, iters:7747, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 24349ms, pipeline_queue_wait: 1342ms}		N/A	N/A
            └─ExchangeSender_93	109122855.11	108888223	mpp[tiflash]		tiflash_task:{proc max:44.6s, min:0s, avg: 22.3s, p80:44.6s, p95:44.6s, iters:7750, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
              └─Projection_92	109122855.11	108888223	mpp[tiflash]		tiflash_task:{proc max:29.9s, min:0s, avg: 14.9s, p80:29.9s, p95:29.9s, iters:7750, tasks:2, threads:4}	tpch_sf40.supplier.s_name, Column#112, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_suppkey	N/A	N/A
                └─HashJoin_69	109122855.11	108888223	mpp[tiflash]		tiflash_task:{proc max:29.9s, min:0s, avg: 14.9s, p80:29.9s, p95:29.9s, iters:7750, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_suppkey)], stream_count: 2	N/A	N/A
                  ├─ExchangeReceiver_88(Build)	181309.25	181487	mpp[tiflash]		tiflash_task:{proc max:10.8s, min:0s, avg: 5.38s, p80:10.8s, p95:10.8s, iters:24, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 283ms}	stream_count: 2	N/A	N/A
                  │ └─ExchangeSender_87	181309.25	181487	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.18s, p80:10.4s, p95:10.4s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
                  │   └─Projection_86	181309.25	181487	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.18s, p80:10.4s, p95:10.4s, iters:512, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#112, tpch_sf40.partsupp.ps_partkey	N/A	N/A
                  │     └─HashJoin_70	181309.25	181487	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.18s, p80:10.4s, p95:10.4s, iters:512, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_partkey)]	N/A	N/A
                  │       ├─ExchangeReceiver_74(Build)	181309.25	362974	mpp[tiflash]		tiflash_task:{proc max:2.55s, min:0s, avg: 1.28s, p80:2.55s, p95:2.55s, iters:13, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 24ms}		N/A	N/A
                  │       │ └─ExchangeSender_73	181309.25	181487	mpp[tiflash]		tiflash_task:{proc max:2.56s, min:0s, avg: 1.28s, p80:2.56s, p95:2.56s, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                  │       │   └─TableFullScan_71	181309.25	181487	mpp[tiflash]	table:s	tiflash_task:{proc max:2.55s, min:0s, avg: 1.28s, p80:2.55s, p95:2.55s, iters:7, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:25ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:255ms, min_local_stream:1907ms, max_local_stream:1908ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:400000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:667ms}}	pushed down filter:gt(tpch_sf40.supplier.s_acctbal, 5000), keep order:false	N/A	N/A
                  │       └─Projection_82(Probe)	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:10.3s, min:0s, avg: 5.15s, p80:10.3s, p95:10.3s, iters:1024, tasks:2, threads:4}	div(Column#112, cast(case(eq(Column#114, 0), 1, Column#114), decimal(20,0) BINARY))->Column#112, tpch_sf40.partsupp.ps_partkey	N/A	N/A
                  │         └─HashAgg_83	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:0s, avg: 5.04s, p80:10.1s, p95:10.1s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(Column#115)->Column#114, funcs:sum(Column#116)->Column#112, funcs:firstrow(tpch_sf40.partsupp.ps_partkey)->tpch_sf40.partsupp.ps_partkey, stream_count: 2	N/A	N/A
                  │           └─ExchangeReceiver_85	7964672.25	8000006	mpp[tiflash]		tiflash_task:{proc max:9.93s, min:0s, avg: 4.97s, p80:9.93s, p95:9.93s, iters:768, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1922ms, pipeline_queue_wait: 244ms}	stream_count: 2	N/A	N/A
                  │             └─ExchangeSender_84	7964672.25	8000006	mpp[tiflash]		tiflash_task:{proc max:10.3s, min:0s, avg: 5.16s, p80:10.3s, p95:10.3s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], stream_count: 2	N/A	N/A
                  │               └─HashAgg_76	7964672.25	8000006	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:0s, avg: 4.97s, p80:9.94s, p95:9.94s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.partsupp.ps_partkey, funcs:count(tpch_sf40.partsupp.ps_supplycost)->Column#115, funcs:sum(tpch_sf40.partsupp.ps_supplycost)->Column#116	N/A	N/A
