-- Query: 26380
-- SQL: WITH RevenueData AS (
    SELECT 
        n.n_name AS Nation,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS TotalRevenue,
        COUNT(DISTINCT o.o_orderkey) AS OrderCount
    FROM 
        ...
-- Execution time: 95.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_220	20.00	5	root		time:1m33.8s, loops:2, RU:61937.345388	Column#57:desc	3.88 KB	0 Bytes
└─Projection_222	20.00	5	root		time:1m33.8s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, Column#57, Column#58, div(Column#62, Column#65)->Column#66	5.20 KB	N/A
  └─Window_224	20.00	5	root		time:1m33.8s, loops:2	sum(Column#62)->Column#65 over()	N/A	N/A
    └─Projection_225	20.00	5	root		time:1m33.8s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, Column#57, Column#58, Column#62	3.80 KB	N/A
      └─HashJoin_231	20.00	5	root		time:1m33.8s, loops:2, build_hash_table:{total:1m33.8s, fetch:1m33.8s, build:3.76ms}, probe:{concurrency:2, total:3m7.5s, max:1m33.8s, probe:6.03ms, fetch and wait:3m7.5s}	inner join, equal:[eq(tpch_sf40.nation.n_name, tpch_sf40.nation.n_name)]	66.0 KB	0 Bytes
        ├─Selection_239(Build)	20.00	25	root		time:1m33.8s, loops:2	not(isnull(tpch_sf40.nation.n_name))	2.39 KB	N/A
        │ └─CTEFullScan_241	25.00	25	root	CTE:revenuedata AS rd	time:1m33.8s, loops:3	data:CTE_0	4.79 KB	0 Bytes
        └─Selection_243(Probe)	20.00	5	root		time:1m33.8s, loops:2	le(Column#60, 5), not(isnull(tpch_sf40.nation.n_name))	2.77 KB	N/A
          └─Window_246	25.00	25	root		time:1m33.8s, loops:3	rank()->Column#60 over(order by Column#57 desc)	N/A	N/A
            └─Sort_249	25.00	25	root		time:1m33.8s, loops:2	Column#57:desc	2.39 KB	0 Bytes
              └─CTEFullScan_248	25.00	25	root	CTE:revenuedata	time:1m33.8s, loops:2	data:CTE_0	N/A	N/A
CTE_0	25.00	25	root		time:1m33.8s, loops:3	Non-Recursive CTE	4.79 KB	0 Bytes
└─TableReader_214(Seed Part)	25.00	25	root		time:1m33.8s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_213	5.67 KB	N/A
  └─ExchangeSender_213	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m33.7s, min:1m33.7s, avg: 1m33.7s, p80:1m33.7s, p95:1m33.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_47	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m33.7s, min:1m33.7s, avg: 1m33.7s, p80:1m33.7s, p95:1m33.7s, iters:4, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#45, Column#46	N/A	N/A
      └─Projection_209	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m33.7s, min:1m33.7s, avg: 1m33.7s, p80:1m33.7s, p95:1m33.7s, iters:4, tasks:2, threads:4}	Column#45, Column#46, tpch_sf40.nation.n_name	N/A	N/A
        └─HashAgg_210	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m33.7s, min:1m33.7s, avg: 1m33.7s, p80:1m33.7s, p95:1m33.7s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#76)->Column#45, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#46, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_212	25.00	33869905	mpp[tiflash]		tiflash_task:{proc max:1m33.6s, min:1m33.4s, avg: 1m33.5s, p80:1m33.6s, p95:1m33.6s, iters:1796, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1870ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_211	25.00	33869905	mpp[tiflash]		tiflash_task:{proc max:1m33.7s, min:0s, avg: 46.9s, p80:1m33.7s, p95:1m33.7s, iters:1022, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_207	25.00	33869905	mpp[tiflash]		tiflash_task:{proc max:1m33.3s, min:0s, avg: 46.6s, p80:1m33.3s, p95:1m33.3s, iters:1022, tasks:2, threads:4}	group by:Column#79, Column#80, funcs:sum(Column#78)->Column#76	N/A	N/A
                └─Projection_215	36655348.56	36340726	mpp[tiflash]		tiflash_task:{proc max:1m29.1s, min:0s, avg: 44.6s, p80:1m29.1s, p95:1m29.1s, iters:1872, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#78, tpch_sf40.nation.n_name->Column#79, tpch_sf40.orders.o_orderkey->Column#80	N/A	N/A
                  └─Projection_196	36655348.56	36340726	mpp[tiflash]		tiflash_task:{proc max:1m29.1s, min:0s, avg: 44.6s, p80:1m29.1s, p95:1m29.1s, iters:1872, tasks:2, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey, tpch_sf40.nation.n_name	N/A	N/A
                    └─Projection_186	36655348.56	36340726	mpp[tiflash]		tiflash_task:{proc max:1m29.1s, min:0s, avg: 44.6s, p80:1m29.1s, p95:1m29.1s, iters:1872, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey	N/A	N/A
                      └─HashJoin_185	36655348.56	36340726	mpp[tiflash]		tiflash_task:{proc max:1m29.1s, min:0s, avg: 44.6s, p80:1m29.1s, p95:1m29.1s, iters:1872, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
                        ├─ExchangeReceiver_90(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{proc max:3.62s, min:0s, avg: 1.81s, p80:3.62s, p95:3.62s, iters:190, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2ms}		N/A	N/A
                        │ └─ExchangeSender_89	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:3.88s, min:0s, avg: 1.94s, p80:3.88s, p95:3.88s, iters:95, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                        │   └─TableFullScan_88	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:3.88s, min:0s, avg: 1.94s, p80:3.88s, p95:3.88s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 214ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:24ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:725ms, min_local_stream:0ms, max_local_stream:3871ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:3687ms}}	keep order:false	N/A	N/A
                        └─Projection_87(Probe)	36655348.56	36340726	mpp[tiflash]		tiflash_task:{proc max:1m28.7s, min:0s, avg: 44.4s, p80:1m28.7s, p95:1m28.7s, iters:1872, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_custkey	N/A	N/A
                          └─HashJoin_67	36655348.56	36340726	mpp[tiflash]		tiflash_task:{proc max:1m28.7s, min:0s, avg: 44.4s, p80:1m28.7s, p95:1m28.7s, iters:1872, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                            ├─ExchangeReceiver_83(Build)	36399015.26	36340726	mpp[tiflash]		tiflash_task:{proc max:1m21.4s, min:0s, avg: 40.7s, p80:1m21.4s, p95:1m21.4s, iters:3531, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 426ms}	stream_count: 2	N/A	N/A
                            │ └─ExchangeSender_82	36399015.26	36340726	mpp[tiflash]		tiflash_task:{proc max:1m21.8s, min:0s, avg: 40.9s, p80:1m21.8s, p95:1m21.8s, iters:3530, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary], stream_count: 2	N/A	N/A
                            │   └─Projection_81	36399015.26	36340726	mpp[tiflash]		tiflash_task:{proc max:1m21.5s, min:0s, avg: 40.8s, p80:1m21.5s, p95:1m21.5s, iters:3530, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_suppkey	N/A	N/A
                            │     └─HashJoin_68	36399015.26	36340726	mpp[tiflash]		tiflash_task:{proc max:1m21.5s, min:0s, avg: 40.8s, p80:1m21.5s, p95:1m21.5s, iters:3530, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_suppkey)], stream_count: 2	N/A	N/A
                            │       ├─ExchangeReceiver_76(Build)	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.84s, min:0s, avg: 921.6ms, p80:1.84s, p95:1.84s, iters:24, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 4ms}	stream_count: 2	N/A	N/A
                            │       │ └─ExchangeSender_75	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.84s, min:0s, avg: 921.6ms, p80:1.84s, p95:1.84s, iters:7, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
                            │       │   └─Projection_74	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.84s, min:0s, avg: 920.1ms, p80:1.84s, p95:1.84s, iters:7, tasks:2, threads:2}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
                            │       │     └─HashJoin_69	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.84s, min:0s, avg: 920.1ms, p80:1.84s, p95:1.84s, iters:7, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
                            │       │       ├─ExchangeReceiver_72(Build)	25.00	25	mpp[tiflash]		tiflash_task:{proc max:176ms, min:0s, avg: 88ms, p80:176ms, p95:176ms, iters:1, tasks:2, threads:2}		N/A	N/A
                            │       │       │ └─ExchangeSender_71	25.00	25	mpp[tiflash]		tiflash_task:{proc max:152.1ms, min:0s, avg: 76ms, p80:152.1ms, p95:152.1ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                            │       │       │   └─TableFullScan_70	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:152.1ms, min:0s, avg: 76ms, p80:152.1ms, p95:152.1ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:149ms, min_local_stream:0ms, max_local_stream:151ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                            │       │       └─TableFullScan_73(Probe)	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:1.84s, min:0s, avg: 919.1ms, p80:1.84s, p95:1.84s, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 164ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:188ms, min_local_stream:0ms, max_local_stream:1826ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:453ms}}	keep order:false	N/A	N/A
                            │       └─ExchangeReceiver_80(Probe)	36289541.67	36340726	mpp[tiflash]		tiflash_task:{proc max:1m20.5s, min:0s, avg: 40.2s, p80:1m20.5s, p95:1m20.5s, iters:3530, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1820ms, pipeline_queue_wait: 67ms}		N/A	N/A
                            │         └─ExchangeSender_79	36289541.67	36340726	mpp[tiflash]		tiflash_task:{proc max:1m21.8s, min:0s, avg: 40.9s, p80:1m21.8s, p95:1m21.8s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_suppkey, collate: binary]	N/A	N/A
                            │           └─TableFullScan_77	36289541.67	36340726	mpp[tiflash]	table:l	tiflash_task:{proc max:1m21.5s, min:0s, avg: 40.8s, p80:1m21.5s, p95:1m21.5s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 303ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:24ms, region_balance:{instance_num: 2, max/min: 89/87=1.022989}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:160ms, tot_build_inputstream:8913ms, min_local_stream:0ms, max_local_stream:81519ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:240012290, lm_filter_skipped_rows:0, tot_rs_index_check:164ms, tot_read:312795ms}}	pushed down filter:ge(tpch_sf40.lineitem.l_shipdate, 1997-01-01), lt(tpch_sf40.lineitem.l_shipdate, 1997-12-31), keep order:false	N/A	N/A
                            └─ExchangeReceiver_86(Probe)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:1m27.9s, min:0s, avg: 43.9s, p80:1m27.9s, p95:1m27.9s, iters:1872, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 81836ms, pipeline_queue_wait: 23ms}		N/A	N/A
                              └─ExchangeSender_85	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:1m31.3s, min:0s, avg: 45.7s, p80:1m31.3s, p95:1m31.3s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary]	N/A	N/A
                                └─TableFullScan_84	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{proc max:12.9s, min:0s, avg: 6.46s, p80:12.9s, p95:12.9s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1002ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:24ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:769ms, min_local_stream:0ms, max_local_stream:12898ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:44265ms}}	keep order:false	N/A	N/A
