-- Query: 26381
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        n.n_name AS nation_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        RANK() OVER (...
-- Execution time: 58.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_69	10.00	10	root		time:57.3s, loops:2, RU:75456.955821, Concurrency:OFF	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, Column#120->Column#125, Column#121->Column#126, tpch_sf40.supplier.s_name	3.76 KB	N/A
└─TopN_73	10.00	10	root		time:57.3s, loops:2	Column#120:desc, offset:0, count:10	1.99 KB	0 Bytes
  └─TableReader_378	10.00	40	root		time:57.3s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_377	8.83 KB	N/A
    └─ExchangeSender_377	10.00	40	mpp[tiflash]		tiflash_task:{proc max:57.2s, min:57.2s, avg: 57.2s, p80:57.2s, p95:57.2s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_376	10.00	40	mpp[tiflash]		tiflash_task:{proc max:57.2s, min:57.2s, avg: 57.2s, p80:57.2s, p95:57.2s, iters:4, tasks:2, threads:4}	Column#120:desc, offset:0, count:10	N/A	N/A
        └─Selection_375	4800008.00	63228	mpp[tiflash]		tiflash_task:{proc max:57.2s, min:57.2s, avg: 57.2s, p80:57.2s, p95:57.2s, iters:4, tasks:2, threads:4}	gt(Column#120, 100000)	N/A	N/A
          └─Projection_369	6000010.00	75358	mpp[tiflash]		tiflash_task:{proc max:57.2s, min:57.2s, avg: 57.2s, p80:57.2s, p95:57.2s, iters:4, tasks:2, threads:4}	Column#120, Column#121, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.supplier.s_name	N/A	N/A
            └─HashAgg_370	6000010.00	75358	mpp[tiflash]		tiflash_task:{proc max:57.2s, min:57.2s, avg: 57.2s, p80:57.2s, p95:57.2s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.supplier.s_name, funcs:sum(Column#151)->Column#120, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#121, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, funcs:firstrow(tpch_sf40.customer.c_nationkey)->tpch_sf40.customer.c_nationkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
              └─ExchangeReceiver_372	6000010.00	75362	mpp[tiflash]		tiflash_task:{proc max:57.2s, min:57.2s, avg: 57.2s, p80:57.2s, p95:57.2s, iters:8, tasks:2, threads:4}	stream_count: 2	N/A	N/A
                └─ExchangeSender_371	6000010.00	75362	mpp[tiflash]		tiflash_task:{proc max:57.3s, min:0s, avg: 28.6s, p80:57.3s, p95:57.3s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], [name: tpch_sf40.customer.c_nationkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                  └─HashAgg_367	6000010.00	75362	mpp[tiflash]		tiflash_task:{proc max:57.3s, min:0s, avg: 28.6s, p80:57.3s, p95:57.3s, iters:2, tasks:2, threads:2}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.supplier.s_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#151	N/A	N/A
                    └─Projection_356	193362025.54	75362	mpp[tiflash]		tiflash_task:{proc max:57.2s, min:0s, avg: 28.6s, p80:57.2s, p95:57.2s, iters:14112, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.supplier.s_name, tpch_sf40.lineitem.l_suppkey	N/A	N/A
                      └─HashJoin_355	193362025.54	75362	mpp[tiflash]		tiflash_task:{proc max:57.2s, min:0s, avg: 28.6s, p80:57.2s, p95:57.2s, iters:14112, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)], stream_count: 2	N/A	N/A
                        ├─ExchangeReceiver_138(Build)	319027.20	125	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.17s, p80:18.3s, p95:18.3s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 32ms}	stream_count: 2	N/A	N/A
                        │ └─ExchangeSender_137	319027.20	125	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.17s, p80:18.3s, p95:18.3s, iters:7, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
                        │   └─Selection_104	319027.20	125	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.17s, p80:18.3s, p95:18.3s, iters:7, tasks:2, threads:4}	le(Column#114, 5), stream_count: 2	N/A	N/A
                        │     └─Window_105	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.17s, p80:18.3s, p95:18.3s, iters:7, tasks:2, threads:4}	rank()->Column#114 over(partition by tpch_sf40.nation.n_name order by Column#112 desc), stream_count: 2	N/A	N/A
                        │       └─Sort_136	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.17s, p80:18.3s, p95:18.3s, iters:7, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#112:desc, stream_count: 2	N/A	N/A
                        │         └─ExchangeReceiver_135	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.14s, p80:18.3s, p95:18.3s, iters:31, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 30ms}	stream_count: 2	N/A	N/A
                        │           └─ExchangeSender_134	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.15s, p80:18.3s, p95:18.3s, iters:262, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                        │             └─Projection_130	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.14s, p80:18.3s, p95:18.3s, iters:262, tasks:2, threads:4}	Column#112, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name	N/A	N/A
                        │               └─HashAgg_131	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.14s, p80:18.3s, p95:18.3s, iters:262, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#128)->Column#112, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
                        │                 └─ExchangeReceiver_133	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.2s, min:0s, avg: 9.12s, p80:18.2s, p95:18.2s, iters:49, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 72ms}	stream_count: 2	N/A	N/A
                        │                   └─ExchangeSender_132	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.2s, min:0s, avg: 9.11s, p80:18.2s, p95:18.2s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                        │                     └─HashAgg_107	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.2s, min:0s, avg: 9.1s, p80:18.2s, p95:18.2s, iters:512, tasks:2, threads:4}	group by:Column#157, Column#158, Column#159, funcs:sum(Column#156)->Column#128	N/A	N/A
                        │                       └─Projection_381	32096532.46	32000000	mpp[tiflash]		tiflash_task:{proc max:16.7s, min:0s, avg: 8.35s, p80:16.7s, p95:16.7s, iters:1016, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#156, tpch_sf40.supplier.s_suppkey->Column#157, tpch_sf40.supplier.s_name->Column#158, tpch_sf40.nation.n_name->Column#159	N/A	N/A
