-- Query: 26382
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_nationkey,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS TotalSupplyCost,
        RANK() OVER (PARTITION BY...
-- Execution time: 10.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_68	25.00	125	root		time:8.92s, loops:2, RU:11306.474737	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#86:desc	15.9 KB	0 Bytes
└─TableReader_293	25.00	125	root		time:8.92s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_292	6.07 KB	N/A
  └─ExchangeSender_292	25.00	125	mpp[tiflash]		tiflash_task:{proc max:8.91s, min:8.9s, avg: 8.9s, p80:8.91s, p95:8.91s, iters:7, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_71	25.00	125	mpp[tiflash]		tiflash_task:{proc max:8.91s, min:8.9s, avg: 8.9s, p80:8.91s, p95:8.91s, iters:7, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, Column#86	N/A	N/A
      └─Projection_291	25.00	125	mpp[tiflash]		tiflash_task:{proc max:8.91s, min:8.9s, avg: 8.9s, p80:8.91s, p95:8.91s, iters:7, tasks:2, threads:4}	tpch_sf40.supplier.s_name, Column#86, Column#86, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
        └─Projection_288	25.00	125	mpp[tiflash]		tiflash_task:{proc max:8.91s, min:8.9s, avg: 8.9s, p80:8.91s, p95:8.91s, iters:7, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#86, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name	N/A	N/A
          └─HashJoin_287	25.00	125	mpp[tiflash]		tiflash_task:{proc max:8.91s, min:8.9s, avg: 8.9s, p80:8.91s, p95:8.91s, iters:7, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
            ├─ExchangeReceiver_84(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:133.9ms, min:125.5ms, avg: 129.7ms, p80:133.9ms, p95:133.9ms, iters:2, tasks:2, threads:4}		N/A	N/A
            │ └─ExchangeSender_83	25.00	25	mpp[tiflash]		tiflash_task:{proc max:125.6ms, min:0s, avg: 62.8ms, p80:125.6ms, p95:125.6ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │   └─Projection_82	25.00	25	mpp[tiflash]		tiflash_task:{proc max:125.6ms, min:0s, avg: 62.8ms, p80:125.6ms, p95:125.6ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
            │     └─HashJoin_77	25.00	25	mpp[tiflash]		tiflash_task:{proc max:125.6ms, min:0s, avg: 62.8ms, p80:125.6ms, p95:125.6ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
            │       ├─ExchangeReceiver_80(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:123.6ms, min:0s, avg: 61.8ms, p80:123.6ms, p95:123.6ms, iters:1, tasks:2, threads:2}		N/A	N/A
            │       │ └─ExchangeSender_79	5.00	5	mpp[tiflash]		tiflash_task:{proc max:123.5ms, min:0s, avg: 61.8ms, p80:123.5ms, p95:123.5ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │       │   └─TableFullScan_78	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:123.5ms, min:0s, avg: 61.8ms, p80:123.5ms, p95:123.5ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:120ms, min_local_stream:123ms, max_local_stream:123ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
            │       └─TableFullScan_81(Probe)	25.00	25	mpp[tiflash]	table:ns	tiflash_task:{proc max:125.6ms, min:0s, avg: 62.8ms, p80:125.6ms, p95:125.6ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 123ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:0ms, max_local_stream:125ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
            └─Selection_85(Probe)	319027.20	125	mpp[tiflash]		tiflash_task:{proc max:8.91s, min:8.9s, avg: 8.9s, p80:8.91s, p95:8.91s, iters:7, tasks:2, threads:4}	le(Column#88, 5), stream_count: 2	N/A	N/A
              └─Window_86	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:8.91s, min:8.9s, avg: 8.9s, p80:8.91s, p95:8.91s, iters:7, tasks:2, threads:4}	rank()->Column#88 over(partition by tpch_sf40.nation.n_name order by Column#86 desc), stream_count: 2	N/A	N/A
                └─Sort_117	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:8.91s, min:8.9s, avg: 8.9s, p80:8.91s, p95:8.91s, iters:7, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#86:desc, stream_count: 2	N/A	N/A
                  └─ExchangeReceiver_116	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:8.87s, min:8.85s, avg: 8.86s, p80:8.87s, p95:8.87s, iters:37, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 124ms, pipeline_queue_wait: 15ms}	stream_count: 2	N/A	N/A
                    └─ExchangeSender_115	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:8.87s, min:0s, avg: 4.43s, p80:8.87s, p95:8.87s, iters:516, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                      └─Projection_111	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:8.86s, min:0s, avg: 4.43s, p80:8.86s, p95:8.86s, iters:516, tasks:2, threads:4}	Column#86, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey, tpch_sf40.nation.n_name	N/A	N/A
                        └─HashAgg_112	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:8.86s, min:0s, avg: 4.43s, p80:8.86s, p95:8.86s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#101)->Column#86, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.supplier.s_nationkey)->tpch_sf40.supplier.s_nationkey, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
