-- Query: 26389
-- SQL: WITH RankedOrders AS (
    SELECT
        o.o_orderkey,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS revenue,
        DENSE_RANK() OVER (PARTITION BY o.o_orderdate ORDER BY SUM(l.l_extendedp...
-- Execution time: 137.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_85	25.00	25	root		time:2m17s, loops:2, RU:264515.835276	Column#152:desc, Column#188:desc	2.79 KB	0 Bytes
└─Projection_87	25.00	25	root		time:2m17s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, Column#152, Column#188	2.39 KB	N/A
  └─HashJoin_90	25.00	25	root		time:2m17s, loops:2, build_hash_table:{total:2m17s, fetch:2m17s, build:6.02ms}, probe:{concurrency:2, total:4m34s, max:2m17s, probe:10.2µs, fetch and wait:4m34s}	CARTESIAN inner join	41.5 KB	0 Bytes
    ├─StreamAgg_324(Build)	1.00	1	root		time:2m17s, loops:2	funcs:sum(Column#182)->Column#188	59.3 KB	N/A
    │ └─Selection_406	7222122.88	1825	root		time:2m17s, loops:3	le(Column#184, 5)	59.3 KB	N/A
    │   └─Shuffle_412	9027653.61	9105203	root		time:2m16.9s, loops:8895, ShuffleConcurrency:2	execution info: concurrency:2, data sources:[HashAgg_333]	N/A	N/A
    │     └─Window_409	9027653.61	9105203	root		time:4m33.6s, loops:8895	dense_rank()->Column#184 over(partition by tpch_sf40.orders.o_orderdate order by Column#182 desc)	N/A	N/A
    │       └─Sort_384	9027653.61	9105203	root		time:4m32.1s, loops:8895	tpch_sf40.orders.o_orderdate, Column#182:desc	292.5 MB	0 Bytes
    │         └─ShuffleReceiver_420	9027653.61	9105203	root		time:4m22.2s, loops:8895		N/A	N/A
    │           └─HashAgg_333	9027653.61	9105203	root		time:2m7.5s, loops:8894, partial_worker:{wall_time:2m5.472347029s, concurrency:2, task_num:35574, tot_wait:4m4.040906993s, tot_exec:6.865328626s, tot_time:4m10.913128246s, max:2m5.457837435s, p95:2m5.457837435s}, final_worker:{wall_time:2m11.089177468s, concurrency:2, task_num:4, tot_wait:3.336µs, tot_exec:4.988088572s, tot_time:4m21.948694425s, max:2m11.086588766s, p95:2m11.086588766s}	group by:Column#202, Column#203, funcs:sum(Column#201)->Column#182, funcs:firstrow(Column#202)->tpch_sf40.orders.o_orderdate	2.32 GB	0 Bytes
    │             └─Projection_419	36622885.18	36426141	root		time:2m5.4s, loops:35575, Concurrency:2	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#201, tpch_sf40.orders.o_orderdate->Column#202, tpch_sf40.orders.o_orderkey->Column#203	349.6 KB	N/A
