-- Query: 26396
-- SQL: WITH RankedSuppliers AS (
    SELECT s.s_suppkey, s.s_name, s.s_acctbal, 
           RANK() OVER (PARTITION BY p.p_partkey ORDER BY ps.ps_supplycost ASC) as supplier_rank
    FROM supplier s
    JOIN ...
-- Execution time: 169.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_81	5.00	5	root		time:2m49.8s, loops:2, RU:295623.963994	Column#162:desc	2.84 KB	0 Bytes
└─TableReader_530	5.00	5	root		time:2m49.8s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_529	11.1 KB	N/A
  └─ExchangeSender_529	5.00	5	mpp[tiflash]		tiflash_task:{proc max:2m49.8s, min:2m49.8s, avg: 2m49.8s, p80:2m49.8s, p95:2m49.8s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_84	5.00	5	mpp[tiflash]		tiflash_task:{proc max:2m49.8s, min:2m49.8s, avg: 2m49.8s, p80:2m49.8s, p95:2m49.8s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#162, Column#163, Column#164	N/A	N/A
      └─Projection_525	5.00	5	mpp[tiflash]		tiflash_task:{proc max:2m49.8s, min:2m49.8s, avg: 2m49.8s, p80:2m49.8s, p95:2m49.8s, iters:4, tasks:2, threads:4}	Column#162, Column#163, Column#164, tpch_sf40.region.r_name	N/A	N/A
        └─HashAgg_526	5.00	5	mpp[tiflash]		tiflash_task:{proc max:2m49.8s, min:2m49.8s, avg: 2m49.8s, p80:2m49.8s, p95:2m49.8s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#185)->Column#162, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#163, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#164, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_528	5.00	2420400	mpp[tiflash]		tiflash_task:{proc max:2m49.8s, min:2m49.8s, avg: 2m49.8s, p80:2m49.8s, p95:2m49.8s, iters:242, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 104ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_527	5.00	2420400	mpp[tiflash]		tiflash_task:{proc max:2m49.8s, min:0s, avg: 1m24.9s, p80:2m49.8s, p95:2m49.8s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_523	5.00	2420400	mpp[tiflash]		tiflash_task:{proc max:2m49.8s, min:0s, avg: 1m24.9s, p80:2m49.8s, p95:2m49.8s, iters:512, tasks:2, threads:4}	group by:Column#188, Column#189, Column#190, funcs:sum(Column#187)->Column#185	N/A	N/A
                └─Projection_533	5039746771.96	193635200	mpp[tiflash]		tiflash_task:{proc max:2m48.1s, min:0s, avg: 1m24s, p80:2m48.1s, p95:2m48.1s, iters:395288, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#187, tpch_sf40.region.r_name->Column#188, tpch_sf40.customer.c_custkey->Column#189, tpch_sf40.supplier.s_suppkey->Column#190	N/A	N/A
