-- Query: 26398
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_value,
        COUNT(DISTINCT p.p_partkey) AS unique_parts_sup...
-- Execution time: 15.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_79	1531333112221.85	100	root		time:14.9s, loops:2, RU:47410.354167	Column#127:desc, Column#158:desc	18.4 KB	0 Bytes
└─Projection_81	1531333112221.85	100	root		time:14.9s, loops:2, Concurrency:2	tpch_sf40.supplier.s_name, tpch_sf40.customer.c_name, Column#127, Column#158, Column#157, Column#128	31.2 KB	N/A
  └─HashJoin_84	1531333112221.85	100	root		time:14.9s, loops:2, build_hash_table:{total:14.9s, fetch:14.9s, build:9.86µs}, probe:{concurrency:2, total:29.7s, max:14.9s, probe:32.4µs, fetch and wait:29.7s}	CARTESIAN inner join	74.2 KB	0 Bytes
    ├─TableReader_224(Build)	319027.20	10	root		time:14.9s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_223	3.82 KB	N/A
    │ └─ExchangeSender_223	319027.20	10	mpp[tiflash]		tiflash_task:{time:14.9s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_86	319027.20	10	mpp[tiflash]		tiflash_task:{time:14.9s, loops:1, threads:2}	gt(Column#128, 5), le(Column#130, 10)	N/A	N/A
    │     └─Window_222	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.9s, loops:7, threads:2}	rank()->Column#130 over(order by Column#127 desc)	N/A	N/A
    │       └─Sort_116	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.9s, loops:7, threads:1}	Column#127:desc	N/A	N/A
    │         └─ExchangeReceiver_115	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.8s, loops:27, threads:2}, tiflash_wait: {pipeline_queue_wait: 15ms}		N/A	N/A
    │           └─ExchangeSender_114	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.8s, loops:516, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
    │             └─Projection_110	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.8s, loops:516, threads:4}	Column#127, Column#128, tpch_sf40.supplier.s_name	N/A	N/A
    │               └─HashAgg_111	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.8s, loops:516, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#161)->Column#127, funcs:count(distinct tpch_sf40.part.p_partkey)->Column#128, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
    │                 └─ExchangeReceiver_113	398784.00	32000000	mpp[tiflash]		tiflash_task:{time:12.7s, loops:2048, threads:4}, tiflash_wait: {pipeline_queue_wait: 1429ms}	stream_count: 2	N/A	N/A
    │                   └─ExchangeSender_112	398784.00	32000000	mpp[tiflash]		tiflash_task:{time:14.8s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
    │                     └─HashAgg_90	398784.00	32000000	mpp[tiflash]		tiflash_task:{time:14s, loops:512, threads:4}	group by:Column#177, Column#178, Column#179, funcs:sum(Column#176)->Column#161	N/A	N/A
    │                       └─Projection_327	32239947.24	32000000	mpp[tiflash]		tiflash_task:{time:9.33s, loops:509, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#176, tpch_sf40.supplier.s_suppkey->Column#177, tpch_sf40.supplier.s_name->Column#178, tpch_sf40.part.p_partkey->Column#179	N/A	N/A
    │                         └─Projection_109	32239947.24	32000000	mpp[tiflash]		tiflash_task:{time:9.3s, loops:509, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.part.p_partkey	N/A	N/A
    │                           └─HashJoin_108	32239947.24	32000000	mpp[tiflash]		tiflash_task:{time:9.3s, loops:509, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
    │                             ├─ExchangeReceiver_100(Build)	8000000.00	16000000	mpp[tiflash]		tiflash_task:{time:1.56s, loops:252, threads:4}, tiflash_wait: {pipeline_queue_wait: 530ms}		N/A	N/A
    │                             │ └─ExchangeSender_99	8000000.00	8000000	mpp[tiflash]		tiflash_task:{time:1.78s, loops:126, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
