-- Query: 26401
-- SQL: SELECT
    n.n_name AS nation,
    r.r_name AS region,
    SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue
FROM
    customer c
JOIN
    orders o ON c.c_custkey = o.o_custkey
JOIN
    line...
-- Execution time: 26.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_39	10.00	10	root		time:26.8s, loops:2, RU:151071.350337, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#62	2.64 KB	N/A
└─TopN_43	10.00	10	root		time:26.8s, loops:2	Column#62:desc, offset:0, count:10	2.74 KB	0 Bytes
  └─TableReader_339	10.00	25	root		time:26.8s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_338	8.26 KB	N/A
    └─ExchangeSender_338	10.00	25	mpp[tiflash]		tiflash_task:{proc max:26.8s, min:26.8s, avg: 26.8s, p80:26.8s, p95:26.8s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_337	10.00	25	mpp[tiflash]		tiflash_task:{proc max:26.8s, min:26.8s, avg: 26.8s, p80:26.8s, p95:26.8s, iters:4, tasks:2, threads:4}	Column#62:desc, offset:0, count:10	N/A	N/A
        └─Projection_333	25.00	25	mpp[tiflash]		tiflash_task:{proc max:26.8s, min:26.8s, avg: 26.8s, p80:26.8s, p95:26.8s, iters:4, tasks:2, threads:4}	Column#62, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
          └─HashAgg_334	25.00	25	mpp[tiflash]		tiflash_task:{proc max:26.8s, min:26.8s, avg: 26.8s, p80:26.8s, p95:26.8s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:sum(Column#70)->Column#62, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_336	25.00	50	mpp[tiflash]		tiflash_task:{proc max:26.8s, min:26.8s, avg: 26.8s, p80:26.8s, p95:26.8s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
              └─ExchangeSender_335	25.00	50	mpp[tiflash]		tiflash_task:{proc max:26.8s, min:0s, avg: 13.4s, p80:26.8s, p95:26.8s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_331	25.00	50	mpp[tiflash]		tiflash_task:{proc max:26.8s, min:0s, avg: 13.4s, p80:26.8s, p95:26.8s, iters:2, tasks:2, threads:2}	group by:Column#74, Column#75, funcs:sum(Column#73)->Column#70	N/A	N/A
                  └─Projection_340	36398679.35	36326469	mpp[tiflash]		tiflash_task:{proc max:26.6s, min:0s, avg: 13.3s, p80:26.6s, p95:26.6s, iters:14156, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#73, tpch_sf40.nation.n_name->Column#74, tpch_sf40.region.r_name->Column#75	N/A	N/A
                    └─Projection_320	36398679.35	36326469	mpp[tiflash]		tiflash_task:{proc max:26.6s, min:0s, avg: 13.3s, p80:26.6s, p95:26.6s, iters:14156, tasks:2, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
                      └─Projection_310	36398679.35	36326469	mpp[tiflash]		tiflash_task:{proc max:26.6s, min:0s, avg: 13.3s, p80:26.6s, p95:26.6s, iters:14156, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
